method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9756341555247162,0.45479258792919536,0.2946674009771662,0.35762429443186466,83,42793,250,892,"[8, 5, 7, 4, 6, 3, 4, 4, 11, 2, 11, 7, 3, 8, 2619, 2984, 2796, 2920, 3541, 2716, 3104, 3470, 3052, 3275, 3231, 3364, 2534, 3187, 9, 24, 23, 11, 29, 34, 11, 12, 6, 25, 6, 20, 32, 8, 23, 26, 23, 1, 33, 0, 1, 1, 359, 1, 370, 28, 0, 26]"
eigenvector,,0.9746411666154688,0.4565813112571618,0.26597458860754364,0.33613738798688164,87,42749,294,888,"[8, 6, 8, 4, 4, 3, 4, 4, 14, 2, 12, 7, 3, 8, 2617, 2975, 2797, 2912, 3548, 2712, 3103, 3468, 3049, 3269, 3230, 3362, 2524, 3183, 11, 33, 22, 19, 22, 38, 12, 14, 9, 31, 7, 22, 42, 12, 23, 25, 22, 1, 35, 0, 1, 1, 356, 1, 369, 28, 0, 26]"
louvain,,0.9757067079791585,0.45479258792919536,0.301425397745305,0.36255693280265455,83,42796,247,892,"[8, 5, 7, 4, 6, 3, 4, 4, 11, 2, 11, 7, 3, 8, 2620, 2984, 2797, 2919, 3541, 2717, 3104, 3469, 3052, 3275, 3233, 3364, 2534, 3187, 8, 24, 22, 12, 29, 33, 11, 13, 6, 25, 4, 20, 32, 8, 23, 26, 23, 1, 33, 0, 1, 1, 359, 1, 370, 28, 0, 26]"
greedy_modularity,,0.9765311001441848,0.4494385534413026,0.32952486457236185,0.38025194773330295,75,42839,204,900,"[8, 5, 6, 4, 5, 3, 4, 4, 8, 2, 8, 7, 3, 8, 2622, 2988, 2798, 2923, 3545, 2719, 3106, 3474, 3053, 3279, 3231, 3371, 2539, 3191, 6, 20, 21, 8, 25, 31, 9, 8, 5, 21, 6, 13, 27, 4, 23, 26, 24, 1, 34, 0, 1, 1, 362, 1, 373, 28, 0, 26]"
label_propagation,,0.9703340117250153,0.464513523465654,0.15675090721936744,0.2344023337650954,83,42560,483,892,"[8, 5, 9, 4, 7, 3, 4, 4, 8, 2, 9, 9, 3, 8, 2601, 2961, 2782, 2906, 3520, 2706, 3091, 3457, 3031, 3253, 3212, 3348, 2518, 3174, 27, 47, 37, 25, 50, 44, 24, 25, 27, 47, 25, 36, 48, 21, 23, 26, 21, 1, 32, 0, 1, 1, 362, 1, 372, 26, 0, 26]"
infomap,,0.9781420815518046,0.4302745744056686,0.5368413930891095,0.47768666778011826,59,42924,119,916,"[7, 2, 5, 4, 4, 3, 4, 4, 2, 2, 6, 7, 3, 6, 2626, 2996, 2803, 2930, 3552, 2727, 3114, 3481, 3058, 3285, 3237, 3374, 2546, 3195, 2, 12, 16, 1, 18, 23, 1, 1, 0, 15, 0, 10, 20, 0, 24, 29, 25, 1, 35, 0, 1, 1, 368, 1, 375, 28, 0, 28]"
surprise_communities,,0.8956045996334859,0.5300677089165103,0.036589731410831,0.06845417961019173,150,39232,3811,825,"[13, 11, 11, 4, 12, 3, 4, 4, 30, 2, 27, 13, 3, 13, 2350, 2727, 2555, 2671, 3274, 2495, 2846, 3196, 2786, 3040, 2956, 3111, 2313, 2912, 278, 281, 264, 260, 296, 255, 269, 286, 272, 260, 281, 273, 253, 283, 18, 20, 19, 1, 27, 0, 1, 1, 340, 1, 354, 22, 0, 21]"
walktrap,,0.9625002640520783,0.48241629246617473,0.11386348750585794,0.18424103360479863,105,42199,844,870,"[10, 7, 9, 4, 9, 3, 4, 4, 17, 2, 15, 8, 3, 10, 2581, 2927, 2745, 2880, 3500, 2677, 3065, 3429, 3009, 3224, 3187, 3324, 2500, 3151, 47, 81, 74, 51, 70, 73, 50, 53, 49, 76, 50, 60, 66, 44, 21, 24, 21, 1, 30, 0, 1, 1, 353, 1, 366, 27, 0, 24]"
df_node_similarity,,0.9780855568917299,0.4769308884140593,0.5207263383075356,0.4978673406009764,66,42915,128,909,"[6, 5, 6, 4, 5, 3, 4, 3, 7, 2, 6, 5, 3, 7, 2625, 2992, 2804, 2930, 3553, 2726, 3113, 3479, 3058, 3283, 3237, 3374, 2546, 3195, 3, 16, 15, 1, 17, 24, 2, 3, 0, 17, 0, 10, 20, 0, 25, 26, 24, 1, 34, 0, 1, 2, 363, 1, 375, 30, 0, 27]"
leiden,0.05,0.7872759174036214,0.6388603260569929,0.03745120072015534,0.07075463113077542,327,34321,8722,648,"[22, 18, 16, 4, 19, 3, 4, 4, 97, 2, 99, 17, 3, 19, 2147, 2260, 2229, 2409, 2739, 2075, 2582, 2897, 2550, 2413, 2690, 2643, 1962, 2725, 481, 748, 590, 522, 831, 675, 533, 585, 508, 887, 547, 741, 604, 470, 9, 13, 14, 1, 20, 0, 1, 1, 273, 1, 282, 18, 0, 15]"
