method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.821829237392963,0.7037037037037036,0.587962962962963,0.6406478162750565,30,167,27,13,"[2, 2, 2, 1, 0, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 15, 14, 13, 12, 7, 9, 6, 5, 5, 4, 13, 12, 12, 11, 9, 10, 5, 5, 1, 1, 1, 2, 7, 3, 1, 1, 1, 0, 1, 2, 1, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 2, 0, 1, 1]"
eigenvector,,0.8410966665868629,0.7037037037037036,0.6712962962962963,0.6871180945255019,30,172,22,13,"[2, 2, 2, 1, 0, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 16, 15, 14, 12, 7, 9, 6, 6, 5, 4, 13, 13, 12, 11, 9, 10, 5, 5, 0, 0, 0, 2, 7, 3, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 2, 0, 1, 1]"
louvain,,0.8183570151707408,0.7037037037037036,0.5787037037037037,0.6351116459419708,30,166,28,13,"[2, 2, 2, 1, 0, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 15, 14, 12, 12, 7, 9, 6, 5, 5, 4, 13, 12, 12, 11, 9, 10, 5, 5, 1, 1, 2, 2, 7, 3, 1, 1, 1, 0, 1, 2, 1, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 2, 0, 1, 1]"
greedy_modularity,,0.8250972112491721,0.7037037037037036,0.5972222222222222,0.6461051799130091,30,168,26,13,"[2, 2, 2, 1, 0, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 15, 14, 13, 12, 7, 9, 6, 5, 5, 4, 13, 13, 12, 11, 9, 10, 5, 5, 1, 1, 1, 2, 7, 3, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 2, 0, 1, 1]"
label_propagation,,0.7834932904785847,0.4768518518518518,0.5740740740740741,0.5209658998205253,19,173,21,24,"[2, 2, 1, 1, 0, 1, 0, 1, 1, 2, 1, 1, 1, 2, 2, 1, 0, 0, 16, 15, 14, 12, 7, 10, 5, 5, 5, 4, 13, 13, 13, 11, 10, 11, 4, 5, 0, 0, 0, 2, 7, 2, 2, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 3, 2, 1, 1, 3, 2, 2, 1, 2, 1, 3, 2]"
infomap,,0.8206515797202073,0.6111111111111112,0.6342592592592591,0.6224700536968194,26,173,21,17,"[2, 2, 1, 1, 0, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 0, 0, 15, 14, 14, 12, 7, 9, 7, 6, 5, 4, 14, 13, 13, 11, 9, 11, 4, 5, 1, 1, 0, 2, 7, 3, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 2, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 2, 0, 3, 2]"
surprise_communities,,0.6452921125715243,0.6759259259259259,0.3455026455026455,0.4572697535660499,29,123,71,14,"[1, 1, 2, 1, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 9, 9, 8, 7, 7, 6, 5, 4, 5, 3, 10, 11, 9, 11, 6, 7, 3, 3, 7, 6, 6, 7, 7, 6, 2, 2, 1, 1, 4, 3, 4, 1, 4, 4, 2, 4, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 2, 1, 1, 1, 2, 0, 1, 1]"
walktrap,,0.8192023889327812,0.7314814814814814,0.5962962962962962,0.6570070768118188,31,164,30,12,"[2, 2, 2, 1, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 14, 15, 13, 11, 7, 10, 6, 6, 5, 4, 12, 11, 12, 11, 8, 10, 5, 4, 2, 0, 1, 3, 7, 2, 1, 0, 1, 0, 2, 3, 1, 1, 2, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 2, 1, 1, 1, 2, 0, 1, 1]"
df_node_similarity,,0.8528106470508433,0.7685185185185185,0.6907407407407408,0.7275568715924046,33,172,22,10,"[2, 2, 2, 1, 0, 1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1, 16, 15, 14, 12, 8, 9, 5, 6, 4, 4, 13, 13, 13, 11, 9, 11, 4, 5, 0, 0, 0, 2, 6, 3, 2, 0, 2, 0, 1, 1, 0, 1, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 1, 1, 2, 0, 0, 1]"
leiden,0.05,0.8247619845659062,0.7268518518518517,0.5648148148148149,0.6356697198991106,32,166,28,11,"[2, 2, 2, 1, 0, 1, 1, 0, 1, 1, 4, 3, 3, 3, 3, 2, 2, 1, 14, 12, 13, 11, 12, 10, 7, 5, 6, 4, 12, 11, 10, 10, 9, 9, 5, 6, 2, 3, 1, 3, 2, 2, 0, 1, 0, 0, 2, 3, 3, 2, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3, 1, 2, 0, 0, 0, 0, 1, 0, 1, 1]"
eigenvector,0.05,0.8646998471753375,0.7638888888888888,0.6863756613756613,0.7230608253273338,34,171,23,9,"[2, 2, 2, 1, 0, 1, 1, 2, 1, 2, 4, 2, 3, 3, 3, 2, 2, 1, 15, 14, 14, 10, 12, 11, 7, 6, 6, 4, 11, 11, 10, 10, 9, 9, 5, 7, 1, 1, 0, 4, 2, 1, 0, 0, 0, 0, 3, 3, 3, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1]"
louvain,0.05,0.8216755648128199,0.7268518518518517,0.5592592592592592,0.6321360957790043,32,165,29,11,"[2, 2, 2, 1, 0, 1, 1, 0, 1, 1, 4, 3, 3, 3, 3, 2, 2, 1, 13, 12, 13, 11, 12, 10, 7, 5, 6, 4, 12, 11, 10, 10, 9, 9, 5, 6, 3, 3, 1, 3, 2, 2, 0, 1, 0, 0, 2, 3, 3, 2, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3, 1, 2, 0, 0, 0, 0, 1, 0, 1, 1]"
greedy_modularity,0.05,0.8036368678525543,0.7083333333333333,0.5231481481481483,0.6018170426065164,31,164,30,12,"[2, 2, 2, 1, 0, 1, 1, 0, 1, 1, 4, 2, 3, 3, 3, 2, 2, 1, 14, 12, 13, 11, 12, 10, 7, 5, 3, 4, 12, 11, 12, 10, 8, 9, 5, 6, 2, 3, 1, 3, 2, 2, 0, 1, 3, 0, 2, 3, 1, 2, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3, 1, 2, 0, 1, 0, 0, 1, 0, 1, 1]"
