method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.8801302674295044,0.2498244185610176,0.11155464905464904,0.15423735260446989,24,3041,184,258,"[1, 1, 1, 0, 1, 1, 2, 2, 2, 3, 3, 1, 0, 2, 1, 2, 0, 1, 76, 68, 61, 57, 117, 375, 357, 330, 309, 296, 273, 73, 51, 140, 129, 123, 108, 98, 7, 6, 10, 8, 9, 13, 12, 14, 14, 12, 12, 6, 10, 8, 11, 9, 11, 12, 1, 1, 0, 2, 2, 46, 41, 43, 41, 32, 32, 1, 2, 3, 4, 3, 2, 2]"
eigenvector,,0.8874297225067933,0.2721753597805058,0.1423100048100048,0.1868981636917143,27,3066,160,254,"[1, 0, 1, 1, 0, 3, 2, 3, 3, 1, 2, 1, 0, 3, 3, 1, 0, 2, 77, 68, 58, 53, 116, 376, 360, 338, 314, 299, 273, 73, 61, 141, 133, 123, 105, 98, 6, 6, 7, 9, 10, 12, 9, 6, 9, 9, 12, 6, 10, 7, 7, 9, 14, 12, 1, 2, 1, 0, 3, 44, 41, 42, 40, 34, 33, 1, 1, 2, 2, 4, 2, 1]"
louvain,,0.8821831846892919,0.25695038951677573,0.11052969361792891,0.15456972571700484,23,3042,183,259,"[0, 1, 1, 1, 1, 3, 2, 2, 2, 1, 1, 1, 0, 2, 2, 2, 0, 1, 76, 68, 60, 59, 117, 376, 356, 330, 311, 292, 272, 74, 51, 139, 131, 123, 109, 98, 7, 6, 11, 6, 9, 12, 13, 14, 12, 16, 13, 5, 10, 9, 9, 9, 10, 12, 2, 1, 0, 1, 2, 44, 41, 43, 41, 34, 34, 1, 2, 3, 3, 3, 2, 2]"
greedy_modularity,,0.882897880201754,0.10545916902506047,0.09776134359467692,0.10146446267025826,17,3071,154,265,"[1, 1, 0, 0, 0, 3, 2, 3, 1, 3, 0, 0, 0, 1, 1, 1, 0, 0, 77, 68, 58, 117, 379, 364, 336, 315, 297, 276, 71, 63, 51, 138, 130, 124, 109, 98, 6, 6, 7, 9, 9, 5, 8, 8, 11, 9, 8, 8, 10, 10, 10, 8, 10, 12, 1, 1, 2, 3, 47, 40, 43, 40, 34, 32, 2, 1, 2, 4, 4, 4, 2, 3]"
label_propagation,,0.8044928157759652,0.38212699634438047,0.08095377771657575,0.13360357697550942,37,2828,397,245,"[1, 1, 1, 0, 1, 2, 3, 4, 7, 2, 2, 1, 1, 3, 1, 3, 2, 2, 69, 62, 58, 51, 101, 365, 340, 321, 299, 273, 255, 65, 42, 128, 113, 108, 94, 84, 14, 12, 13, 14, 25, 23, 29, 23, 24, 35, 30, 14, 19, 20, 27, 24, 25, 26, 1, 1, 0, 2, 2, 45, 40, 41, 36, 33, 33, 1, 1, 2, 4, 2, 0, 1]"
infomap,,0.8332724472270845,0.27618493472856,0.08868046885769679,0.13425339460758687,39,2887,338,243,"[0, 1, 1, 0, 1, 6, 6, 5, 4, 2, 5, 1, 1, 2, 1, 1, 0, 2, 72, 64, 58, 52, 108, 363, 343, 318, 297, 276, 260, 68, 50, 130, 123, 114, 98, 93, 11, 10, 13, 13, 18, 25, 26, 26, 26, 32, 25, 11, 11, 18, 17, 18, 21, 17, 2, 1, 0, 2, 2, 41, 37, 40, 39, 33, 30, 1, 1, 3, 4, 4, 2, 1]"
surprise_communities,,0.7768782245674786,0.2778788767325795,0.08138285334882228,0.12589471118306397,56,2737,488,226,"[0, 0, 1, 0, 0, 6, 8, 7, 10, 8, 6, 1, 1, 3, 2, 2, 1, 0, 62, 54, 54, 49, 96, 349, 330, 307, 286, 271, 248, 64, 41, 127, 113, 107, 94, 85, 21, 20, 17, 16, 30, 39, 39, 37, 37, 37, 37, 15, 20, 21, 27, 25, 25, 25, 2, 2, 0, 2, 3, 41, 35, 38, 33, 27, 29, 1, 1, 2, 3, 3, 1, 3]"
walktrap,,0.8517437751353061,0.20294648693131295,0.07857452646539334,0.1132876293392145,24,2961,264,258,"[0, 1, 1, 1, 2, 3, 1, 1, 4, 4, 1, 0, 0, 1, 0, 2, 1, 1, 74, 65, 55, 110, 371, 354, 323, 309, 290, 259, 72, 61, 48, 130, 118, 121, 104, 97, 9, 9, 10, 16, 17, 15, 21, 14, 18, 26, 7, 10, 13, 18, 22, 11, 15, 13, 2, 1, 1, 2, 45, 40, 44, 42, 31, 31, 1, 1, 2, 4, 5, 3, 1, 2]"
df_node_similarity,,0.8820331701868631,0.3330885708875153,0.16770694786045662,0.22309012560816877,37,3053,172,245,"[1, 1, 1, 1, 1, 4, 5, 3, 5, 4, 4, 0, 0, 2, 1, 2, 0, 2, 77, 68, 61, 57, 115, 382, 358, 336, 315, 293, 276, 74, 51, 138, 131, 123, 104, 94, 6, 6, 10, 8, 11, 6, 11, 8, 8, 15, 9, 5, 10, 10, 9, 9, 15, 16, 1, 1, 0, 1, 2, 43, 38, 42, 38, 31, 31, 2, 2, 3, 4, 3, 2, 1]"
leiden,0.05,0.3390062801248684,0.8434168741442368,0.06089509678614388,0.11358901315712921,232,851,2374,50,"[2, 1, 1, 2, 2, 39, 36, 36, 34, 31, 27, 2, 1, 5, 3, 5, 2, 3, 31, 24, 26, 26, 39, 74, 82, 71, 69, 71, 63, 19, 32, 48, 54, 43, 38, 41, 52, 50, 45, 39, 87, 314, 287, 273, 254, 237, 222, 60, 29, 100, 86, 89, 81, 69, 0, 1, 0, 0, 1, 8, 7, 9, 9, 4, 8, 0, 1, 0, 2, 0, 0, 0]"
