method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9451852568923075,0.3844507714632476,0.2880838297504964,0.3293631298487363,55,5798,133,220,"[1, 0, 0, 1, 1, 2, 2, 2, 3, 2, 2, 1, 8, 7, 4, 5, 7, 7, 358, 340, 319, 301, 282, 262, 376, 354, 337, 314, 295, 273, 381, 363, 340, 317, 302, 284, 10, 10, 10, 9, 8, 9, 7, 9, 6, 8, 7, 12, 3, 3, 7, 6, 5, 4, 1, 1, 2, 1, 1, 0, 3, 3, 1, 3, 2, 0, 41, 37, 36, 36, 28, 24]"
eigenvector,,0.9394643407314809,0.5176418583789046,0.3127454562503582,0.3899147694597714,75,5748,184,199,"[2, 1, 1, 2, 2, 1, 3, 2, 3, 2, 1, 5, 9, 11, 13, 8, 0, 9, 357, 335, 323, 302, 281, 367, 350, 336, 313, 276, 265, 383, 362, 342, 322, 299, 260, 275, 11, 15, 6, 8, 9, 16, 13, 7, 9, 26, 20, 1, 4, 5, 1, 8, 12, 13, 0, 0, 1, 0, 0, 4, 2, 2, 2, 2, 0, 44, 35, 29, 28, 27, 1, 22]"
louvain,,0.9467506164683049,0.4171868656863599,0.32892169558836226,0.3678333646361306,63,5802,130,211,"[1, 1, 0, 1, 2, 2, 2, 0, 4, 3, 1, 8, 8, 10, 7, 7, 0, 6, 358, 340, 319, 301, 281, 374, 356, 334, 317, 295, 273, 379, 363, 345, 321, 305, 259, 282, 10, 10, 10, 9, 9, 9, 7, 9, 5, 7, 12, 5, 3, 2, 2, 2, 13, 6, 1, 0, 2, 1, 0, 3, 3, 4, 1, 1, 0, 41, 36, 30, 34, 28, 1, 25]"
greedy_modularity,,0.9456205032720509,0.29996914341637276,0.2779320987654321,0.28853045298820545,44,5811,121,230,"[0, 0, 0, 1, 2, 1, 2, 2, 0, 4, 1, 4, 5, 6, 6, 4, 0, 6, 359, 340, 320, 301, 282, 376, 357, 335, 313, 297, 274, 382, 362, 344, 319, 302, 263, 285, 9, 10, 9, 9, 8, 7, 6, 8, 9, 5, 11, 2, 4, 3, 4, 5, 9, 3, 2, 1, 2, 1, 0, 4, 3, 2, 5, 0, 0, 45, 39, 34, 35, 31, 1, 25]"
label_propagation,,0.959245009156725,0.1406625889752224,0.6666666666666666,0.23230933020569536,15,5920,9,262,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 0, 1, 368, 349, 328, 309, 289, 383, 363, 343, 322, 302, 384, 366, 347, 323, 306, 287, 271, 280, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 1, 2, 2, 1, 4, 4, 3, 4, 3, 48, 43, 39, 40, 33, 30, 1, 3]"
infomap,,0.9333137904513824,0.3217855954817852,0.4842151921258201,0.38663355256022536,55,5738,194,219,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 12, 9, 13, 1, 8, 368, 349, 328, 284, 268, 383, 363, 343, 322, 279, 258, 384, 366, 331, 304, 290, 249, 269, 0, 1, 1, 26, 22, 0, 0, 0, 0, 23, 27, 0, 0, 16, 19, 17, 23, 19, 1, 1, 2, 2, 1, 4, 4, 3, 4, 1, 0, 48, 43, 28, 32, 22, 0, 23]"
surprise_communities,,0.7989254703259004,0.5205740143612461,0.09310447275449836,0.15795818218947955,115,4842,1089,160,"[2, 0, 1, 1, 2, 2, 0, 1, 2, 1, 4, 1, 17, 18, 14, 20, 16, 13, 293, 280, 259, 246, 232, 211, 312, 297, 277, 263, 247, 230, 326, 304, 291, 274, 259, 241, 75, 70, 70, 64, 58, 60, 71, 66, 66, 59, 55, 55, 58, 62, 56, 49, 48, 47, 0, 1, 1, 1, 0, 0, 5, 4, 2, 4, 0, 0, 32, 26, 26, 21, 19, 18]"
walktrap,,0.8538764648552895,0.18381655513694406,0.0350904289289419,0.05893098195582927,23,5273,656,254,"[1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 2, 4, 1, 3, 4, 0, 2, 1, 330, 310, 281, 275, 248, 349, 340, 306, 286, 255, 358, 330, 303, 295, 270, 230, 255, 252, 38, 40, 48, 35, 42, 34, 23, 37, 36, 47, 26, 36, 44, 28, 37, 42, 33, 30, 1, 0, 2, 1, 2, 4, 5, 4, 4, 3, 47, 40, 39, 38, 31, 1, 29, 3]"
df_node_similarity,,0.9350429335592687,0.3197056032555359,0.5126322751322752,0.39380980975387014,17,5789,140,260,"[1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 3, 1, 4, 0, 1, 0, 367, 343, 326, 308, 284, 382, 361, 338, 321, 295, 384, 366, 346, 322, 306, 262, 275, 203, 1, 7, 3, 2, 6, 1, 2, 5, 1, 7, 0, 0, 1, 1, 1, 10, 13, 79, 1, 1, 2, 1, 2, 4, 4, 3, 4, 4, 48, 43, 37, 40, 31, 1, 30, 4]"
leiden,0.05,0.7201331208050777,0.8730989039871249,0.10702331039468557,0.1906740478596543,208,4292,1639,67,"[2, 1, 2, 1, 2, 2, 4, 5, 4, 5, 4, 1, 32, 30, 31, 30, 28, 24, 282, 245, 234, 213, 216, 155, 304, 260, 246, 227, 221, 173, 291, 309, 249, 240, 227, 200, 86, 105, 95, 97, 74, 116, 79, 103, 97, 95, 81, 112, 93, 57, 98, 83, 80, 88, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 17, 14, 9, 11, 7, 7]"
