method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9754616372397261,0.4481593072356632,0.2808928777579169,0.34533812556786564,79,42789,254,896,"[8, 4, 7, 4, 6, 3, 4, 4, 11, 2, 10, 6, 3, 7, 2619, 2983, 2796, 2920, 3541, 2716, 3104, 3470, 3052, 3275, 3230, 3363, 2534, 3186, 9, 25, 23, 11, 29, 34, 11, 12, 6, 25, 7, 21, 32, 9, 23, 27, 23, 1, 33, 0, 1, 1, 359, 1, 371, 29, 0, 27]"
eigenvector,,0.9741207370550068,0.4441273578075263,0.22906961714879642,0.3022475964776201,75,42737,306,900,"[7, 4, 7, 4, 3, 3, 4, 4, 11, 2, 8, 7, 3, 8, 2616, 2973, 2796, 2912, 3547, 2712, 3103, 3468, 3046, 3269, 3226, 3362, 2524, 3183, 12, 35, 23, 19, 23, 38, 12, 14, 12, 31, 11, 22, 42, 12, 24, 27, 23, 1, 36, 0, 1, 1, 359, 1, 373, 28, 0, 26]"
louvain,,0.975411357355519,0.44758573028413356,0.2739253843299772,0.3398564227365181,76,42789,254,899,"[8, 4, 7, 4, 6, 3, 4, 4, 9, 2, 9, 6, 3, 7, 2620, 2983, 2797, 2919, 3541, 2717, 3104, 3469, 3050, 3275, 3231, 3363, 2534, 3186, 8, 25, 22, 12, 29, 33, 11, 13, 8, 25, 6, 21, 32, 9, 23, 27, 23, 1, 33, 0, 1, 1, 361, 1, 372, 29, 0, 27]"
greedy_modularity,,0.9762309631690574,0.39955177256827407,0.3016916304829701,0.34379339671213915,69,42832,209,908,"[7, 4, 6, 3, 5, 3, 4, 4, 7, 2, 7, 6, 3, 8, 2621, 2987, 2798, 2922, 3545, 2719, 3106, 3474, 3052, 3279, 3230, 3370, 2538, 3191, 7, 21, 21, 9, 25, 31, 9, 8, 6, 21, 7, 14, 26, 4, 24, 27, 24, 2, 34, 0, 1, 1, 363, 1, 374, 29, 2, 26]"
label_propagation,,0.970236641474434,0.456132891352303,0.15473151529314322,0.23107626729003047,81,42558,485,894,"[8, 4, 8, 4, 7, 3, 4, 4, 10, 2, 9, 7, 3, 8, 2601, 2960, 2781, 2906, 3520, 2706, 3091, 3457, 3033, 3253, 3212, 3346, 2518, 3174, 27, 48, 38, 25, 50, 44, 24, 25, 25, 47, 25, 38, 48, 21, 23, 27, 22, 1, 32, 0, 1, 1, 360, 1, 372, 28, 0, 26]"
infomap,,0.9779178771896959,0.35450103918512876,0.4855678401896889,0.40980997670149677,54,42919,122,923,"[7, 1, 5, 3, 4, 3, 3, 3, 2, 2, 6, 6, 3, 6, 2626, 2995, 2803, 2929, 3552, 2727, 3113, 3480, 3058, 3285, 3237, 3373, 2546, 3195, 2, 13, 16, 2, 18, 23, 2, 2, 0, 15, 0, 11, 18, 0, 24, 30, 25, 2, 35, 0, 2, 2, 368, 1, 375, 29, 2, 28]"
surprise_communities,,0.895408356596385,0.5211144501936663,0.03560444474908621,0.0666547904819316,146,39228,3815,829,"[11, 10, 11, 4, 12, 3, 4, 4, 30, 2, 27, 12, 3, 13, 2348, 2726, 2555, 2671, 3274, 2495, 2846, 3196, 2786, 3040, 2956, 3110, 2313, 2912, 280, 282, 264, 260, 296, 255, 269, 286, 272, 260, 281, 274, 253, 283, 20, 21, 19, 1, 27, 0, 1, 1, 340, 1, 354, 23, 0, 21]"
walktrap,,0.9620603366697397,0.4688296620683393,0.10317822969956317,0.16913408104685204,95,42189,854,880,"[8, 6, 9, 4, 8, 3, 4, 4, 15, 2, 13, 6, 3, 10, 2579, 2926, 2745, 2880, 3499, 2677, 3065, 3429, 3007, 3224, 3185, 3322, 2500, 3151, 49, 82, 74, 51, 71, 73, 50, 53, 51, 76, 52, 62, 66, 44, 23, 25, 21, 1, 31, 0, 1, 1, 355, 1, 368, 29, 0, 24]"
df_node_similarity,,0.9777987697742853,0.44062452964226273,0.4769695865949928,0.4580772610201492,61,42908,133,916,"[6, 4, 5, 3, 4, 3, 3, 3, 7, 2, 6, 5, 3, 7, 2625, 2991, 2803, 2929, 3552, 2726, 3112, 3479, 3058, 3283, 3237, 3374, 2544, 3195, 3, 17, 16, 2, 18, 24, 3, 3, 0, 17, 0, 10, 20, 0, 25, 27, 25, 2, 35, 0, 2, 2, 363, 1, 375, 30, 2, 27]"
leiden,0.05,0.9327192278876886,0.4763044948569908,0.0499954373046364,0.09049232217353274,110,40898,2145,865,"[10, 7, 9, 4, 7, 3, 4, 4, 18, 2, 23, 7, 3, 9, 2485, 2868, 2660, 2822, 3387, 2573, 2982, 3330, 2937, 3137, 3093, 3189, 2382, 3053, 143, 140, 159, 109, 183, 177, 133, 152, 121, 163, 144, 195, 184, 142, 21, 24, 21, 1, 32, 0, 1, 1, 352, 1, 358, 28, 0, 25]"
eigenvector,0.05,0.9454746771344323,0.499239063454554,0.06766981691929509,0.11918464216207543,99,41484,1559,876,"[9, 6, 10, 5, 4, 3, 4, 5, 19, 2, 11, 8, 3, 10, 2529, 2910, 2738, 2854, 3455, 2587, 2979, 3372, 2973, 3166, 3155, 3283, 2371, 3112, 99, 98, 81, 77, 115, 163, 136, 110, 85, 134, 82, 101, 195, 83, 22, 25, 20, 0, 35, 0, 1, 0, 351, 1, 370, 27, 0, 24]"
louvain,0.05,0.9313947358919743,0.49204492595175264,0.04910942354964344,0.08930554728528603,107,40852,2191,868,"[9, 8, 10, 4, 7, 3, 5, 4, 20, 2, 16, 7, 3, 9, 2515, 2870, 2622, 2806, 3395, 2551, 2966, 3331, 2912, 3140, 3123, 3197, 2367, 3057, 113, 138, 197, 125, 175, 199, 149, 151, 146, 160, 114, 187, 199, 138, 22, 23, 20, 1, 32, 0, 0, 1, 350, 1, 365, 28, 0, 25]"
greedy_modularity,0.05,0.9470164998342205,0.43482277080791926,0.06070336317428088,0.10653405648126064,88,41550,1491,889,"[8, 5, 8, 4, 7, 3, 4, 4, 11, 2, 12, 7, 3, 10, 2532, 2890, 2683, 2863, 3441, 2586, 3005, 3364, 2994, 3207, 3167, 3288, 2461, 3069, 96, 118, 136, 68, 129, 164, 110, 118, 64, 93, 70, 96, 103, 126, 23, 26, 22, 1, 32, 0, 1, 1, 359, 1, 369, 28, 2, 24]"
label_propagation,0.05,0.9226891530386396,0.5174766811562094,0.06691416182115174,0.11850465761969699,171,40394,2649,804,"[10, 5, 14, 4, 14, 3, 4, 4, 42, 2, 44, 9, 3, 13, 2516, 2703, 2672, 2792, 3280, 2608, 2963, 3300, 2917, 3051, 3102, 3162, 2289, 3039, 112, 305, 147, 139, 290, 142, 152, 182, 141, 249, 135, 222, 277, 156, 21, 26, 16, 1, 25, 0, 1, 1, 328, 1, 337, 26, 0, 21]"
infomap,0.05,0.9782243265553385,0.43675185043201903,0.530952380952381,0.4792671714176344,75,42912,129,902,"[9, 2, 8, 4, 6, 3, 4, 4, 6, 2, 8, 7, 4, 8, 2622, 3007, 2792, 2927, 3566, 2723, 3111, 3479, 3058, 3275, 3237, 3364, 2556, 3195, 6, 1, 27, 4, 4, 27, 4, 3, 0, 25, 0, 20, 8, 0, 22, 29, 22, 1, 33, 0, 1, 1, 364, 1, 373, 28, 1, 26]"
surprise_communities,0.05,0.7397162646203362,0.6531709047821004,0.028685932627319475,0.054958212752962816,328,32253,10790,647,"[16, 15, 16, 4, 22, 3, 5, 5, 105, 2, 96, 17, 3, 19, 1972, 2196, 2057, 2187, 2673, 2085, 2367, 2641, 2327, 2519, 2519, 2556, 1774, 2380, 656, 812, 762, 744, 897, 665, 748, 841, 731, 781, 718, 828, 792, 815, 15, 16, 14, 1, 17, 0, 0, 0, 265, 1, 285, 18, 0, 15]"
walktrap,0.05,0.8387365517883858,0.519905499926439,0.02538016183285613,0.04839769922925196,171,36716,6327,804,"[10, 8, 13, 4, 14, 3, 4, 4, 43, 2, 42, 6, 3, 15, 2255, 2540, 2364, 2492, 3066, 2356, 2688, 2991, 2603, 2845, 2780, 2917, 2119, 2700, 373, 468, 455, 439, 504, 394, 427, 491, 455, 455, 457, 467, 447, 495, 21, 23, 17, 1, 25, 0, 1, 1, 327, 1, 339, 29, 0, 19]"
df_node_similarity,0.05,0.9771877661708733,0.539432766025552,0.48726101105668385,0.5120213267829339,77,42868,173,900,"[7, 6, 8, 4, 5, 3, 4, 3, 9, 2, 7, 6, 4, 9, 2616, 2980, 2806, 2927, 3563, 2722, 3111, 3471, 3058, 3269, 3237, 3373, 2540, 3195, 12, 28, 13, 4, 7, 28, 4, 11, 0, 31, 0, 11, 24, 0, 24, 25, 22, 1, 34, 0, 1, 2, 361, 1, 374, 29, 1, 25]"
leiden,0.1,0.9495012909239502,0.4707476698437269,0.0680571526311324,0.11892152661198327,103,41632,1411,872,"[9, 6, 9, 4, 7, 3, 4, 4, 16, 2, 20, 7, 3, 9, 2535, 2917, 2704, 2848, 3452, 2641, 3026, 3378, 2976, 3209, 3140, 3247, 2454, 3105, 93, 91, 115, 83, 118, 109, 89, 104, 82, 91, 97, 137, 112, 90, 22, 25, 21, 1, 32, 0, 1, 1, 354, 1, 361, 28, 0, 25]"
eigenvector,0.1,0.9577221516850215,0.46797738703158737,0.09049792148872415,0.15166643962216486,94,42011,1032,881,"[9, 5, 10, 4, 4, 3, 4, 4, 17, 2, 11, 8, 3, 10, 2563, 2951, 2764, 2879, 3501, 2641, 3035, 3414, 2998, 3199, 3171, 3321, 2443, 3131, 65, 57, 55, 52, 69, 109, 80, 68, 60, 101, 66, 63, 123, 64, 22, 26, 20, 1, 35, 0, 1, 1, 353, 1, 370, 27, 0, 24]"
