method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.8094835583806173,0.6851851851851851,0.5694444444444445,0.6219762197621976,29,166,28,14,"[2, 2, 2, 1, 0, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 15, 14, 13, 12, 7, 9, 6, 4, 5, 4, 13, 12, 12, 11, 9, 10, 5, 5, 1, 1, 1, 2, 7, 3, 1, 2, 1, 0, 1, 2, 1, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 2, 1, 1, 1, 2, 0, 1, 1]"
eigenvector,,0.8299855554757517,0.6851851851851851,0.6527777777777778,0.6685890042291427,29,171,23,14,"[2, 2, 2, 1, 0, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 16, 15, 14, 12, 7, 9, 5, 6, 5, 4, 13, 13, 12, 11, 9, 10, 5, 5, 0, 0, 0, 2, 7, 3, 2, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 2, 1, 1, 1, 2, 0, 1, 1]"
louvain,,0.8211347929485185,0.7129629629629629,0.587962962962963,0.6444576248846711,30,166,28,13,"[2, 2, 2, 1, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 15, 14, 12, 12, 7, 9, 5, 5, 6, 4, 13, 12, 12, 11, 9, 10, 5, 5, 1, 1, 2, 2, 7, 3, 2, 1, 0, 0, 1, 2, 1, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 2, 1, 1, 1, 2, 0, 1, 1]"
greedy_modularity,,0.8112083223602832,0.6759259259259259,0.5694444444444444,0.6181330028913672,29,167,27,14,"[2, 2, 2, 1, 0, 1, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 1, 15, 14, 13, 12, 7, 9, 6, 5, 4, 4, 13, 13, 12, 11, 9, 10, 5, 5, 1, 1, 1, 2, 7, 3, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 2, 1, 2, 1, 1, 1, 2, 0, 1, 1]"
label_propagation,,0.7958389694909305,0.5046296296296295,0.6018518518518519,0.5489694715636138,20,174,20,23,"[2, 2, 1, 1, 0, 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 0, 16, 15, 14, 12, 7, 10, 5, 6, 5, 5, 4, 13, 13, 13, 11, 10, 11, 4, 0, 0, 0, 2, 7, 2, 2, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 3, 1, 2, 1, 1, 3, 2, 2, 1, 2, 1, 3]"
infomap,,0.8329972587325529,0.6388888888888888,0.6620370370370369,0.6502570185844206,27,174,20,16,"[2, 2, 1, 1, 0, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 0, 15, 14, 14, 12, 7, 9, 7, 6, 6, 5, 4, 14, 13, 13, 11, 9, 11, 4, 1, 1, 0, 2, 7, 3, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 0, 3]"
surprise_communities,,0.569951050220658,0.4537037037037038,0.2601851851851852,0.3307152807801316,21,117,77,22,"[1, 0, 1, 0, 0, 2, 1, 2, 1, 2, 2, 2, 2, 2, 1, 1, 1, 0, 9, 8, 7, 6, 7, 5, 3, 5, 2, 10, 11, 9, 11, 6, 6, 8, 2, 2, 7, 7, 7, 8, 7, 2, 3, 1, 2, 4, 3, 4, 1, 4, 5, 4, 3, 5, 1, 2, 1, 1, 0, 1, 2, 0, 2, 2, 1, 1, 1, 2, 1, 0, 2, 2]"
walktrap,,0.802138896869289,0.699074074074074,0.5731481481481482,0.6298789692166693,30,163,31,13,"[2, 2, 2, 1, 0, 1, 1, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 1, 14, 15, 13, 11, 7, 10, 5, 6, 4, 4, 12, 11, 12, 11, 9, 10, 5, 4, 2, 0, 1, 3, 7, 2, 2, 0, 2, 0, 2, 3, 1, 1, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1]"
df_node_similarity,,0.8547099822835117,0.7685185185185185,0.6972222222222222,0.7311363795886853,33,172,22,10,"[2, 2, 2, 1, 0, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 3, 16, 15, 14, 12, 8, 5, 6, 4, 4, 13, 13, 13, 11, 9, 11, 6, 8, 4, 0, 0, 0, 2, 6, 2, 0, 2, 0, 1, 1, 0, 1, 1, 0, 1, 4, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 1, 1, 2, 0, 1, 0, 0]"
leiden,0.05,0.6264451507098564,0.8055555555555556,0.31384479717813046,0.4517050925196506,36,116,78,7,"[2, 2, 2, 1, 0, 1, 2, 0, 1, 1, 4, 3, 3, 3, 4, 2, 3, 2, 9, 8, 11, 5, 10, 6, 6, 5, 4, 1, 10, 7, 10, 8, 6, 5, 2, 3, 7, 7, 3, 9, 4, 6, 1, 1, 2, 3, 4, 7, 3, 4, 4, 6, 3, 4, 0, 0, 0, 0, 0, 0, 1, 3, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
