method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9081659572451635,0.20376537252598376,0.11157408889102252,0.14419340785935858,30,6624,219,502,"[1, 1, 1, 0, 1, 0, 1, 5, 4, 6, 2, 5, 3, 134, 108, 552, 522, 492, 461, 405, 759, 716, 679, 642, 595, 559, 13, 13, 18, 18, 17, 19, 15, 18, 17, 17, 20, 17, 17, 0, 0, 9, 9, 9, 8, 6, 90, 89, 78, 70, 71, 63]"
greedy_modularity,,0.9104710174376466,0.17993205624784572,0.08205800609646764,0.11271317420529757,14,6674,169,518,"[1, 1, 1, 1, 0, 0, 0, 2, 0, 3, 2, 1, 2, 133, 106, 558, 526, 493, 466, 402, 768, 721, 687, 651, 601, 562, 14, 15, 12, 14, 16, 14, 18, 9, 12, 9, 11, 11, 14, 0, 0, 9, 8, 10, 8, 7, 93, 93, 81, 70, 75, 64]"
surprise_communities,,0.8183281335803818,0.3083790724192131,0.05925403210827612,0.09940727988647251,62,6107,875,471,"[1, 1, 1, 0, 1, 0, 1, 3, 13, 10, 10, 4, 12, 5, 117, 109, 96, 498, 472, 434, 413, 355, 708, 668, 622, 580, 534, 501, 30, 30, 25, 72, 68, 75, 67, 65, 69, 65, 74, 82, 78, 75, 0, 0, 0, 10, 8, 10, 7, 4, 82, 83, 74, 68, 64, 61]"
df_node_similarity,,0.8954624770210248,0.28889264470000586,0.12081780459770672,0.17038069278881285,36,6690,292,497,"[1, 1, 1, 0, 0, 0, 2, 1, 4, 5, 7, 2, 5, 7, 133, 120, 101, 550, 522, 481, 460, 397, 759, 712, 680, 625, 590, 560, 14, 19, 20, 20, 18, 28, 20, 23, 18, 21, 16, 37, 22, 16, 0, 0, 0, 10, 9, 10, 6, 6, 91, 88, 77, 70, 71, 59]"
eigenvector,,0.904972056710197,0.21895632192745945,0.13333916386480663,0.16574412143297348,30,6637,198,502,"[1, 1, 1, 1, 2, 0, 1, 3, 4, 4, 6, 2, 4, 119, 103, 552, 524, 491, 468, 407, 757, 721, 681, 652, 597, 565, 20, 18, 18, 16, 18, 12, 13, 20, 12, 15, 10, 15, 11, 0, 0, 9, 8, 8, 8, 6, 92, 89, 80, 66, 74, 62]"
louvain,,0.9064161033239704,0.12459644243387878,0.10463495420589243,0.11374657432963613,26,6485,211,505,"[1, 0, 1, 1, 0, 0, 5, 2, 5, 5, 5, 1, 108, 551, 522, 492, 462, 399, 759, 713, 679, 645, 598, 557, 13, 19, 18, 17, 18, 21, 18, 20, 17, 17, 14, 19, 0, 10, 8, 9, 8, 7, 90, 91, 79, 67, 71, 65]"
label_propagation,,0.8464936726826245,0.22856202701279102,0.08654055064774763,0.12554567989704774,62,6089,607,469,"[1, 1, 1, 2, 2, 3, 8, 7, 10, 10, 11, 6, 89, 525, 492, 465, 420, 358, 728, 681, 646, 605, 558, 522, 32, 45, 48, 44, 60, 62, 49, 52, 50, 57, 54, 54, 0, 9, 8, 8, 6, 4, 87, 86, 74, 62, 65, 60]"
walktrap,,0.8705032982428639,0.136337881605284,0.034492215748941,0.0550558209579657,14,6274,422,517,"[1, 3, 0, 1, 0, 1, 3, 1, 3, 0, 0, 1, 96, 537, 508, 476, 441, 388, 739, 702, 671, 616, 571, 529, 25, 33, 32, 33, 39, 32, 38, 31, 25, 46, 41, 47, 0, 7, 9, 9, 8, 6, 92, 92, 81, 72, 76, 65]"
infomap,,0.8594520943607563,0.08608265309145073,0.06086869287598653,0.07131256319536772,38,6028,547,492,"[0, 2, 0, 0, 2, 3, 5, 3, 10, 9, 4, 523, 495, 456, 436, 378, 719, 680, 643, 614, 561, 523, 47, 45, 53, 44, 42, 58, 53, 53, 48, 51, 53, 10, 7, 10, 8, 5, 92, 88, 81, 62, 67, 62]"
leiden,0.05,0.6205171520505306,0.5546964919630454,0.07901392388342753,0.13832421023356065,216,4673,2170,316,"[1, 1, 5, 6, 6, 4, 4, 26, 36, 34, 30, 32, 31, 46, 45, 383, 383, 344, 286, 259, 572, 543, 500, 492, 428, 392, 101, 76, 187, 157, 165, 194, 161, 205, 190, 196, 170, 184, 184, 0, 0, 5, 3, 4, 4, 3, 69, 57, 50, 42, 44, 35]"
greedy_modularity,0.05,0.6965034249275404,0.3940418334730729,0.07508712521596995,0.12613788998659853,103,5472,1371,429,"[1, 1, 6, 4, 5, 2, 2, 10, 15, 12, 15, 15, 15, 46, 42, 452, 406, 383, 359, 257, 704, 650, 609, 577, 528, 459, 101, 79, 118, 134, 126, 121, 163, 73, 83, 87, 85, 84, 117, 0, 0, 4, 5, 5, 6, 5, 85, 78, 72, 57, 61, 51]"
surprise_communities,0.05,0.3137343991897242,0.8354105615596035,0.057651500078672965,0.10785963064453943,428,1840,5142,105,"[1, 1, 1, 8, 7, 8, 4, 7, 77, 73, 71, 53, 66, 51, 57, 52, 43, 148, 142, 140, 130, 129, 170, 185, 162, 164, 174, 144, 90, 87, 78, 422, 398, 369, 350, 291, 607, 548, 534, 498, 438, 432, 0, 0, 0, 2, 2, 2, 4, 0, 18, 20, 13, 19, 10, 15]"
df_node_similarity,0.05,0.5575700026954119,0.7203200581050447,0.07827974573616374,0.14121333545514703,248,4298,2684,285,"[1, 1, 1, 2, 5, 6, 6, 4, 35, 32, 41, 49, 35, 30, 48, 49, 51, 385, 363, 243, 263, 213, 590, 503, 504, 329, 385, 372, 99, 90, 70, 185, 177, 266, 217, 207, 187, 230, 192, 333, 227, 204, 0, 0, 0, 8, 4, 4, 2, 3, 60, 61, 43, 23, 41, 36]"
eigenvector,0.05,0.7213089710558638,0.42614631642645223,0.08606026825701403,0.14320107318051312,150,5425,1410,382,"[1, 1, 2, 4, 5, 4, 2, 31, 25, 20, 15, 19, 21, 66, 54, 460, 402, 394, 372, 334, 605, 638, 576, 586, 489, 449, 73, 67, 110, 138, 115, 108, 86, 172, 95, 120, 76, 123, 127, 0, 0, 8, 5, 5, 4, 5, 64, 68, 64, 57, 57, 45]"
louvain,0.05,0.6418012535414198,0.4654379003063214,0.07749891144291939,0.13287340197767825,186,4613,2083,345,"[1, 6, 6, 1, 5, 4, 29, 31, 27, 25, 29, 22, 53, 365, 342, 333, 309, 222, 580, 522, 510, 477, 474, 426, 68, 205, 198, 176, 171, 198, 197, 211, 186, 185, 138, 150, 0, 4, 3, 9, 3, 3, 66, 62, 57, 47, 47, 44]"
label_propagation,0.05,0.5311090144965614,0.5851644476538366,0.07016746104601305,0.1253090320833686,298,3519,3177,233,"[1, 3, 5, 5, 3, 6, 53, 44, 44, 50, 44, 40, 68, 353, 320, 281, 247, 194, 401, 430, 330, 299, 325, 271, 53, 217, 220, 228, 233, 226, 376, 303, 366, 363, 287, 305, 0, 7, 4, 5, 5, 1, 42, 49, 40, 22, 32, 26]"
walktrap,0.05,0.5020183361914052,0.4366757609648102,0.05429109157950637,0.0965751704264035,219,3481,3215,312,"[1, 4, 3, 3, 2, 3, 45, 34, 28, 31, 30, 35, 49, 304, 292, 234, 235, 223, 397, 444, 445, 311, 323, 224, 72, 266, 248, 275, 245, 197, 380, 289, 251, 351, 289, 352, 0, 6, 6, 7, 6, 4, 50, 59, 56, 41, 46, 31]"
infomap,0.05,0.33442913594846213,0.7908787954512604,0.07255838001369275,0.13292196772561451,406,2011,4564,124,"[8, 9, 6, 6, 7, 72, 73, 68, 49, 60, 48, 182, 172, 134, 151, 114, 236, 237, 231, 196, 179, 179, 388, 368, 375, 329, 306, 541, 496, 465, 466, 433, 397, 2, 0, 4, 2, 0, 23, 20, 16, 23, 16, 18]"
leiden,0.1,0.7011893875730529,0.4878476268119731,0.08220068135257737,0.14069476830586922,163,5236,1607,369,"[1, 1, 5, 5, 6, 3, 4, 19, 25, 23, 21, 26, 24, 69, 61, 428, 419, 390, 337, 296, 631, 586, 559, 545, 477, 438, 78, 60, 142, 121, 119, 143, 124, 146, 147, 137, 117, 135, 138, 0, 0, 5, 4, 4, 5, 3, 76, 68, 61, 51, 50, 42]"
greedy_modularity,0.1,0.7557408385512938,0.32909553660827007,0.07853530738916853,0.12680894740191082,77,5836,1007,455,"[1, 1, 4, 3, 5, 1, 1, 8, 11, 7, 12, 12, 11, 67, 55, 488, 435, 420, 386, 304, 722, 675, 637, 607, 550, 490, 80, 66, 82, 105, 89, 94, 116, 55, 58, 59, 55, 62, 86, 0, 0, 6, 6, 5, 7, 6, 87, 82, 77, 60, 64, 55]"
