graph,community,sources,nodes,coverage,iterations,detected_sources,sources_ratio,sizes,avg_sizes,time
footbal,louvain,2,30,0.2608695652173913,51,5,2,9|7|6|5|3,6.0,0.001726388931274414
footbal,belief,2,30,0.2608695652173913,51,2,1,18|12,15.0,7.82436203956604
footbal,leiden,2,30,0.2608695652173913,51,5,2,9|7|6|5|3,6.0,0.0007646083831787109
footbal,label_propagation,2,30,0.2608695652173913,51,6,2,9|6|5|4|3|3,5.0,0.0005996227264404297
footbal,greedy_modularity,2,30,0.2608695652173913,51,5,2,9|6|6|6|3,6.0,0.0023033618927001953
footbal,eigenvector,2,30,0.2608695652173913,51,6,1,8|6|5|5|3|3,5.0,0.007211446762084961
footbal,ga,2,30,0.2608695652173913,51,7,2,7|5|4|4|4|3|3,4.285714285714286,4.084199666976929
footbal,infomap,2,30,0.2608695652173913,51,7,2,7|5|5|4|4|3|2,4.285714285714286,0.010618209838867188
footbal,kcut,2,30,0.2608695652173913,51,7,1,24|1|1|1|1|1|1,4.285714285714286,0.17022156715393066
footbal,markov_clustering,2,30,0.2608695652173913,51,7,2,7|5|5|4|4|3|2,4.285714285714286,0.02212214469909668
footbal,paris,2,30,0.2608695652173913,51,6,0,7|7|6|4|3|3,5.0,0.0013904571533203125
footbal,spinglass,2,30,0.2608695652173913,51,6,2,7|6|6|5|3|3,5.0,0.10790657997131348
footbal,surprise_communities,2,30,0.2608695652173913,51,7,2,7|5|5|4|4|3|2,4.285714285714286,0.0006711483001708984
footbal,walktrap,2,30,0.2608695652173913,51,6,2,8|6|5|5|3|3,5.0,0.0005619525909423828
footbal,spectral,2,30,0.2608695652173913,51,2,1,17|13,15.0,0.7432656288146973
footbal,sbm_dl,2,30,0.2608695652173913,51,2,1,18|12,15.0,0.005020618438720703
footbal,louvain,6,72,0.6260869565217392,51,9,5,11|11|10|10|7|6|6|6|5,8.0,0.004485607147216797
footbal,belief,6,72,0.6260869565217392,51,4,4,27|17|15|13,18.0,2.0179779529571533
footbal,leiden,6,72,0.6260869565217392,51,9,5,11|11|10|10|7|6|6|6|5,8.0,0.001361846923828125
footbal,label_propagation,6,72,0.6260869565217392,51,10,4,20|9|8|7|6|6|5|4|4|3,7.2,0.0013685226440429688
footbal,greedy_modularity,6,72,0.6260869565217392,51,7,6,17|12|10|10|10|7|6,10.285714285714286,0.011471271514892578
footbal,eigenvector,6,72,0.6260869565217392,51,5,4,26|14|14|11|7,14.4,0.007775306701660156
footbal,ga,6,72,0.6260869565217392,51,7,3,19|12|11|9|8|7|6,10.285714285714286,7.259196996688843
footbal,infomap,6,72,0.6260869565217392,51,8,5,12|11|10|10|9|8|7|5,9.0,0.009865999221801758
footbal,kcut,6,72,0.6260869565217392,51,5,2,68|1|1|1|1,14.4,0.8505663871765137
footbal,markov_clustering,6,72,0.6260869565217392,51,12,6,11|10|8|7|6|6|6|6|5|4|2|1,6.0,0.02956867218017578
footbal,paris,6,72,0.6260869565217392,51,6,0,17|16|12|12|9|6,12.0,0.005056142807006836
footbal,spinglass,6,72,0.6260869565217392,51,12,5,11|10|9|7|6|6|6|6|5|4|1|1,6.0,0.1991441249847412
footbal,surprise_communities,6,72,0.6260869565217392,51,12,5,10|9|8|7|6|6|6|6|5|4|3|2,6.0,0.0012979507446289062
footbal,walktrap,6,72,0.6260869565217392,51,10,5,11|11|10|7|6|6|6|6|5|4,7.2,0.0011739730834960938
footbal,spectral,6,72,0.6260869565217392,51,2,2,43|29,36.0,3.851499080657959
footbal,sbm_dl,6,72,0.6260869565217392,51,8,5,12|11|10|10|10|7|6|6,9.0,0.020316600799560547
footbal,louvain,12,105,0.9130434782608695,51,9,8,22|15|14|11|10|9|9|8|7,11.666666666666666,0.007108211517333984
footbal,belief,12,105,0.9130434782608695,51,6,5,24|20|19|18|16|8,17.5,3.034421443939209
footbal,leiden,12,105,0.9130434782608695,51,10,8,14|14|13|11|10|10|10|8|8|7,10.5,0.0018224716186523438
footbal,label_propagation,12,105,0.9130434782608695,51,10,9,22|18|11|10|10|9|8|7|6|4,10.5,0.0019333362579345703
footbal,greedy_modularity,12,105,0.9130434782608695,51,5,5,25|22|22|18|18,21.0,0.02645707130432129
footbal,eigenvector,12,105,0.9130434782608695,51,7,7,30|17|13|12|12|11|10,15.0,0.010124921798706055
footbal,ga,12,105,0.9130434782608695,51,13,9,19|13|13|12|11|8|6|6|6|4|3|2|2,8.076923076923077,10.20106029510498
footbal,infomap,12,105,0.9130434782608695,51,9,8,15|15|14|14|10|10|10|9|8,11.666666666666666,0.014357328414916992
footbal,kcut,12,105,0.9130434782608695,51,8,2,98|1|1|1|1|1|1|1,13.125,1.2932007312774658
footbal,markov_clustering,12,105,0.9130434782608695,51,12,10,13|11|10|10|10|9|8|8|8|7|6|5,8.75,0.045590877532958984
footbal,paris,12,105,0.9130434782608695,51,2,0,54|51,52.5,0.009914875030517578
footbal,spinglass,12,105,0.9130434782608695,51,11,9,14|13|11|10|10|10|8|8|8|7|6,9.545454545454545,0.24131131172180176
footbal,surprise_communities,12,105,0.9130434782608695,51,12,10,13|11|10|10|10|9|8|8|8|7|6|5,8.75,0.0020160675048828125
footbal,walktrap,12,105,0.9130434782608695,51,10,8,14|14|13|11|10|10|10|8|8|7,10.5,0.0020818710327148438
footbal,spectral,12,105,0.9130434782608695,51,2,2,61|44,52.5,22.41384196281433
footbal,sbm_dl,12,105,0.9130434782608695,51,10,8,14|14|13|11|10|10|10|8|8|7,10.5,0.06984949111938477
