graph,community,sources,nodes,detected,difference,sources_ratio,nmi,modularity,pcov,pper
footbal,louvain,2,74,7,-5,2,0.4998183899737585,0.5933372171071796,0.7544483985765125,0.909292854498334
footbal,belief,2,74,7,-5,2,0.24656191774854588,0.5862451083446258,0.7402135231316725,0.9078119215105517
footbal,leiden,2,74,7,-5,2,0.45904134153971277,0.5939071187041705,0.7544483985765125,0.9104035542391706
footbal,label_propagation,2,74,9,-7,2,0.3496139650534183,0.5597320196046149,0.697508896797153,0.9178082191780822
footbal,greedy_modularity,2,74,7,-5,2,0.40855209806337744,0.5440597256873647,0.7188612099644128,0.8904109589041096
footbal,eigenvector,2,74,9,-7,2,0.4395941691714118,0.5024885703068604,0.6476868327402135,0.9052202887819326
footbal,ga,2,74,8,-6,2,0.3301366803177293,0.5348906422157774,0.701067615658363,0.8881895594224362
footbal,infomap,2,74,9,-7,2,0.5022843933121952,0.5899621332049999,0.7153024911032029,0.93891151425398
footbal,kcut,2,74,8,-6,1,0.11191908317428609,0.003906992059371136,0.8256227758007118,0.24916697519437245
footbal,markov_clustering,2,74,13,-11,2,0.5020710327771646,0.571047732424868,0.6797153024911032,0.953720844131803
footbal,paris,2,74,5,-3,1,0.4848862549024741,0.5721748711389167,0.7758007117437722,0.8607922991484636
footbal,spinglass,2,74,11,-9,2,0.5022843933121952,0.5821164878864248,0.701067615658363,0.9474268789337282
footbal,surprise_communities,2,74,12,-10,2,0.4832520884030555,0.5773989691113335,0.6868327402135231,0.9555720103665309
footbal,walktrap,2,74,7,-5,1,0.46853173654718244,0.5930522663086841,0.7544483985765125,0.9089226212513883
footbal,spectral,2,74,2,0,1,0.20926584325770806,0.38071959574980063,0.9074733096085409,0.5734912995186968
footbal,sbm_dl,2,74,6,-4,2,0.48676021982014683,0.5789313711832424,0.7615658362989324,0.8744909292854498
footbal,louvain,6,84,8,-2,5,0.4998183899737585,0.6018240699028466,0.7288629737609329,0.9279977051061389
footbal,belief,6,84,4,2,4,0.24656191774854588,0.5410033234451631,0.793002915451895,0.8141135972461274
footbal,leiden,6,84,8,-2,5,0.45904134153971277,0.6001793470407739,0.7288629737609329,0.9271371199082042
footbal,label_propagation,6,84,8,-2,3,0.3496139650534183,0.5274672967896029,0.6967930029154519,0.8861158921399885
footbal,greedy_modularity,6,84,6,0,3,0.40855209806337744,0.5657039158853879,0.7638483965014577,0.8625932300631096
footbal,eigenvector,6,84,9,-3,5,0.4395941691714118,0.5239568547118972,0.6559766763848397,0.9150889271371199
footbal,ga,6,84,9,-3,4,0.3301366803177293,0.4116524577344475,0.5626822157434402,0.8711990820424556
footbal,infomap,6,84,9,-3,6,0.5022843933121952,0.6013098283878316,0.717201166180758,0.9377510040160643
footbal,kcut,6,84,6,0,2,0.11191908317428609,0.005609907436527283,0.9067055393586005,0.1962134251290878
footbal,markov_clustering,6,84,13,-7,6,0.5020710327771646,0.5771829764808881,0.6763848396501457,0.9529546758462422
footbal,paris,6,84,10,-4,6,0.4848862549024741,0.5790401958367687,0.6909620991253644,0.9397590361445783
footbal,spinglass,6,84,9,-3,6,0.5022843933121952,0.6013098283878316,0.717201166180758,0.9377510040160643
footbal,surprise_communities,6,84,12,-6,5,0.4832520884030555,0.5825081386157128,0.6822157434402333,0.9538152610441767
footbal,walktrap,6,84,8,-2,4,0.46853173654718244,0.5964309088900034,0.7288629737609329,0.9222604704532416
footbal,spectral,6,84,2,4,2,0.20926584325770806,0.34260809696640004,0.8454810495626822,0.5737234652897304
footbal,sbm_dl,6,84,14,-8,5,0.48676021982014683,0.4897534190685854,0.577259475218659,0.9417670682730924
footbal,louvain,12,111,9,3,7,0.5700284193984796,0.6144117334466999,0.7302405498281787,0.934971334971335
footbal,belief,12,111,7,5,6,0.5323774616825854,0.5935924233299087,0.7628865979381443,0.8881244881244881
footbal,leiden,12,111,9,3,8,0.5785559408541195,0.6150538491515216,0.7319587628865979,0.9343161343161344
footbal,label_propagation,12,111,8,4,6,0.5088615824303407,0.5395366138803274,0.7199312714776632,0.8660114660114661
footbal,greedy_modularity,12,111,6,6,6,0.5072520777520597,0.575416858563314,0.7663230240549829,0.8658476658476658
footbal,eigenvector,12,111,8,4,6,0.49630514126056674,0.5526667729478868,0.6924398625429553,0.904013104013104
footbal,ga,12,111,8,4,6,0.5055135916591914,0.4928570163318807,0.6615120274914089,0.868959868959869
footbal,infomap,12,111,10,2,9,0.6128767360234508,0.6110417330924293,0.7147766323024055,0.9447993447993448
footbal,kcut,12,111,4,8,1,0.05545256916871909,0.0007690627177288196,0.9484536082474226,0.13906633906633906
footbal,markov_clustering,12,111,12,0,10,0.6293117302324537,0.6091847639966463,0.7044673539518901,0.9533169533169533
footbal,paris,12,111,9,3,8,0.5614642092030411,0.5911656688041002,0.7044673539518901,0.9331695331695332
footbal,spinglass,12,111,11,1,9,0.6047372022363579,0.6099051144884922,0.711340206185567,0.9466011466011466
footbal,surprise_communities,12,111,12,0,10,0.6321087149664995,0.608458508992572,0.7027491408934707,0.9542997542997543
footbal,walktrap,12,111,8,4,6,0.5474271090561654,0.6117960345295874,0.7560137457044673,0.9079443079443079
footbal,spectral,12,111,2,10,2,0.24931295565942835,0.3917643863440441,0.8934707903780069,0.5762489762489762
footbal,sbm_dl,12,111,9,3,7,0.5662433885006612,0.6126359513940554,0.7285223367697594,0.9343161343161344
