graph,community,sources,nodes,coverage,iterations,detected_sources,sources_ratio,sizes,avg_sizes,time
karate_graph,louvain,2,10,0.29411764705882354,51,3,2,4|3|3,3.3333333333333335,0.0007455348968505859
karate_graph,belief,2,10,0.29411764705882354,51,6,2,4|2|1|1|1|1,1.6666666666666667,8.386178493499756
karate_graph,leiden,2,10,0.29411764705882354,51,3,2,4|3|3,3.3333333333333335,0.0007030963897705078
karate_graph,label_propagation,2,10,0.29411764705882354,51,1,1,10,10.0,0.00038051605224609375
karate_graph,greedy_modularity,2,10,0.29411764705882354,51,2,2,6|4,5.0,0.0006690025329589844
karate_graph,eigenvector,2,10,0.29411764705882354,51,2,2,6|4,5.0,0.002068758010864258
karate_graph,ga,2,10,0.29411764705882354,51,2,1,9|8,8.5,2.6923792362213135
karate_graph,infomap,2,10,0.29411764705882354,51,1,1,10,10.0,0.0012025833129882812
karate_graph,kcut,2,10,0.29411764705882354,51,5,2,6|1|1|1|1,2.0,0.08882856369018555
karate_graph,markov_clustering,2,10,0.29411764705882354,51,1,1,10,10.0,0.012387990951538086
karate_graph,paris,2,10,0.29411764705882354,51,2,1,6|4,5.0,0.0004680156707763672
karate_graph,spinglass,2,10,0.29411764705882354,51,2,2,6|4,5.0,0.04221940040588379
karate_graph,surprise_communities,2,10,0.29411764705882354,51,5,2,4|3|1|1|1,2.0,0.0005125999450683594
karate_graph,walktrap,2,10,0.29411764705882354,51,2,2,7|3,5.0,0.0004112720489501953
karate_graph,spectral,2,10,0.29411764705882354,51,2,2,6|4,5.0,0.22308993339538574
karate_graph,sbm_dl,2,10,0.29411764705882354,51,1,1,10,10.0,0.005527973175048828
karate_graph,louvain,3,22,0.6470588235294118,51,4,2,10|6|4|2,5.5,0.0011510848999023438
karate_graph,belief,3,22,0.6470588235294118,51,8,3,7|5|2|2|2|2|1|1,2.75,8.808693885803223
karate_graph,leiden,3,22,0.6470588235294118,51,4,2,10|6|4|2,5.5,0.0009472370147705078
karate_graph,label_propagation,3,22,0.6470588235294118,51,3,2,11|8|3,7.333333333333333,0.00035500526428222656
karate_graph,greedy_modularity,3,22,0.6470588235294118,51,2,2,13|9,11.0,0.0019235610961914062
karate_graph,eigenvector,3,22,0.6470588235294118,51,2,2,12|10,11.0,0.0022208690643310547
karate_graph,ga,3,22,0.6470588235294118,51,4,2,11|5|4|2,5.5,3.3859658241271973
karate_graph,infomap,3,22,0.6470588235294118,51,2,2,12|10,11.0,0.008739233016967773
karate_graph,kcut,3,22,0.6470588235294118,51,6,1,17|1|1|1|1|1,3.6666666666666665,0.14148283004760742
karate_graph,markov_clustering,3,22,0.6470588235294118,51,2,1,12|10,11.0,0.01611018180847168
karate_graph,paris,3,22,0.6470588235294118,51,2,1,12|10,11.0,0.0011785030364990234
karate_graph,spinglass,3,22,0.6470588235294118,51,5,2,10|5|4|2|1,4.4,0.08785295486450195
karate_graph,surprise_communities,3,22,0.6470588235294118,51,6,2,9|5|4|2|1|1,3.6666666666666665,0.0008234977722167969
karate_graph,walktrap,3,22,0.6470588235294118,51,3,2,11|7|4,7.333333333333333,0.0005273818969726562
karate_graph,spectral,3,22,0.6470588235294118,51,2,2,13|9,11.0,0.49036288261413574
karate_graph,sbm_dl,3,22,0.6470588235294118,51,1,1,22,22.0,0.003038644790649414
karate_graph,louvain,4,27,0.7941176470588235,51,4,3,10|7|6|4,6.75,0.0016360282897949219
karate_graph,belief,4,27,0.7941176470588235,51,8,4,8|6|3|3|3|2|1|1,3.375,9.073279857635498
karate_graph,leiden,4,27,0.7941176470588235,51,4,2,11|8|4|4,6.75,0.0008265972137451172
karate_graph,label_propagation,4,27,0.7941176470588235,51,2,1,23|4,13.5,0.0007710456848144531
karate_graph,greedy_modularity,4,27,0.7941176470588235,51,4,3,10|7|6|4,6.75,0.002598285675048828
karate_graph,eigenvector,4,27,0.7941176470588235,51,4,2,12|10|4|1,6.75,0.005377769470214844
karate_graph,ga,4,27,0.7941176470588235,51,4,2,14|7|4|2,6.75,4.2225661277771
karate_graph,infomap,4,27,0.7941176470588235,51,3,2,12|11|4,9.0,0.0016105175018310547
karate_graph,kcut,4,27,0.7941176470588235,51,7,1,21|1|1|1|1|1|1,3.857142857142857,0.18271374702453613
karate_graph,markov_clustering,4,27,0.7941176470588235,51,2,2,16|11,13.5,0.014837503433227539
karate_graph,paris,4,27,0.7941176470588235,51,2,1,14|13,13.5,0.0015010833740234375
karate_graph,spinglass,4,27,0.7941176470588235,51,4,2,10|9|4|4,6.75,0.14110231399536133
karate_graph,surprise_communities,4,27,0.7941176470588235,51,6,2,8|8|4|4|2|1,4.5,0.0007867813110351562
karate_graph,walktrap,4,27,0.7941176470588235,51,5,3,9|8|6|2|2,5.4,0.0006406307220458984
karate_graph,spectral,4,27,0.7941176470588235,51,3,2,14|9|4,9.0,1.0524232387542725
karate_graph,sbm_dl,4,27,0.7941176470588235,51,1,1,27,27.0,0.004034996032714844
