graph,community,sources,nodes,detected,difference,sources_ratio,nmi,modularity,pcov,pper
karate_graph,louvain,2,9,2,0,2,0.5828973855737584,0.185546875,0.6875,0.7222222222222222
karate_graph,belief,2,9,4,-2,2,0.6202742714784717,-0.0078125,0.25,0.6111111111111112
karate_graph,leiden,2,9,2,0,2,0.5828973855737584,0.185546875,0.6875,0.7222222222222222
karate_graph,label_propagation,2,9,1,1,1,0.5763037784259447,0.0,1.0,0.4444444444444444
karate_graph,greedy_modularity,2,9,2,0,2,0.5828973855737584,0.185546875,0.6875,0.7222222222222222
karate_graph,eigenvector,2,9,2,0,2,0.5828973855737584,0.185546875,0.6875,0.7222222222222222
karate_graph,ga
karate_graph,infomap,2,9,1,1,1,0.5828973855737584,0.0,1.0,0.4444444444444444
karate_graph,kcut,2,9,6,-4,2,0.659909150160028,-0.033203125,0.1875,0.5555555555555556
karate_graph,markov_clustering,2,9,1,1,1,0.10207807658929799,0.0,1.0,0.4444444444444444
karate_graph,paris,2,9,2,0,2,0.659909150160028,0.185546875,0.6875,0.7222222222222222
karate_graph,spinglass,2,9,2,0,2,0.659909150160028,0.185546875,0.6875,0.7222222222222222
karate_graph,surprise_communities,2,9,3,-1,2,0.5828973855737584,0.154296875,0.625,0.7777777777777778
karate_graph,walktrap,2,9,3,-1,2,0.596657283087701,0.154296875,0.625,0.7777777777777778
karate_graph,spectral,2,9,2,0,2,0.5828973855737584,0.185546875,0.6875,0.7222222222222222
karate_graph,sbm_dl,2,9,1,1,1,0.659909150160028,0.0,1.0,0.4444444444444444
karate_graph,louvain,3,19,3,0,2,0.0,0.4499540863177227,0.8181818181818182,0.7953216374269005
karate_graph,belief,3,19,8,-5,3,0.6202742714784717,-0.054637281910009175,0.09090909090909091,0.7017543859649122
karate_graph,leiden,3,19,3,0,2,0.5828973855737584,0.4499540863177227,0.8181818181818182,0.7953216374269005
karate_graph,label_propagation,3,19,3,0,2,0.5763037784259447,0.42791551882460965,0.8181818181818182,0.7719298245614035
karate_graph,greedy_modularity,3,19,3,0,2,0.5828973855737584,0.4499540863177227,0.8181818181818182,0.7953216374269005
karate_graph,eigenvector,3,19,3,0,2,0.5828973855737584,0.4499540863177227,0.8181818181818182,0.7953216374269005
karate_graph,ga,3,19,3,0,2,0.5828973855737584,0.4499540863177227,0.8181818181818182,0.7953216374269005
karate_graph,infomap,3,19,2,1,2,0.659909150160028,0.43893480257116624,0.9393939393939394,0.695906432748538
karate_graph,kcut,3,19,2,1,1,0.10207807658929799,-0.004132231404958726,0.9090909090909091,0.2631578947368421
karate_graph,markov_clustering,3,19,2,1,2,0.659909150160028,0.43893480257116624,0.9393939393939394,0.695906432748538
karate_graph,paris,3,19,2,1,2,0.659909150160028,0.43893480257116624,0.9393939393939394,0.695906432748538
karate_graph,spinglass,3,19,3,0,2,0.5828973855737584,0.4499540863177227,0.8181818181818182,0.7953216374269005
karate_graph,surprise_communities,3,19,5,-2,2,0.596657283087701,0.4086317722681359,0.7878787878787878,0.8421052631578947
karate_graph,walktrap,3,19,3,0,2,0.5828973855737584,0.4499540863177227,0.8181818181818182,0.7953216374269005
karate_graph,spectral,3,19,2,1,2,0.659909150160028,0.43893480257116624,0.9393939393939394,0.695906432748538
karate_graph,sbm_dl,3,19,1,2,1,0.0,0.0,1.0,0.19298245614035087
karate_graph,louvain,4,25,3,1,3,0.49488643984460684,0.37041322314049585,0.7090909090909091,0.7633333333333333
karate_graph,belief,4,25,7,-3,3,0.41153297722373966,-0.05553719008264464,0.12727272727272726,0.6766666666666666
karate_graph,leiden,4,25,3,1,3,0.49488643984460684,0.37041322314049585,0.7090909090909091,0.7633333333333333
karate_graph,label_propagation,4,25,2,2,2,0.24246071726092513,0.24528925619834702,0.8181818181818182,0.5966666666666667
karate_graph,greedy_modularity,4,25,3,1,3,0.462363595726923,0.3687603305785123,0.7090909090909091,0.7633333333333333
karate_graph,eigenvector,4,25,3,1,3,0.5516233873953404,0.3591735537190083,0.7090909090909091,0.7366666666666667
karate_graph,ga,4,25,4,0,2,0.4676200649729438,0.35256198347107437,0.7272727272727273,0.79
karate_graph,infomap,4,25,2,2,2,0.5203806416305171,0.32578512396694215,0.8363636363636363,0.6433333333333333
karate_graph,kcut,4,25,4,0,1,0.2259000554767558,-0.013388429752066125,0.8,0.34
karate_graph,markov_clustering,4,25,3,1,2,0.46888786817756084,0.32413223140495867,0.8,0.6966666666666667
karate_graph,paris,4,25,2,2,2,0.46277598098819606,0.3125619834710743,0.8363636363636363,0.6233333333333333
karate_graph,spinglass,4,25,3,1,3,0.49488643984460684,0.37041322314049585,0.7090909090909091,0.7633333333333333
karate_graph,surprise_communities,4,25,9,-5,2,0.44613246813440544,0.284297520661157,0.5818181818181818,0.8833333333333333
karate_graph,walktrap,4,25,3,1,2,0.5117768307220214,0.35421487603305785,0.7636363636363637,0.7366666666666667
karate_graph,spectral,4,25,2,2,2,0.4640651738558499,0.31801652892561977,0.8181818181818182,0.6366666666666667
karate_graph,sbm_dl,4,25,1,3,1,0.0,0.0,1.0,0.18333333333333332
