index,number_of_sources,delete_ratio,deleted_nodes,reconstructed_nodes,m1,m2,threshold,ALL,TP,TN,FP,FN,accuracy,precision,recall,f1
0,2,5,157|16|186|197|199|21|248|267|289|298|301|304|33|339|340|394|445|45|474|489,,0.05,0.95,1,0,0,110,0,0,1.0,0.0,0.0,0.0
0,2,10,0|104|118|125|131|140|141|157|158|178|190|192|205|211|23|250|259|263|289|305|308|321|33|336|359|365|367|389|392|398|417|419|420|437|471|66|73|94|95,,0.05,0.95,1,0,0,110,0,0,1.0,0.0,0.0,0.0
0,2,15,103|118|122|123|126|13|130|132|139|140|149|152|188|196|200|203|21|218|225|23|231|235|245|253|256|268|283|301|305|307|325|331|352|360|370|372|380|382|389|397|4|404|405|429|431|432|445|467|473|482|485|491|58|64|8|80|82|85|9,,0.05,0.95,1,0,0,110,0,0,1.0,0.0,0.0,0.0
0,2,20,1|122|123|129|132|136|139|149|153|158|161|162|163|168|170|171|172|18|187|192|194|196|197|198|200|204|205|21|211|226|228|232|235|236|240|250|26|262|268|270|276|29|296|301|309|314|33|360|378|388|39|392|394|406|411|414|416|427|43|431|433|447|452|453|454|461|464|47|473|498|50|55|57|63|66|67|80|90,,0.05,0.95,1,0,0,110,0,0,1.0,0.0,0.0,0.0
0,2,25,10|101|102|103|104|105|111|12|121|125|133|136|145|153|161|162|166|168|17|174|177|18|19|190|193|196|200|201|206|207|221|222|224|225|230|240|247|26|27|276|283|284|286|293|298|299|305|309|310|32|320|322|324|325|33|339|340|344|349|35|350|354|357|360|370|373|376|38|39|393|4|403|405|41|423|426|43|442|445|459|475|485|489|491|57|6|68|73|74|78|8|82|85|90|93|94|95|96,,0.05,0.95,1,0,0,110,0,0,1.0,0.0,0.0,0.0
0,2,30,0|1|103|118|122|125|128|129|13|130|132|137|141|145|152|153|154|158|16|160|161|167|168|169|17|170|178|18|182|185|187|188|192|194|216|224|225|226|23|230|233|234|238|24|242|245|249|256|258|263|266|267|269|274|28|283|288|297|3|300|301|303|307|314|32|329|337|339|340|342|343|344|345|348|353|36|365|370|378|38|380|388|389|391|397|407|417|421|429|43|432|436|438|439|444|448|45|452|487|489|490|491|498|52|53|55|65|66|72|75|81|85|88|91|93|95|99,,0.05,0.95,1,0,0,110,0,0,1.0,0.0,0.0,0.0
1,2,5,116|130|143|177|189|215|24|257|31|339|34|361|377|436|457|487|81|87,,0.05,0.95,1,0,0,147,0,0,1.0,0.0,0.0,0.0
1,2,10,101|105|112|126|128|174|176|22|23|245|253|262|267|28|311|324|325|346|350|362|371|374|388|395|43|444|457|481|487|489|58|6|77|86|89|96,,0.05,0.95,1,0,0,147,0,0,1.0,0.0,0.0,0.0
1,2,15,101|105|109|110|13|133|134|142|147|172|174|176|199|21|223|227|232|236|26|269|283|294|30|304|305|313|321|347|349|391|395|40|404|406|415|424|428|433|439|44|445|455|467|474|487|496|5|72|79|8|88|95|98,,0.05,0.95,1,0,0,147,0,0,1.0,0.0,0.0,0.0
1,2,20,10|103|107|114|117|119|120|151|155|170|171|176|200|216|219|223|236|24|240|253|254|260|291|295|297|31|317|322|323|324|333|337|34|343|344|346|349|35|350|361|362|364|374|387|39|391|393|407|414|425|428|433|438|445|455|46|462|463|476|477|478|48|481|482|487|56|74|78|86|92|94,,0.05,0.95,1,0,0,147,0,0,1.0,0.0,0.0,0.0
