number_of_sources,index,delete_ratio,node,neighbors_probability,node_on_path,infected,sample_decision,correct
2,0,5,1,0.6,1,True,True,True
2,0,5,4,0.5517241379310345,1,True,False,False
2,0,5,30,0.7105263157894737,1,True,True,True
2,0,5,34,0.7857142857142857,1,True,True,True
2,0,5,47,0.5454545454545454,1,True,False,False
2,0,5,54,0.6486486486486487,1,True,True,True
2,0,5,88,0.56,1,True,False,False
2,0,5,115,0.5384615384615384,1,True,False,False
2,0,5,129,0.4444444444444444,1,True,False,False
2,0,5,186,0.6666666666666666,1,True,True,True
2,0,5,198,0.7,1,False,True,False
2,0,5,223,0.7777777777777778,1,True,True,True
2,0,5,274,0.5714285714285714,1,False,False,True
2,0,5,294,0.25,1,False,False,True
2,0,5,374,0.6,0,True,False,False
2,0,5,429,0.3333333333333333,0,False,False,True
2,0,5,436,1.0,1,True,True,True
2,0,5,461,0.6666666666666666,1,True,True,True
2,0,5,462,0.3,1,False,False,True
2,0,5,477,1.0,1,True,True,True
2,0,5,483,0.6666666666666666,1,True,True,True
2,0,5,496,0.5714285714285714,1,False,False,True
2,0,5,506,0.75,1,False,True,False
2,0,5,519,0.5,1,False,False,True
2,0,5,521,0.8,0,False,False,True
2,0,5,573,0.4,0,False,False,True
2,0,5,638,0.5,1,False,False,True
2,0,5,695,0.8,0,False,False,True
2,0,5,699,0.6666666666666666,1,True,True,True
2,0,5,707,0.5714285714285714,1,False,False,True
2,0,5,727,0.8,1,False,True,False
2,0,5,729,0.6,1,False,True,False
2,0,5,790,0.5714285714285714,0,False,False,True
2,0,5,851,0.6,1,True,True,True
2,0,5,52,0.6923076923076923,1,True,True,True
2,0,5,242,0.8,1,False,True,False
2,0,5,514,0.2857142857142857,1,False,False,True
2,0,5,523,0.7777777777777778,1,True,True,True
2,0,5,533,0.7142857142857143,1,False,True,False
2,0,5,564,0.3333333333333333,1,False,False,True
2,0,5,587,0.5454545454545454,1,True,False,False
2,0,5,593,0.7142857142857143,1,True,True,True
2,0,5,600,0.625,1,True,True,True
2,0,5,755,0.4,1,False,False,True
2,0,5,56,0.5,1,True,False,False
2,0,5,161,0.5,1,False,False,True
2,0,5,162,0.7058823529411765,1,True,True,True
2,0,5,189,0.8,1,True,True,True
2,0,5,238,0.9,1,True,True,True
2,0,5,282,0.4166666666666667,1,True,False,False
2,0,5,302,0.6153846153846154,1,False,True,False
2,0,5,314,0.8333333333333334,0,False,False,True
2,0,5,543,0.625,1,False,True,False
2,0,5,678,0.6,1,False,True,False
2,0,5,796,0.6,1,False,True,False
2,0,5,810,0.6,1,False,True,False
2,0,5,842,0.8333333333333334,1,False,True,False
2,0,5,857,0.6,0,False,False,True
2,0,5,892,0.4,0,False,False,True
2,0,5,916,0.8,1,False,True,False
2,0,5,955,0.8,1,False,True,False
2,0,5,21,0.6451612903225806,1,True,True,True
2,0,5,37,0.6744186046511628,1,True,True,True
2,0,5,62,0.5454545454545454,1,False,False,True
2,0,5,104,0.75,1,True,True,True
2,0,5,176,0.6,0,True,False,False
2,0,5,217,0.7,1,False,True,False
2,0,5,243,0.75,1,False,True,False
2,0,5,300,0.5,1,True,False,False
2,0,5,386,0.5384615384615384,1,True,False,False
2,0,5,404,0.875,1,True,True,True
2,0,5,502,0.8571428571428571,1,False,True,False
2,0,5,536,0.6666666666666666,1,False,True,False
2,0,5,537,0.7142857142857143,1,True,True,True
2,0,5,649,0.5,0,False,False,True
2,0,5,793,0.8,0,False,False,True
2,0,5,800,0.6,0,False,False,True
2,0,5,836,1.0,1,False,True,False
2,0,5,917,0.4,1,True,False,False
2,0,5,118,0.7142857142857143,1,False,True,False
2,0,5,135,0.5454545454545454,1,True,False,False
2,0,5,226,0.5714285714285714,1,False,False,True
2,0,5,228,0.42857142857142855,1,False,False,True
2,0,5,241,0.8,1,False,True,False
2,0,5,561,0.8,1,False,True,False
2,0,5,629,0.4,1,False,False,True
2,0,5,834,0.6,1,False,True,False
2,0,5,875,0.4,1,False,False,True
2,0,5,32,0.8421052631578947,1,True,True,True
2,0,5,66,0.9090909090909091,1,True,True,True
2,0,5,71,0.5,1,False,False,True
2,0,5,132,0.8461538461538461,1,True,True,True
2,0,5,214,0.38461538461538464,1,False,False,True
2,0,5,225,0.75,1,False,True,False
2,0,5,239,0.4444444444444444,1,False,False,True
2,0,5,296,0.75,1,True,True,True
2,0,5,312,0.6666666666666666,1,True,True,True
2,0,5,319,0.7,1,True,True,True
2,0,5,392,0.8333333333333334,1,False,True,False
2,0,5,418,0.7777777777777778,1,True,True,True
2,0,5,433,0.7777777777777778,1,True,True,True
2,0,5,441,0.6666666666666666,0,False,False,True
2,0,5,497,0.6666666666666666,1,True,True,True
2,0,5,526,0.7142857142857143,1,False,True,False
2,0,5,552,1.0,1,False,True,False
2,0,5,797,0.8,1,False,True,False
2,0,5,804,0.4,0,True,False,False
2,0,5,912,0.8,1,False,True,False
2,0,5,42,0.6111111111111112,1,False,True,False
2,0,5,106,0.9166666666666666,1,True,True,True
2,0,5,112,0.8823529411764706,1,True,True,True
2,0,5,181,0.75,1,False,True,False
2,0,5,199,0.6086956521739131,1,True,True,True
2,0,5,248,0.75,1,False,True,False
2,0,5,257,0.7142857142857143,1,True,True,True
2,0,5,259,0.5833333333333334,1,False,False,True
2,0,5,264,0.5,1,False,False,True
2,0,5,292,0.4,0,False,False,True
2,0,5,295,1.0,1,True,True,True
2,0,5,367,0.7142857142857143,1,False,True,False
2,0,5,422,0.5,1,True,False,False
2,0,5,432,0.6363636363636364,1,True,True,True
2,0,5,434,0.7142857142857143,0,True,False,False
2,0,5,459,1.0,0,False,False,True
2,0,5,530,0.5,1,False,False,True
2,0,5,532,0.75,1,False,True,False
2,0,5,541,0.5,1,False,False,True
2,0,5,705,0.6,0,False,False,True
2,0,5,725,0.6666666666666666,1,False,True,False
2,0,5,761,0.8,0,False,False,True
2,0,5,764,0.7142857142857143,0,True,False,False
2,0,5,801,0.8,0,False,False,True
2,0,5,890,0.6,0,False,False,True
2,0,5,898,0.5,0,False,False,True
2,0,5,923,0.6,0,True,False,False
2,0,5,928,0.6,0,False,False,True
2,0,5,933,1.0,0,False,False,True
2,0,5,959,0.8,1,False,True,False
2,0,5,979,0.8,0,False,False,True
2,0,5,110,0.75,1,True,True,True
2,0,5,124,0.75,1,False,True,False
2,0,5,153,0.7142857142857143,0,True,False,False
2,0,5,173,0.6666666666666666,1,False,True,False
2,0,5,271,0.8,0,False,False,True
2,0,5,285,1.0,0,False,False,True
2,0,5,299,0.7142857142857143,0,True,False,False
2,0,5,379,0.5,1,False,False,True
2,0,5,399,0.8571428571428571,1,False,True,False
2,0,5,421,0.42857142857142855,1,False,False,True
2,0,5,580,0.5555555555555556,1,False,False,True
2,0,5,583,0.8333333333333334,1,False,True,False
