number_of_sources,index,delete_ratio,node,neighbors_probability,node_on_path,infected,sample_decision,correct
5,0,5,2,0.6,0,False,False,True
5,0,5,6,0.3333333333333333,0,False,False,True
5,0,5,8,0.125,0,False,False,True
5,0,5,11,1.0,0,False,False,True
5,0,5,12,1.0,0,False,False,True
5,0,5,15,1.0,0,False,False,True
5,0,5,18,1.0,0,False,False,True
5,0,5,19,0.3125,0,False,False,True
5,0,5,20,0.4,0,False,False,True
5,0,5,22,0.9090909090909091,0,False,False,True
5,0,5,24,0.8125,0,False,False,True
5,0,5,29,0.8461538461538461,0,True,False,False
5,0,5,31,0.782608695652174,0,True,False,False
5,0,5,32,0.6666666666666666,0,False,False,True
5,0,5,33,0.5,0,False,False,True
5,0,5,35,0.5,0,False,False,True
5,0,5,37,1.0,0,False,False,True
5,0,5,38,0.3333333333333333,0,False,False,True
5,0,5,39,0.8,0,True,False,False
5,0,5,40,0.7272727272727273,0,True,False,False
5,0,5,41,0.6666666666666666,0,False,False,True
5,0,5,42,0.5,0,False,False,True
5,0,5,44,0.5,0,False,False,True
5,0,5,46,0.4,0,False,False,True
5,0,5,47,0.5,0,False,False,True
5,0,5,49,0.25,0,False,False,True
5,0,5,51,0.7142857142857143,0,True,False,False
5,0,5,52,0.5,0,False,False,True
5,0,5,58,0.6666666666666666,1,False,True,False
5,0,5,61,0.6666666666666666,0,False,False,True
5,0,5,63,1.0,0,False,False,True
5,0,5,68,0.3333333333333333,0,True,False,False
5,0,5,70,1.0,0,False,False,True
5,0,5,71,0.6666666666666666,0,False,False,True
5,0,5,74,1.0,0,False,False,True
5,0,5,76,1.0,0,False,False,True
5,0,5,78,0.5555555555555556,0,False,False,True
5,0,5,81,0.6666666666666666,0,False,False,True
5,0,5,84,0.6923076923076923,0,True,False,False
5,0,5,89,0.25,0,False,False,True
5,0,5,90,0.5,0,False,False,True
5,0,5,91,0.125,0,False,False,True
5,0,5,96,0.7777777777777778,0,False,False,True
5,0,5,99,0.38461538461538464,0,True,False,False
5,0,5,102,0.3333333333333333,0,False,False,True
5,0,5,106,0.75,0,False,False,True
5,0,5,110,0.2,0,False,False,True
5,0,5,111,0.5714285714285714,0,False,False,True
5,0,5,112,0.3333333333333333,0,False,False,True
5,0,5,113,0.825,0,True,False,False
5,0,5,115,0.5238095238095238,0,False,False,True
5,0,5,117,0.8333333333333334,0,False,False,True
5,0,5,119,0.8548387096774194,0,True,False,False
5,0,5,120,1.0,0,False,False,True
5,0,5,121,0.6666666666666666,0,True,False,False
5,0,5,122,0.7777777777777778,0,True,False,False
5,0,5,125,0.75,0,False,False,True
5,0,5,126,0.7142857142857143,0,False,False,True
5,0,5,129,0.8571428571428571,0,False,False,True
5,0,5,130,0.8125,0,True,False,False
5,0,5,131,0.5714285714285714,0,True,False,False
5,0,5,135,0.9,0,False,False,True
5,0,5,138,0.5,0,False,False,True
5,0,5,139,0.8888888888888888,0,False,False,True
5,0,5,141,0.75,0,True,False,False
5,0,5,142,0.7906976744186046,0,True,False,False
5,0,5,143,0.3333333333333333,0,False,False,True
5,0,5,144,0.8,0,True,False,False
5,0,5,145,0.5,0,False,False,True
5,0,5,147,0.3333333333333333,0,False,False,True
5,0,5,149,0.5714285714285714,0,True,False,False
5,0,5,152,0.6,0,False,False,True
5,0,5,153,1.0,0,False,False,True
5,0,5,154,0.5,0,False,False,True
5,0,5,155,1.0,0,False,False,True
5,0,5,156,0.8333333333333334,0,True,False,False
5,0,5,158,0.64,0,True,False,False
5,0,5,159,0.9285714285714286,0,False,False,True
5,0,5,162,0.625,0,False,False,True
5,0,5,164,1.0,0,True,False,False
5,0,5,166,0.75,0,False,False,True
