number_of_sources,index,delete_ratio,node,neighbors_probability,node_on_path,infected,sample_decision,correct
2,0,5,0,0.8333333333333334,1,True,True,True
2,0,5,33,0.3,0,False,False,True
2,0,5,23,0.8181818181818182,1,True,True,True
2,0,5,37,0.2727272727272727,1,False,False,True
2,0,5,105,0.3,1,False,False,True
2,0,5,45,0.36363636363636365,1,False,False,True
2,0,5,109,0.36363636363636365,1,False,False,True
2,0,5,89,0.2727272727272727,1,False,False,True
2,0,5,57,0.6,1,False,True,False
2,0,5,25,0.2727272727272727,1,False,False,True
2,0,5,101,0.7,1,True,True,True
2,0,5,64,0.8181818181818182,1,True,True,True
2,0,5,15,0.75,1,False,True,False
2,0,5,106,0.5454545454545454,1,True,False,False
2,0,5,84,0.9090909090909091,1,True,True,True
2,0,5,58,0.7,1,False,True,False
2,0,5,10,0.9,0,True,False,False
2,0,5,32,0.6363636363636364,1,False,True,False
2,0,5,39,0.6363636363636364,1,False,True,False
2,0,5,7,0.9166666666666666,1,True,True,True
2,0,5,85,0.6666666666666666,1,False,True,False
2,0,5,22,0.7272727272727273,0,True,False,False
2,0,5,51,0.8181818181818182,1,False,True,False
2,0,5,38,0.7272727272727273,1,False,True,False
2,0,5,99,0.6,1,False,True,False
2,0,5,71,0.7,1,False,True,False
2,0,5,96,0.7,1,True,True,True
2,0,5,87,0.7272727272727273,1,True,True,True
2,0,5,95,0.6,1,False,True,False
2,0,5,61,0.8181818181818182,1,True,True,True
2,0,5,44,0.45454545454545453,1,True,False,False
2,0,5,79,0.7272727272727273,1,True,True,True
2,0,5,70,0.8181818181818182,1,True,True,True
2,0,5,76,0.5454545454545454,1,False,False,True
2,0,5,46,0.8181818181818182,1,False,True,False
2,0,5,66,0.45454545454545453,1,False,False,True
2,0,5,53,0.5833333333333334,1,True,False,False
2,0,5,80,0.45454545454545453,1,False,False,True
2,0,5,91,0.45454545454545453,1,False,False,True
2,0,5,59,0.625,1,False,True,False
2,0,5,48,0.36363636363636365,1,False,False,True
2,0,5,86,0.2727272727272727,1,False,False,True
2,0,5,88,0.6666666666666666,1,True,True,True
2,0,10,35,0.8181818181818182,1,True,True,True
2,0,10,4,1.0,1,True,True,True
2,0,10,33,0.3,0,False,False,True
2,0,10,37,0.2727272727272727,1,False,False,True
2,0,10,105,0.3,1,False,False,True
2,0,10,45,0.45454545454545453,1,False,False,True
2,0,10,109,0.45454545454545453,1,False,False,True
2,0,10,89,0.18181818181818182,1,False,False,True
2,0,10,57,0.7,1,False,True,False
2,0,10,25,0.45454545454545453,1,False,False,True
2,0,10,15,0.75,1,False,True,False
2,0,10,84,1.0,1,True,True,True
2,0,10,58,0.8,1,False,True,False
2,0,10,32,0.8181818181818182,1,False,True,False
2,0,10,39,0.7272727272727273,1,False,True,False
2,0,10,85,0.6666666666666666,1,False,True,False
2,0,10,55,0.7272727272727273,1,True,True,True
2,0,10,68,0.7272727272727273,1,True,True,True
2,0,10,111,0.7272727272727273,1,True,True,True
2,0,10,51,0.8181818181818182,1,False,True,False
2,0,10,38,0.7272727272727273,1,False,True,False
2,0,10,99,0.7,1,False,True,False
2,0,10,71,0.8,1,False,True,False
2,0,10,95,0.8,1,False,True,False
2,0,10,19,0.7272727272727273,1,True,True,True
2,0,10,76,0.7272727272727273,1,False,True,False
2,0,10,46,0.8181818181818182,1,False,True,False
2,0,10,66,0.5454545454545454,1,False,False,True
2,0,10,80,0.5454545454545454,1,False,False,True
2,0,10,91,0.5454545454545454,1,False,False,True
2,0,10,59,0.625,1,False,True,False
2,0,10,48,0.6363636363636364,1,False,True,False
2,0,10,86,0.5454545454545454,1,False,False,True
2,0,10,88,0.75,1,True,True,True
2,0,15,33,0.4,0,False,False,True
2,0,15,37,0.2727272727272727,1,False,False,True
2,0,15,105,0.3,1,False,False,True
2,0,15,45,0.36363636363636365,1,False,False,True
2,0,15,109,0.45454545454545453,1,False,False,True
2,0,15,89,0.36363636363636365,1,False,False,True
2,0,15,57,0.6,1,False,True,False
2,0,15,25,0.36363636363636365,1,False,False,True
2,0,15,100,0.6363636363636364,1,True,True,True
2,0,15,72,0.9090909090909091,1,True,True,True
2,0,15,15,0.75,1,False,True,False
2,0,15,58,0.9,1,False,True,False
2,0,15,98,0.9090909090909091,1,True,True,True
2,0,15,32,0.7272727272727273,1,False,True,False
2,0,15,39,0.6363636363636364,1,False,True,False
2,0,15,85,0.6666666666666666,1,False,True,False
2,0,15,51,1.0,1,False,True,False
2,0,15,24,0.8,1,True,True,True
2,0,15,38,0.7272727272727273,1,False,True,False
2,0,15,99,0.6,1,False,True,False
2,0,15,71,0.7,1,False,True,False
2,0,15,95,0.8,1,False,True,False
2,0,15,44,0.45454545454545453,1,True,False,False
2,0,15,94,0.9,0,True,False,False
2,0,15,76,0.7272727272727273,1,False,True,False
2,0,15,46,1.0,1,False,True,False
2,0,15,66,0.36363636363636365,1,False,False,True
2,0,15,80,0.45454545454545453,1,False,False,True
2,0,15,91,0.45454545454545453,1,False,False,True
2,0,15,59,0.625,1,False,True,False
2,0,15,48,0.45454545454545453,1,False,False,True
2,0,15,86,0.45454545454545453,1,False,False,True
2,0,20,33,0.4,0,False,False,True
2,0,20,9,1.0,1,True,True,True
2,0,20,37,0.2727272727272727,1,False,False,True
2,0,20,105,0.3,1,False,False,True
2,0,20,45,0.45454545454545453,1,False,False,True
2,0,20,109,0.36363636363636365,1,False,False,True
2,0,20,89,0.2727272727272727,1,False,False,True
2,0,20,57,0.6,1,False,True,False
