index,number_of_sources,delete_ratio,deleted_nodes,reconstructed_nodes,m1,m2,threshold,ALL,TP,TN,FP,FN,accuracy,precision,recall,f1
0,2,5,29|42|50|65|83,,0.05,0.95,1,0,0,26,0,0,1.0,0.0,0.0,0.0
0,2,10,103|106|24|29|6|73|75|79|9,,0.05,0.95,1,0,0,26,0,0,1.0,0.0,0.0,0.0
0,2,15,104|2|3|4|5|53|54|55|56|64|70|88|93|97,,0.05,0.95,1,0,0,26,0,0,1.0,0.0,0.0,0.0
0,2,20,101|107|108|110|111|14|16|30|61|62|63|68|77|79|83|84|88|98,,0.05,0.95,1,0,0,26,0,0,1.0,0.0,0.0,0.0
0,2,25,0|1|101|106|107|108|11|111|114|19|2|30|34|36|42|44|47|49|61|62|77|83|90,,0.05,0.95,1,0,0,26,0,0,1.0,0.0,0.0,0.0
0,2,30,1|100|101|102|110|113|114|13|14|20|21|26|27|29|3|34|44|6|70|72|74|78|82|87|92|97|98,,0.05,0.95,1,0,0,26,0,0,1.0,0.0,0.0,0.0
1,2,5,1|22|77|82,,0.05,0.95,1,0,0,46,0,0,1.0,0.0,0.0,0.0
1,2,10,31|41|62|82|90|94|98,,0.05,0.95,1,0,0,46,0,0,1.0,0.0,0.0,0.0
1,2,15,0|106|114|19|20|23|57|60|68|78|82,,0.05,0.95,1,0,0,46,0,0,1.0,0.0,0.0,0.0
1,2,20,106|111|112|15|16|19|23|38|42|67|78|90|93|95,,0.05,0.95,1,0,0,46,0,0,1.0,0.0,0.0,0.0
1,2,25,1|100|14|16|19|29|30|39|4|41|43|46|47|5|6|78|79|92,,0.05,0.95,1,0,0,46,0,0,1.0,0.0,0.0,0.0
1,2,30,100|104|106|108|11|111|16|29|31|32|46|50|60|62|67|8|87|90|93|94|96,,0.05,0.95,1,0,0,46,0,0,1.0,0.0,0.0,0.0
2,2,5,108|43|70,,0.05,0.95,1,0,0,64,0,0,1.0,0.0,0.0,0.0
2,2,10,104|23|36|42|43|70,,0.05,0.95,1,0,0,64,0,0,1.0,0.0,0.0,0.0
2,2,15,10|29|38|39|51|65|81|91,,0.05,0.95,1,0,0,64,0,0,1.0,0.0,0.0,0.0
