number_of_sources,index,delete_ratio,node,neighbors_probability,node_on_path,infected,sample_decision,correct
2,0,5,1,0.6666666666666666,1,False,True,False
2,0,5,5,0.5,1,False,False,True
2,0,5,6,0.5,0,False,False,True
2,0,5,9,0.5,0,False,False,True
2,0,5,12,1.0,0,False,False,True
2,0,5,13,0.6,0,False,False,True
2,0,5,16,0.0,0,False,False,True
2,0,5,17,0.5,0,False,False,True
2,0,5,18,0.0,0,False,False,True
2,0,5,20,0.0,0,False,False,True
2,0,5,22,0.0,0,False,False,True
2,0,5,23,0.2,1,False,False,True
2,0,5,24,0.6666666666666666,0,False,False,True
2,0,5,25,0.3333333333333333,1,False,False,True
2,0,5,28,0.6666666666666666,0,False,False,True
2,0,5,29,0.25,1,True,False,False
2,0,5,30,0.25,0,True,False,False
2,0,5,32,0.4166666666666667,1,True,False,False
2,0,5,33,0.4117647058823529,1,True,False,False
2,0,10,1,0.6666666666666666,1,False,True,False
2,0,10,4,0.6666666666666666,0,True,False,False
2,0,10,5,0.5,1,False,False,True
2,0,10,6,0.25,0,False,False,True
2,0,10,7,0.75,0,True,False,False
2,0,10,9,1.0,0,False,False,True
2,0,10,12,1.0,0,False,False,True
2,0,10,13,0.8,0,False,False,True
2,0,10,16,0.0,0,False,False,True
2,0,10,17,0.5,0,False,False,True
2,0,10,18,1.0,0,False,False,True
2,0,10,20,1.0,0,False,False,True
2,0,10,22,1.0,0,False,False,True
2,0,10,23,0.8,1,False,True,False
2,0,10,24,0.6666666666666666,0,False,False,True
2,0,10,25,0.3333333333333333,1,False,False,True
2,0,10,28,1.0,0,False,False,True
2,0,15,1,0.7777777777777778,1,False,True,False
2,0,15,4,0.6666666666666666,0,True,False,False
2,0,15,5,0.5,1,False,False,True
2,0,15,6,0.25,0,False,False,True
2,0,15,9,1.0,0,False,False,True
2,0,15,12,1.0,0,False,False,True
2,0,15,13,0.8,0,False,False,True
2,0,15,16,0.0,0,False,False,True
2,0,15,17,0.5,0,False,False,True
2,0,15,18,1.0,0,False,False,True
2,0,15,20,1.0,0,False,False,True
2,0,15,22,1.0,0,False,False,True
2,0,15,23,0.6,1,False,True,False
2,0,15,24,0.6666666666666666,0,False,False,True
2,0,15,25,0.3333333333333333,1,False,False,True
2,0,15,28,1.0,0,False,False,True
2,0,15,29,0.75,1,True,True,True
2,0,20,0,0.625,1,True,True,True
2,0,20,1,0.6666666666666666,1,False,True,False
2,0,20,5,0.25,1,False,False,True
