index,number_of_sources,delete_ratio,deleted_nodes,reconstructed_nodes,m1,m2,threshold,ALL,TP,TN,FP,FN,accuracy,precision,recall,f1
0,2,5,8,,0.05,0.95,1,0,0,15,0,0,1.0,0.0,0.0,0.0
0,2,10,2|10,,0.05,0.95,1,0,0,15,0,0,1.0,0.0,0.0,0.0
0,2,15,2|3|10,,0.05,0.95,1,0,0,15,0,0,1.0,0.0,0.0,0.0
0,2,20,7|10|26|32,,0.05,0.95,1,0,0,15,0,0,1.0,0.0,0.0,0.0
0,2,25,2|19|29|32|33,,0.05,0.95,1,0,0,15,0,0,1.0,0.0,0.0,0.0
0,2,30,0|2|15|19|29|30,,0.05,0.95,1,0,0,15,0,0,1.0,0.0,0.0,0.0
1,2,5,19,,0.05,0.95,1,0,0,15,0,0,1.0,0.0,0.0,0.0
1,2,10,12|33,,0.05,0.95,1,0,0,15,0,0,1.0,0.0,0.0,0.0
1,2,15,15|18|32,,0.05,0.95,1,0,0,15,0,0,1.0,0.0,0.0,0.0
1,2,20,3|17|26|33,,0.05,0.95,1,0,0,15,0,0,1.0,0.0,0.0,0.0
1,2,25,2|9|26|31|33,,0.05,0.95,1,0,0,15,0,0,1.0,0.0,0.0,0.0
1,2,30,1|8|11|15|17|31,,0.05,0.95,1,0,0,15,0,0,1.0,0.0,0.0,0.0
2,2,5,4|28,,0.05,0.95,1,0,0,11,0,0,1.0,0.0,0.0,0.0
2,2,10,2|13|21,,0.05,0.95,1,0,0,11,0,0,1.0,0.0,0.0,0.0
2,2,15,1|5|32|33,,0.05,0.95,1,0,0,11,0,0,1.0,0.0,0.0,0.0
2,2,20,0|2|4|6|33,,0.05,0.95,1,0,0,11,0,0,1.0,0.0,0.0,0.0
2,2,25,2|5|7|8|10|30,,0.05,0.95,1,0,0,11,0,0,1.0,0.0,0.0,0.0
2,2,30,0|1|5|7|9|28|31,,0.05,0.95,1,0,0,11,0,0,1.0,0.0,0.0,0.0
0,3,5,32,,0.05,0.95,1,0,0,23,0,0,1.0,0.0,0.0,0.0
0,3,10,0|10,,0.05,0.95,1,0,0,23,0,0,1.0,0.0,0.0,0.0
0,3,15,7|28,,0.05,0.95,1,0,0,23,0,0,1.0,0.0,0.0,0.0
0,3,20,7|10|28,,0.05,0.95,1,0,0,23,0,0,1.0,0.0,0.0,0.0
0,3,25,1|28|33,,0.05,0.95,1,0,0,23,0,0,1.0,0.0,0.0,0.0
0,3,30,2|15|32|33,,0.05,0.95,1,0,0,23,0,0,1.0,0.0,0.0,0.0
1,3,5,10|23,,0.05,0.95,1,0,0,11,0,0,1.0,0.0,0.0,0.0
1,3,10,5|26|30,,0.05,0.95,1,0,0,11,0,0,1.0,0.0,0.0,0.0
1,3,15,1|6|23|25,,0.05,0.95,1,0,0,11,0,0,1.0,0.0,0.0,0.0
1,3,20,15|21|25|27|32,,0.05,0.95,1,0,0,11,0,0,1.0,0.0,0.0,0.0
1,3,25,1|4|17|26|32|33,,0.05,0.95,1,0,0,11,0,0,1.0,0.0,0.0,0.0
1,3,30,1|10|16|17|21|26|29,,0.05,0.95,1,0,0,11,0,0,1.0,0.0,0.0,0.0
2,3,5,15,,0.05,0.95,1,0,0,17,0,0,1.0,0.0,0.0,0.0
2,3,10,0|15,,0.05,0.95,1,0,0,17,0,0,1.0,0.0,0.0,0.0
2,3,15,9|32|33,,0.05,0.95,1,0,0,17,0,0,1.0,0.0,0.0,0.0
2,3,20,0|9|29|31,,0.05,0.95,1,0,0,17,0,0,1.0,0.0,0.0,0.0
2,3,25,2|10|14|15|31,,0.05,0.95,1,0,0,17,0,0,1.0,0.0,0.0,0.0
2,3,30,0|4|20|28|31|32,,0.05,0.95,1,0,0,17,0,0,1.0,0.0,0.0,0.0
0,4,5,0,,0.05,0.95,1,0,0,15,0,0,1.0,0.0,0.0,0.0
0,4,10,18|29,,0.05,0.95,1,0,0,15,0,0,1.0,0.0,0.0,0.0
0,4,15,8|15|18,,0.05,0.95,1,0,0,15,0,0,1.0,0.0,0.0,0.0
0,4,20,2|13|22|23,,0.05,0.95,1,0,0,15,0,0,1.0,0.0,0.0,0.0
0,4,25,0|5|13|15|27,,0.05,0.95,1,0,0,15,0,0,1.0,0.0,0.0,0.0
0,4,30,3|6|15|22|31|32,,0.05,0.95,1,0,0,15,0,0,1.0,0.0,0.0,0.0
1,4,5,8|20,,0.05,0.95,1,0,0,7,0,0,1.0,0.0,0.0,0.0
1,4,10,14|27|32,,0.05,0.95,1,0,0,7,0,0,1.0,0.0,0.0,0.0
1,4,15,1|3|6|16|18,,0.05,0.95,1,0,0,7,0,0,1.0,0.0,0.0,0.0
1,4,20,0|1|5|8|14|23,,0.05,0.95,1,0,0,7,0,0,1.0,0.0,0.0,0.0
1,4,25,5|7|12|13|14|20|28,,0.05,0.95,1,0,0,7,0,0,1.0,0.0,0.0,0.0
1,4,30,9|12|15|16|19|25|27|30|31,,0.05,0.95,1,0,0,7,0,0,1.0,0.0,0.0,0.0
2,4,5,1|7,,0.05,0.95,1,0,0,13,0,0,1.0,0.0,0.0,0.0
2,4,10,17|27|32,,0.05,0.95,1,0,0,13,0,0,1.0,0.0,0.0,0.0
2,4,15,8|28|31|32,,0.05,0.95,1,0,0,13,0,0,1.0,0.0,0.0,0.0
2,4,20,8|11|17|23|27,,0.05,0.95,1,0,0,13,0,0,1.0,0.0,0.0,0.0
2,4,25,2|3|13|14|26|32,,0.05,0.95,1,0,0,13,0,0,1.0,0.0,0.0,0.0
2,4,30,1|6|7|14|19|26|28,,0.05,0.95,1,0,0,13,0,0,1.0,0.0,0.0,0.0
