number_of_sources,index,delete_ratio,node,neighbors_probability,node_on_path,infected,sample_decision,correct
100,0,5,997,0.75,1,False,True,False
100,0,5,245,1.0,1,False,True,False
100,0,5,998,0.625,1,False,True,False
100,0,5,815,0.8,1,False,True,False
100,0,5,429,0.8,1,False,True,False
100,0,5,381,0.7777777777777778,1,False,True,False
100,0,5,27,0.9166666666666666,1,True,True,True
100,0,5,9,1.0,1,False,True,False
100,0,5,693,0.7,1,False,True,False
100,0,5,433,0.9,1,False,True,False
100,0,5,175,0.6666666666666666,1,True,True,True
100,0,5,558,0.9166666666666666,1,True,True,True
100,0,5,18,0.9090909090909091,1,False,True,False
100,0,5,187,0.8888888888888888,1,True,True,True
100,0,5,59,1.0,1,True,True,True
100,0,5,132,0.9166666666666666,1,True,True,True
100,0,5,578,0.6923076923076923,1,True,True,True
100,0,5,691,0.8,1,False,True,False
100,0,5,388,0.9,1,True,True,True
100,0,5,391,1.0,1,True,True,True
100,0,5,522,0.8,1,True,True,True
100,0,5,686,0.8,1,True,True,True
100,0,5,715,0.9,1,False,True,False
100,0,5,710,0.8571428571428571,1,False,True,False
100,0,5,668,0.7272727272727273,1,False,True,False
100,0,5,867,0.75,1,False,True,False
100,0,5,914,0.7777777777777778,1,False,True,False
100,0,5,497,0.875,1,False,True,False
100,0,5,573,0.8461538461538461,1,True,True,True
100,0,5,309,0.8,1,True,True,True
100,0,5,156,0.9090909090909091,1,True,True,True
100,0,5,504,1.0,1,True,True,True
100,0,5,912,0.7777777777777778,1,True,True,True
100,0,5,247,0.625,1,False,True,False
100,0,5,174,0.8888888888888888,1,False,True,False
100,0,5,126,0.8,1,False,True,False
100,0,5,963,0.7272727272727273,1,False,True,False
100,0,5,685,0.9,1,False,True,False
100,0,5,568,0.875,1,True,True,True
100,0,5,920,0.75,1,True,True,True
100,0,5,692,0.6,1,False,True,False
100,0,5,78,0.9090909090909091,1,True,True,True
100,0,5,457,0.9,1,True,True,True
100,0,5,254,0.6923076923076923,1,True,True,True
100,0,5,137,1.0,1,False,True,False
100,0,5,92,1.0,1,True,True,True
100,0,5,99,0.8571428571428571,1,False,True,False
100,0,5,144,0.75,1,False,True,False
100,0,5,102,0.9090909090909091,1,True,True,True
100,0,5,225,1.0,1,False,True,False
100,0,5,690,0.4166666666666667,1,False,False,True
100,0,5,696,0.7777777777777778,1,False,True,False
100,0,5,130,0.9090909090909091,1,True,True,True
100,0,5,695,0.75,1,False,True,False
100,0,5,375,0.8333333333333334,1,False,True,False
100,0,5,887,1.0,1,True,True,True
100,0,5,323,0.6666666666666666,1,False,True,False
100,0,5,121,0.7142857142857143,1,False,True,False
100,0,5,168,1.0,1,True,True,True
100,0,5,142,1.0,1,False,True,False
100,0,5,345,0.8,1,False,True,False
100,0,5,163,1.0,1,False,True,False
100,0,5,220,0.9090909090909091,1,True,True,True
100,0,5,615,1.0,1,True,True,True
100,0,5,148,0.9090909090909091,1,False,True,False
100,0,5,258,0.875,1,False,True,False
100,0,5,310,0.875,1,True,True,True
100,0,5,706,0.9,1,False,True,False
100,0,5,161,0.8888888888888888,1,True,True,True
100,0,5,967,0.8,1,False,True,False
100,0,5,617,1.0,1,False,True,False
100,0,5,288,1.0,1,False,True,False
100,0,5,172,0.6666666666666666,1,False,True,False
100,0,5,880,0.6666666666666666,1,False,True,False
100,0,5,460,0.9,1,True,True,True
100,0,5,256,0.7777777777777778,1,True,True,True
100,0,5,860,0.9166666666666666,1,True,True,True
100,0,5,579,1.0,1,False,True,False
100,0,5,526,0.875,1,False,True,False
100,0,5,243,0.7272727272727273,1,False,True,False
100,0,5,189,0.875,1,False,True,False
100,0,5,843,1.0,1,False,True,False
100,0,5,198,1.0,1,True,True,True
100,0,5,204,0.8888888888888888,1,False,True,False
100,0,5,812,0.7,1,False,True,False
100,0,5,298,0.8888888888888888,1,False,True,False
100,0,5,667,0.8333333333333334,1,False,True,False
100,0,5,855,0.8461538461538461,1,False,True,False
100,0,5,405,0.8888888888888888,1,False,True,False
100,0,5,588,1.0,1,False,True,False
100,0,5,403,0.875,1,False,True,False
100,0,5,253,0.8571428571428571,1,False,True,False
100,0,5,542,1.0,1,False,True,False
100,0,5,809,0.8333333333333334,1,False,True,False
100,0,5,806,0.8181818181818182,1,True,True,True
100,0,5,916,0.625,1,False,True,False
100,0,5,279,0.9,1,False,True,False
100,0,5,304,0.8461538461538461,1,True,True,True
100,0,5,927,0.9090909090909091,1,True,True,True
100,0,5,624,1.0,1,False,True,False
100,0,5,382,0.8,1,False,True,False
100,0,5,325,0.7,1,False,True,False
100,0,5,324,0.625,1,False,True,False
100,0,5,965,0.875,1,False,True,False
100,0,5,443,0.9090909090909091,1,False,True,False
100,0,5,836,1.0,1,False,True,False
100,0,5,327,0.7,1,False,True,False
100,0,5,340,0.8888888888888888,1,False,True,False
100,0,5,346,0.8181818181818182,1,True,True,True
100,0,5,514,1.0,1,True,True,True
100,0,5,401,0.6666666666666666,1,False,True,False
100,0,5,703,0.9166666666666666,1,False,True,False
100,0,5,373,0.8888888888888888,1,False,True,False
100,0,5,811,0.75,1,False,True,False
100,0,5,672,0.7,1,True,True,True
100,0,5,935,0.9,1,False,True,False
100,0,5,852,0.8,1,False,True,False
100,0,5,990,0.7272727272727273,1,False,True,False
100,0,5,471,1.0,1,True,True,True
100,0,5,506,1.0,1,True,True,True
100,0,5,925,0.7777777777777778,1,True,True,True
100,0,5,948,0.9,1,False,True,False
100,0,5,557,0.8888888888888888,1,True,True,True
100,0,5,907,0.8571428571428571,1,True,True,True
100,0,5,879,0.9,1,True,True,True
100,0,5,854,0.7777777777777778,1,False,True,False
100,0,5,992,0.625,1,False,True,False
100,0,5,881,0.8,1,False,True,False
100,0,10,1,0.6153846153846154,1,True,True,True
100,0,10,997,0.625,1,False,True,False
100,0,10,245,1.0,1,False,True,False
100,0,10,998,0.625,1,False,True,False
100,0,10,815,0.4,1,False,False,True
100,0,10,429,0.6,1,False,True,False
100,0,10,381,0.6666666666666666,1,False,True,False
100,0,10,9,0.875,1,False,True,False
100,0,10,11,0.9230769230769231,1,True,True,True
