type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality:betweenness,2,0.0,6,1129,0,0,1135,1.0,1.0,1.0,1.0,1.0
unbiased:betweenness,2,0.0,6,1129,0,0,1135,1.0,1.0,1.0,1.0,1.0
centrality-cm:betweenness:louvain,2,0.0,6,1129,26,0,1135,1.0,1.0,0.1875,1.0,0.3157894736842105
centrality-cm:betweenness:leiden,2,0.0,6,1129,25,0,1135,1.0,1.0,0.1935483870967742,1.0,0.3243243243243243
centrality-cm:betweenness:label_propagation,2,0.0,3,1126,0,3,1135,0.5,0.9973427812223207,1.0,0.9947136563876652,0.6666666666666666
centrality-cm:betweenness:greedy_modularity,2,0.0,6,1129,19,0,1135,1.0,1.0,0.24,1.0,0.3870967741935484
centrality-cm:betweenness:eigenvector,2,0.0,6,1129,32,0,1135,1.0,1.0,0.15789473684210525,1.0,0.2727272727272727
centrality-cm:betweenness:infomap,2,0.0,3,1126,0,3,1135,0.5,0.9973427812223207,1.0,0.9947136563876652,0.6666666666666666
centrality-cm:betweenness:paris,2,0.6666666666666666,4,1127,83,2,1135,0.6666666666666666,0.9982285208148804,0.04597701149425287,0.9964757709251101,0.08602150537634408
centrality-cm:betweenness:surprise_communities,2,1.3333333333333333,2,1125,222,4,1135,0.3333333333333333,0.9964570416297609,0.008928571428571428,0.9929515418502203,0.017391304347826087
centrality-cm:betweenness:walktrap,2,1.0,3,1126,86,3,1135,0.5,0.9973427812223207,0.033707865168539325,0.9947136563876652,0.06315789473684211
unbiased-cm:betweenness:louvain,2,0.0,6,1129,21,0,1135,1.0,1.0,0.2222222222222222,1.0,0.3636363636363636
unbiased-cm:betweenness:leiden,2,0.0,6,1129,21,0,1135,1.0,1.0,0.2222222222222222,1.0,0.3636363636363636
unbiased-cm:betweenness:label_propagation,2,0.0,3,1126,0,3,1135,0.5,0.9973427812223207,1.0,0.9947136563876652,0.6666666666666666
unbiased-cm:betweenness:greedy_modularity,2,0.0,6,1129,19,0,1135,1.0,1.0,0.24,1.0,0.3870967741935484
unbiased-cm:betweenness:eigenvector,2,0.0,6,1129,32,0,1135,1.0,1.0,0.15789473684210525,1.0,0.2727272727272727
unbiased-cm:betweenness:infomap,2,0.0,3,1126,0,3,1135,0.5,0.9973427812223207,1.0,0.9947136563876652,0.6666666666666666
unbiased-cm:betweenness:paris,2,0.6666666666666666,4,1127,83,2,1135,0.6666666666666666,0.9982285208148804,0.04597701149425287,0.9964757709251101,0.08602150537634408
unbiased-cm:betweenness:surprise_communities,2,0.3333333333333333,5,1128,225,1,1135,0.8333333333333334,0.9991142604074402,0.021739130434782608,0.9982378854625551,0.0423728813559322
unbiased-cm:betweenness:walktrap,2,1.0,3,1126,86,3,1135,0.5,0.9973427812223207,0.033707865168539325,0.9947136563876652,0.06315789473684211
rumor:louvain,2,0.0,6,1129,23,0,1135,1.0,1.0,0.20689655172413793,1.0,0.34285714285714286
rumor:leiden,2,0.6666666666666666,4,1127,24,2,1135,0.6666666666666666,0.9982285208148804,0.14285714285714285,0.9964757709251101,0.23529411764705882
rumor:label_propagation,2,0.0,3,1126,0,3,1135,0.5,0.9973427812223207,1.0,0.9947136563876652,0.6666666666666666
rumor:greedy_modularity,2,0.6666666666666666,4,1127,21,2,1135,0.6666666666666666,0.9982285208148804,0.16,0.9964757709251101,0.25806451612903225
rumor:eigenvector,2,0.3333333333333333,5,1128,33,1,1135,0.8333333333333334,0.9991142604074402,0.13157894736842105,0.9982378854625551,0.22727272727272727
rumor:infomap,2,0.0,3,1126,0,3,1135,0.5,0.9973427812223207,1.0,0.9947136563876652,0.6666666666666666
rumor:paris,2,2.0,0,1123,87,6,1135,0.0,0.9946855624446412,0.0,0.9894273127753304,0
rumor:surprise_communities,2,0.6666666666666666,4,1127,217,2,1135,0.6666666666666666,0.9982285208148804,0.01809954751131222,0.9964757709251101,0.03524229074889868
rumor:walktrap,2,1.0,3,1126,86,3,1135,0.5,0.9973427812223207,0.033707865168539325,0.9947136563876652,0.06315789473684211
jordan:louvain,2,0.6666666666666666,4,1127,11,2,1135,0.6666666666666666,0.9982285208148804,0.26666666666666666,0.9964757709251101,0.3809523809523809
jordan:leiden,2,0.6666666666666666,4,1127,14,2,1135,0.6666666666666666,0.9982285208148804,0.2222222222222222,0.9964757709251101,0.3333333333333333
jordan:label_propagation,2,0.0,2,1125,1,4,1135,0.3333333333333333,0.9964570416297609,0.6666666666666666,0.9929515418502203,0.4444444444444444
jordan:greedy_modularity,2,1.6666666666666667,3,1126,11,3,1135,0.5,0.9973427812223207,0.21428571428571427,0.9947136563876652,0.3
jordan:eigenvector,2,0.3333333333333333,5,1128,22,1,1135,0.8333333333333334,0.9991142604074402,0.18518518518518517,0.9982378854625551,0.303030303030303
jordan:infomap,2,0.0,2,1125,1,4,1135,0.3333333333333333,0.9964570416297609,0.6666666666666666,0.9929515418502203,0.4444444444444444
jordan:markov_clustering,2,0.0,6,1129,87,0,1135,1.0,1.0,0.06451612903225806,1.0,0.12121212121212122
jordan:paris,2,0.3333333333333333,5,1128,45,1,1135,0.8333333333333334,0.9991142604074402,0.1,0.9982378854625551,0.17857142857142858
jordan:surprise_communities,2,0.0,6,1129,168,0,1135,1.0,1.0,0.034482758620689655,1.0,0.06666666666666667
jordan:walktrap,2,0.6666666666666666,4,1127,70,2,1135,0.6666666666666666,0.9982285208148804,0.05405405405405406,0.9964757709251101,0.1
netsleuth:louvain,2,2.3333333333333335,0,1123,29,6,1135,0.0,0.9946855624446412,0.0,0.9894273127753304,0
netsleuth:leiden,2,2.0,1,1124,30,5,1135,0.16666666666666666,0.995571302037201,0.03225806451612903,0.9911894273127754,0.05405405405405405
netsleuth:label_propagation,2,0.0,0,1123,3,6,1135,0.0,0.9946855624446412,0.0,0.9894273127753304,0
netsleuth:greedy_modularity,2,2.3333333333333335,0,1123,25,6,1135,0.0,0.9946855624446412,0.0,0.9894273127753304,0
netsleuth:eigenvector,2,2.0,0,1123,38,6,1135,0.0,0.9946855624446412,0.0,0.9894273127753304,0
netsleuth:infomap,2,0.0,0,1123,3,6,1135,0.0,0.9946855624446412,0.0,0.9894273127753304,0
netsleuth:paris,2,2.0,0,1123,87,6,1135,0.0,0.9946855624446412,0.0,0.9894273127753304,0
netsleuth:surprise_communities,2,1.6666666666666667,1,1124,216,5,1135,0.16666666666666666,0.995571302037201,0.004608294930875576,0.9911894273127754,0.008968609865470852
netsleuth:walktrap,2,2.3333333333333335,0,1123,89,6,1135,0.0,0.9946855624446412,0.0,0.9894273127753304,0
jordan:spectral,2,0.0,2,382,0,0,384,1.0,1.0,1.0,1.0,1.0
centrality:betweenness,5,1.0,12,1174,3,3,1192,0.8,0.9974511469838573,0.8,0.9949664429530202,0.8000000000000002
unbiased:betweenness,5,1.0,12,1174,3,3,1192,0.8,0.9974511469838573,0.8,0.9949664429530202,0.8000000000000002
centrality-cm:betweenness:louvain,5,2.0,9,1171,23,6,1192,0.6,0.9949022939677146,0.28125,0.9899328859060402,0.3829787234042553
centrality-cm:betweenness:leiden,5,1.6666666666666667,10,1172,21,5,1192,0.6666666666666666,0.9957519116397621,0.3225806451612903,0.9916107382550335,0.4347826086956521
centrality-cm:betweenness:label_propagation,5,0.0,3,1165,0,12,1192,0.2,0.989804587935429,1.0,0.9798657718120806,0.33333333333333337
