type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality:betweenness,2,1.6666666666666667,4,14,2,2,22,0.6666666666666666,0.875,0.6666666666666666,0.8181818181818182,0.6666666666666666
unbiased:betweenness,2,1.6666666666666667,4,14,2,2,22,0.6666666666666666,0.875,0.6666666666666666,0.8181818181818182,0.6666666666666666
centrality-cm:betweenness:louvain,2,2.0,3,13,4,3,22,0.5,0.8125,0.42857142857142855,0.7272727272727273,0.4615384615384615
centrality-cm:betweenness:leiden,2,2.5,2,9,2,2,15,0.5,0.8181818181818182,0.5,0.7333333333333333,0.5
centrality-cm:betweenness:label_propagation,2,2.3333333333333335,3,13,3,3,22,0.5,0.8125,0.5,0.7272727272727273,0.5
centrality-cm:betweenness:greedy_modularity,2,2.0,3,13,4,3,22,0.5,0.8125,0.42857142857142855,0.7272727272727273,0.4615384615384615
centrality-cm:betweenness:eigenvector,2,2.5,2,9,2,2,15,0.5,0.8181818181818182,0.5,0.7333333333333333,0.5
centrality-cm:betweenness:infomap,2,0.0,4,14,0,2,22,0.6666666666666666,0.875,1.0,0.8181818181818182,0.8
centrality-cm:betweenness:markov_clustering,2,1.3333333333333333,3,13,3,3,22,0.5,0.8125,0.5,0.7272727272727273,0.5
centrality-cm:betweenness:surprise_communities,2,1.5,3,10,3,1,15,0.75,0.9090909090909091,0.5,0.8666666666666667,0.6
centrality-cm:betweenness:walktrap,2,2.5,2,9,2,2,15,0.5,0.8181818181818182,0.5,0.7333333333333333,0.5
centrality-cm:betweenness:spectral,2,2.5,2,9,2,2,15,0.5,0.8181818181818182,0.5,0.7333333333333333,0.5
unbiased-cm:betweenness:louvain,2,2.0,3,13,4,3,22,0.5,0.8125,0.42857142857142855,0.7272727272727273,0.4615384615384615
unbiased-cm:betweenness:leiden,2,2.5,2,9,2,2,15,0.5,0.8181818181818182,0.5,0.7333333333333333,0.5
unbiased-cm:betweenness:label_propagation,2,2.3333333333333335,3,13,3,3,22,0.5,0.8125,0.5,0.7272727272727273,0.5
unbiased-cm:betweenness:greedy_modularity,2,2.0,3,13,4,3,22,0.5,0.8125,0.42857142857142855,0.7272727272727273,0.4615384615384615
unbiased-cm:betweenness:eigenvector,2,2.5,2,9,2,2,15,0.5,0.8181818181818182,0.5,0.7333333333333333,0.5
