type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
unbiased:betweenness,5,3.0,6,10622,9,9,10646,0.4,0.9991534192456025,0.4,0.9983092241217358,0.4000000000000001
centrality-cm:betweenness:louvain,5,1.3333333333333333,12,10628,34,3,10646,0.8,0.9997178064152008,0.2608695652173913,0.9994364080405786,0.39344262295081966
centrality-cm:betweenness:leiden,5,1.0,12,10628,34,3,10646,0.8,0.9997178064152008,0.2608695652173913,0.9994364080405786,0.39344262295081966
centrality-cm:betweenness:eigenvector,5,1.0,12,10628,37,3,10646,0.8,0.9997178064152008,0.24489795918367346,0.9994364080405786,0.375
centrality-cm:betweenness:surprise_communities,5,1.0,12,10628,841,3,10646,0.8,0.9997178064152008,0.01406799531066823,0.9994364080405786,0.027649769585253458
centrality-cm:betweenness:walktrap,5,1.0,12,10628,153,3,10646,0.8,0.9997178064152008,0.07272727272727272,0.9994364080405786,0.13333333333333333
unbiased-cm:betweenness:louvain,5,1.3333333333333333,12,10628,34,3,10646,0.8,0.9997178064152008,0.2608695652173913,0.9994364080405786,0.39344262295081966
unbiased-cm:betweenness:leiden,5,1.0,12,10628,35,3,10646,0.8,0.9997178064152008,0.2553191489361702,0.9994364080405786,0.3870967741935484
unbiased-cm:betweenness:eigenvector,5,1.0,12,10628,37,3,10646,0.8,0.9997178064152008,0.24489795918367346,0.9994364080405786,0.375
unbiased-cm:betweenness:surprise_communities,5,1.0,12,10628,827,3,10646,0.8,0.9997178064152008,0.014302741358760428,0.9994364080405786,0.02810304449648712
unbiased-cm:betweenness:walktrap,5,1.0,12,10628,153,3,10646,0.8,0.9997178064152008,0.07272727272727272,0.9994364080405786,0.13333333333333333
rumor:surprise_communities,5,1.0,12,10628,822,3,10646,0.8,0.9997178064152008,0.014388489208633094,0.9994364080405786,0.02826855123674912
rumor:walktrap,5,1.0,12,10628,153,3,10646,0.8,0.9997178064152008,0.07272727272727272,0.9994364080405786,0.13333333333333333
jordan:louvain,5,3.6666666666666665,9,10625,12,6,10646,0.6,0.9994356128304016,0.42857142857142855,0.9988728160811572,0.5
jordan:leiden,5,2.6666666666666665,9,10625,15,6,10646,0.6,0.9994356128304016,0.375,0.9988728160811572,0.4615384615384615
jordan:label_propagation,5,4.333333333333333,6,10622,23,9,10646,0.4,0.9991534192456025,0.20689655172413793,0.9983092241217358,0.2727272727272727
jordan:greedy_modularity,5,3.6666666666666665,7,10623,20,8,10646,0.4666666666666667,0.9992474837738688,0.25925925925925924,0.9984970881082097,0.33333333333333337
jordan:eigenvector,5,3.3333333333333335,9,10625,17,6,10646,0.6,0.9994356128304016,0.34615384615384615,0.9988728160811572,0.43902439024390244
jordan:infomap,5,1150.3333333333333,3,10619,10,12,10646,0.2,0.9988712256608033,0.23076923076923078,0.9977456321623145,0.21428571428571427
jordan:markov_clustering,5,6.0,4,10620,17,11,10646,0.26666666666666666,0.9989652901890697,0.19047619047619047,0.9979334961487882,0.2222222222222222
jordan:paris,5,0.0,0,10616,3,15,10646,0.0,0.9985890320760041,0.0,0.9971820402028931,0
jordan:surprise_communities,5,0.0,15,10631,28,0,10646,1.0,1.0,0.3488372093023256,1.0,0.5172413793103449
jordan:walktrap,5,0.6666666666666666,14,10630,22,1,10646,0.9333333333333333,0.9999059354717336,0.3888888888888889,0.9998121360135263,0.5490196078431373
netsleuth:louvain,5,6.0,0,10616,45,15,10646,0.0,0.9985890320760041,0.0,0.9971820402028931,0
netsleuth:leiden,5,5.666666666666667,0,10616,46,15,10646,0.0,0.9985890320760041,0.0,0.9971820402028931,0
netsleuth:label_propagation,5,6.0,0,10616,87,15,10646,0.0,0.9985890320760041,0.0,0.9971820402028931,0
netsleuth:greedy_modularity,5,5.666666666666667,0,10616,29,15,10646,0.0,0.9985890320760041,0.0,0.9971820402028931,0
netsleuth:eigenvector,5,5.333333333333333,0,10616,49,15,10646,0.0,0.9985890320760041,0.0,0.9971820402028931,0
netsleuth:infomap,5,6.333333333333333,0,10616,16,15,10646,0.0,0.9985890320760041,0.0,0.9971820402028931,0
netsleuth:markov_clustering,5,6.0,0,10616,25,15,10646,0.0,0.9985890320760041,0.0,0.9971820402028931,0
netsleuth:surprise_communities,5,5.0,0,10616,833,15,10646,0.0,0.9985890320760041,0.0,0.9971820402028931,0
