type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:surprise_communities,5,1.0,12,10719,857,3,10737,0.8,0.9997202014549524,0.01380897583429229,0.9994411846884604,0.027149321266968326
unbiased-cm:betweenness:surprise_communities,5,1.0,12,10719,850,3,10737,0.8,0.9997202014549524,0.013921113689095127,0.9994411846884604,0.027366020524515394
rumor:surprise_communities,5,1.0,12,10719,852,3,10737,0.8,0.9997202014549524,0.013888888888888888,0.9994411846884604,0.027303754266211604
jordan:louvain,5,2.0,9,10716,13,6,10737,0.6,0.9994404029099049,0.4090909090909091,0.9988823693769209,0.4864864864864865
jordan:leiden,5,2.0,9,10716,15,6,10737,0.6,0.9994404029099049,0.375,0.9988823693769209,0.4615384615384615
jordan:label_propagation,5,3.6666666666666665,6,10713,27,9,10737,0.4,0.9991606043648573,0.18181818181818182,0.9983235540653814,0.25000000000000006
jordan:greedy_modularity,5,3.3333333333333335,7,10714,19,8,10737,0.4666666666666667,0.9992538705465398,0.2692307692307692,0.9985098258358945,0.3414634146341463
jordan:eigenvector,5,2.3333333333333335,11,10718,15,4,10737,0.7333333333333333,0.99962693527327,0.4230769230769231,0.9992549129179473,0.5365853658536585
jordan:infomap,5,4.0,4,10711,11,11,10737,0.26666666666666666,0.9989740720014922,0.26666666666666666,0.9979510105243551,0.26666666666666666
jordan:markov_clustering,5,5.666666666666667,4,10711,17,11,10737,0.26666666666666666,0.9989740720014922,0.19047619047619047,0.9979510105243551,0.2222222222222222
jordan:paris,5,0.0,0,10707,3,15,10737,0.0,0.9986010072747622,0.0,0.9972059234423023,0
jordan:walktrap,5,0.0,15,10722,27,0,10737,1.0,1.0,0.35714285714285715,1.0,0.5263157894736842
netsleuth:louvain,5,5.333333333333333,0,10707,47,15,10737,0.0,0.9986010072747622,0.0,0.9972059234423023,0
netsleuth:leiden,5,5.333333333333333,0,10707,48,15,10737,0.0,0.9986010072747622,0.0,0.9972059234423023,0
netsleuth:label_propagation,5,6.0,0,10707,92,15,10737,0.0,0.9986010072747622,0.0,0.9972059234423023,0
netsleuth:greedy_modularity,5,6.0,0,10707,32,15,10737,0.0,0.9986010072747622,0.0,0.9972059234423023,0
netsleuth:eigenvector,5,5.0,0,10707,48,15,10737,0.0,0.9986010072747622,0.0,0.9972059234423023,0
