type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality:betweenness,2,1.3333333333333333,4,165,2,2,173,0.6666666666666666,0.9880239520958084,0.6666666666666666,0.976878612716763,0.6666666666666666
unbiased:betweenness,2,2.6666666666666665,3,164,3,3,173,0.5,0.9820359281437125,0.5,0.9653179190751445,0.5
centrality-cm:betweenness:louvain,2,2.3333333333333335,0,161,20,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
centrality-cm:betweenness:leiden,2,2.3333333333333335,0,161,20,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
centrality-cm:betweenness:label_propagation,2,2.0,0,161,20,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
centrality-cm:betweenness:greedy_modularity,2,2.0,0,161,18,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
centrality-cm:betweenness:eigenvector,2,1.6666666666666667,1,162,17,5,173,0.16666666666666666,0.9700598802395209,0.05555555555555555,0.9421965317919075,0.08333333333333333
centrality-cm:betweenness:infomap,2,2.0,0,161,21,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
centrality-cm:betweenness:markov_clustering,2,1.6666666666666667,1,162,24,5,173,0.16666666666666666,0.9700598802395209,0.04,0.9421965317919075,0.06451612903225806
centrality-cm:betweenness:surprise_communities,2,2.0,0,161,32,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
centrality-cm:betweenness:walktrap,2,2.0,0,161,22,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
centrality-cm:betweenness:spectral,2,3.6666666666666665,0,161,6,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
unbiased-cm:betweenness:louvain,2,2.3333333333333335,0,161,20,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
unbiased-cm:betweenness:leiden,2,2.3333333333333335,0,161,20,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
unbiased-cm:betweenness:label_propagation,2,2.0,0,161,20,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
unbiased-cm:betweenness:greedy_modularity,2,2.0,1,162,17,5,173,0.16666666666666666,0.9700598802395209,0.05555555555555555,0.9421965317919075,0.08333333333333333
unbiased-cm:betweenness:eigenvector,2,2.0,1,162,17,5,173,0.16666666666666666,0.9700598802395209,0.05555555555555555,0.9421965317919075,0.08333333333333333
unbiased-cm:betweenness:infomap,2,2.3333333333333335,0,161,21,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
unbiased-cm:betweenness:markov_clustering,2,2.0,1,162,24,5,173,0.16666666666666666,0.9700598802395209,0.04,0.9421965317919075,0.06451612903225806
unbiased-cm:betweenness:surprise_communities,2,2.0,0,161,32,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
unbiased-cm:betweenness:walktrap,2,2.0,0,161,22,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
unbiased-cm:betweenness:spectral,2,4.0,0,161,6,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
rumor:louvain,2,1.6666666666666667,1,162,19,5,173,0.16666666666666666,0.9700598802395209,0.05,0.9421965317919075,0.07692307692307691
rumor:leiden,2,1.6666666666666667,1,162,19,5,173,0.16666666666666666,0.9700598802395209,0.05,0.9421965317919075,0.07692307692307691
rumor:label_propagation,2,2.0,0,161,20,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
rumor:greedy_modularity,2,1.6666666666666667,1,162,17,5,173,0.16666666666666666,0.9700598802395209,0.05555555555555555,0.9421965317919075,0.08333333333333333
rumor:eigenvector,2,2.0,1,162,17,5,173,0.16666666666666666,0.9700598802395209,0.05555555555555555,0.9421965317919075,0.08333333333333333
rumor:infomap,2,2.0,0,161,21,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
rumor:markov_clustering,2,1.6666666666666667,1,162,24,5,173,0.16666666666666666,0.9700598802395209,0.04,0.9421965317919075,0.06451612903225806
rumor:surprise_communities,2,2.0,0,161,32,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
rumor:walktrap,2,1.6666666666666667,1,162,21,5,173,0.16666666666666666,0.9700598802395209,0.045454545454545456,0.9421965317919075,0.07142857142857144
rumor:spectral,2,3.3333333333333335,0,161,6,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
jordan:louvain,2,40.333333333333336,0,161,19,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
jordan:leiden,2,41.0,0,161,20,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
jordan:label_propagation,2,4.0,0,161,20,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
jordan:greedy_modularity,2,3.6666666666666665,0,161,18,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
jordan:eigenvector,2,3.0,1,162,17,5,173,0.16666666666666666,0.9700598802395209,0.05555555555555555,0.9421965317919075,0.08333333333333333
jordan:infomap,2,41.0,0,161,21,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
jordan:markov_clustering,2,39.333333333333336,0,161,25,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
jordan:paris,2,0.0,3,164,0,3,173,0.5,0.9820359281437125,1.0,0.9653179190751445,0.6666666666666666
jordan:surprise_communities,2,74.33333333333333,0,161,30,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
