type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality:betweenness,2,0.0,6,47,0,0,53,1.0,1.0,1.0,1.0,1.0
unbiased:betweenness,2,0.3333333333333333,5,46,1,1,53,0.8333333333333334,0.9787234042553191,0.8333333333333334,0.9622641509433962,0.8333333333333334
centrality-cm:betweenness:louvain,2,0.3333333333333333,5,46,2,1,53,0.8333333333333334,0.9787234042553191,0.7142857142857143,0.9622641509433962,0.7692307692307692
centrality-cm:betweenness:leiden,2,0.0,6,47,1,0,53,1.0,1.0,0.8571428571428571,1.0,0.923076923076923
centrality-cm:betweenness:label_propagation,2,0.0,5,46,0,1,53,0.8333333333333334,0.9787234042553191,1.0,0.9622641509433962,0.9090909090909091
centrality-cm:betweenness:greedy_modularity,2,0.3333333333333333,5,46,2,1,53,0.8333333333333334,0.9787234042553191,0.7142857142857143,0.9622641509433962,0.7692307692307692
centrality-cm:betweenness:eigenvector,2,0.0,6,47,1,0,53,1.0,1.0,0.8571428571428571,1.0,0.923076923076923
centrality-cm:betweenness:infomap,2,0.0,5,46,0,1,53,0.8333333333333334,0.9787234042553191,1.0,0.9622641509433962,0.9090909090909091
centrality-cm:betweenness:markov_clustering,2,2.0,3,44,3,3,53,0.5,0.9361702127659575,0.5,0.8867924528301887,0.5
centrality-cm:betweenness:paris,2,2.0,3,44,3,3,53,0.5,0.9361702127659575,0.5,0.8867924528301887,0.5
centrality-cm:betweenness:surprise_communities,2,0.6666666666666666,4,45,16,2,53,0.6666666666666666,0.9574468085106383,0.2,0.9245283018867925,0.30769230769230765
centrality-cm:betweenness:walktrap,2,0.0,6,47,1,0,53,1.0,1.0,0.8571428571428571,1.0,0.923076923076923
centrality-cm:betweenness:spectral,2,0.0,6,47,0,0,53,1.0,1.0,1.0,1.0,1.0
unbiased-cm:betweenness:louvain,2,0.0,6,47,1,0,53,1.0,1.0,0.8571428571428571,1.0,0.923076923076923
unbiased-cm:betweenness:leiden,2,0.0,6,47,1,0,53,1.0,1.0,0.8571428571428571,1.0,0.923076923076923
unbiased-cm:betweenness:label_propagation,2,0.0,4,45,1,2,53,0.6666666666666666,0.9574468085106383,0.8,0.9245283018867925,0.7272727272727272
unbiased-cm:betweenness:greedy_modularity,2,0.3333333333333333,5,46,2,1,53,0.8333333333333334,0.9787234042553191,0.7142857142857143,0.9622641509433962,0.7692307692307692
unbiased-cm:betweenness:eigenvector,2,0.0,6,47,1,0,53,1.0,1.0,0.8571428571428571,1.0,0.923076923076923
unbiased-cm:betweenness:infomap,2,0.0,5,46,0,1,53,0.8333333333333334,0.9787234042553191,1.0,0.9622641509433962,0.9090909090909091
unbiased-cm:betweenness:markov_clustering,2,2.0,3,44,3,3,53,0.5,0.9361702127659575,0.5,0.8867924528301887,0.5
unbiased-cm:betweenness:paris,2,2.0,3,44,3,3,53,0.5,0.9361702127659575,0.5,0.8867924528301887,0.5
