type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
jordan:label_propagation,1265,89359.66666666667,118,14244,64,3677,21716,0.031093544137022398,0.7948217175380838,0.6483516483516484,0.6613556824461226,0.059341211968820716
jordan:eigenvector,1265,0.0,5,9426,0,2525,14481,0.001976284584980237,0.7887206091540457,1.0,0.6512671776810993,0.0039447731755424065
jordan:paris,1265,4844.333333333333,0,14126,3,3795,21716,0.0,0.7882372635455611,0.0,0.650488119358998,0
netsleuth:louvain,1265,0.0,18,14144,59,3777,21716,0.0047430830039525695,0.7892416717817086,0.23376623376623376,0.6521458832197458,0.009297520661157025
netsleuth:leiden,1265,0.0,19,14145,56,3776,21716,0.005006587615283268,0.7892974722392724,0.25333333333333335,0.6522379812120096,0.009819121447028425
netsleuth:eigenvector,1265,0.0,3,14129,15,3792,21716,0.0007905138339920949,0.7884046649182523,0.16666666666666666,0.6507644133357893,0.0015735641227380016
netsleuth:infomap,1265,0.0,213,14339,665,3582,21716,0.05612648221343874,0.8001227610066403,0.24259681093394078,0.6701049917111807,0.09116199443612241
netsleuth:markov_clustering,1265,0.0,654,14780,1017,3141,21716,0.17233201581027668,0.8247307627922549,0.39138240574506283,0.7107202062995027,0.23929747530186604
netsleuth:walktrap,1265,1110.6666666666667,408,14534,5268,3387,21716,0.1075098814229249,0.8110038502315718,0.07188160676532769,0.6880641002026155,0.08615774469433006
jordan:leiden,1265,7209.0,21,9379,8,2509,14418,0.008300395256916997,0.7889468371467026,0.7241379310344828,0.6519628242474684,0.016412661195779603
jordan:louvain,1265,7183.0,12,4665,5,1253,7183,0.009486166007905139,0.7882730652247381,0.7058823529411765,0.6511207016566894,0.0187207488299532
