type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:surprise_communities,13,12.0,1,6648,3398,12,6673,0.07692307692307693,0.9981981981981982,0.0002942041776993233,0.9964034167540836,0.0005861664712778429
unbiased-cm:betweenness:surprise_communities,13,12.0,1,6648,3456,12,6673,0.07692307692307693,0.9981981981981982,0.0002892681515765114,0.9964034167540836,0.0005763688760806916
jordan:paris,13,4514.666666666667,0,20139,3,39,20217,0.0,0.9980672019030628,0.0,0.9961418608102093,0
netsleuth:louvain,13,17.333333333333332,0,20139,46,39,20217,0.0,0.9980672019030628,0.0,0.9961418608102093,0
netsleuth:leiden,13,17.333333333333332,0,20139,50,39,20217,0.0,0.9980672019030628,0.0,0.9961418608102093,0
netsleuth:eigenvector,13,0.0,0,6647,4,13,6673,0.0,0.998048048048048,0.0,0.9961037014835906,0
netsleuth:infomap,13,13.0,0,20139,706,39,20217,0.0,0.9980672019030628,0.0,0.9961418608102093,0
netsleuth:markov_clustering,13,12.666666666666666,1,20140,1228,38,20217,0.02564102564102564,0.9981167608286252,0.0008136696501220504,0.9962407874561013,0.001577287066246057
netsleuth:surprise_communities,13,13.0,0,20139,10540,39,20217,0.0,0.9980672019030628,0.0,0.9961418608102093,0
netsleuth:walktrap,13,13.666666666666666,1,20140,5071,38,20217,0.02564102564102564,0.9981167608286252,0.0001971608832807571,0.9962407874561013,0.00039131285462727454
jordan:paris,127,0.0,0,20072,3,381,20834,0.0,0.9813719258788441,0.0,0.9634251703945473,0
netsleuth:louvain,127,0.0,2,20074,44,379,20834,0.005249343832020997,0.9814697110448345,0.043478260869565216,0.963617164250744,0.00936768149882904
netsleuth:leiden,127,0.0,1,20073,46,380,20834,0.0026246719160104987,0.9814208184618394,0.02127659574468085,0.9635211673226457,0.004672897196261682
netsleuth:eigenvector,127,0.0,1,6668,19,126,6921,0.007874015748031496,0.9814542243155726,0.05,0.9635890767230169,0.013605442176870748
netsleuth:infomap,127,149.66666666666666,5,20077,735,376,20834,0.013123359580052493,0.98161638879382,0.006756756756756757,0.9639051550350389,0.008920606601248885
netsleuth:markov_clustering,127,118.5,19,13430,839,235,13919,0.07480314960629922,0.9828027808269301,0.022144522144522144,0.9662332064085064,0.0341726618705036
netsleuth:surprise_communities,127,127.66666666666667,3,20075,10831,378,20834,0.007874015748031496,0.9815186036278296,0.0002769060365515968,0.9637131611788423,0.0005349977708426215
netsleuth:walktrap,127,204.0,1,13412,398,253,13919,0.003937007874015748,0.981485547017929,0.002506265664160401,0.9636468137078813,0.0030627871362940273
centrality-cm:betweenness:surprise_communities,127,108.0,20,6681,3544,107,6915,0.15748031496062992,0.9842368886269888,0.005611672278338945,0.9690527838033262,0.010837171498238958
jordan:paris,1265,2423.0,0,13931,3,3795,21521,0.0,0.7859077061942908,0.0,0.647321221132847,0
netsleuth:louvain,1265,0.0,23,13954,47,3772,21521,0.006060606060606061,0.7872052352476588,0.32857142857142857,0.6494586682774964,0.011901681759379043
netsleuth:leiden,1265,0.0,14,13945,63,3781,21521,0.003689064558629776,0.7866975064876452,0.18181818181818182,0.6486222759165466,0.007231404958677686
netsleuth:infomap,1265,0.0,237,14168,745,3558,21521,0.062450592885375494,0.7992778968746475,0.24134419551934827,0.6693462199711909,0.09922545530667784
netsleuth:markov_clustering,1265,0.0,615,14546,1076,3180,21521,0.16205533596837945,0.820602504795216,0.3636901241868717,0.7044746991310813,0.2242070725483048
netsleuth:walktrap,1265,0.0,116,9346,605,2414,14290,0.0458498023715415,0.7947278911564626,0.1608876560332871,0.6621413575927222,0.07136265764380191
