type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality:betweenness,2,1.6666666666666667,4,224,2,2,232,0.6666666666666666,0.9911504424778761,0.6666666666666666,0.9827586206896551,0.6666666666666666
unbiased:betweenness,2,2.6666666666666665,3,223,3,3,232,0.5,0.9867256637168141,0.5,0.9741379310344828,0.5
centrality-cm:betweenness:louvain,2,2.0,2,222,20,4,232,0.3333333333333333,0.9823008849557522,0.09090909090909091,0.9655172413793104,0.14285714285714288
centrality-cm:betweenness:leiden,2,1.6666666666666667,3,223,18,3,232,0.5,0.9867256637168141,0.14285714285714285,0.9741379310344828,0.22222222222222224
centrality-cm:betweenness:label_propagation,2,1.0,4,224,41,2,232,0.6666666666666666,0.9911504424778761,0.08888888888888889,0.9827586206896551,0.1568627450980392
centrality-cm:betweenness:greedy_modularity,2,1.3333333333333333,3,223,21,3,232,0.5,0.9867256637168141,0.125,0.9741379310344828,0.2
centrality-cm:betweenness:eigenvector,2,1.3333333333333333,2,222,25,4,232,0.3333333333333333,0.9823008849557522,0.07407407407407407,0.9655172413793104,0.12121212121212122
centrality-cm:betweenness:infomap,2,1.6666666666666667,1,221,37,5,232,0.16666666666666666,0.9778761061946902,0.02631578947368421,0.9568965517241379,0.045454545454545456
centrality-cm:betweenness:surprise_communities,2,1.6666666666666667,2,222,55,4,232,0.3333333333333333,0.9823008849557522,0.03508771929824561,0.9655172413793104,0.06349206349206349
centrality-cm:betweenness:walktrap,2,1.0,3,223,27,3,232,0.5,0.9867256637168141,0.1,0.9741379310344828,0.16666666666666669
centrality-cm:betweenness:spectral,2,2.3333333333333335,3,223,3,3,232,0.5,0.9867256637168141,0.5,0.9741379310344828,0.5
unbiased-cm:betweenness:louvain,2,2.3333333333333335,1,221,21,5,232,0.16666666666666666,0.9778761061946902,0.045454545454545456,0.9568965517241379,0.07142857142857144
unbiased-cm:betweenness:leiden,2,2.0,1,221,23,5,232,0.16666666666666666,0.9778761061946902,0.041666666666666664,0.9568965517241379,0.06666666666666667
unbiased-cm:betweenness:label_propagation,2,0.6666666666666666,5,225,40,1,232,0.8333333333333334,0.995575221238938,0.1111111111111111,0.9913793103448276,0.19607843137254902
unbiased-cm:betweenness:greedy_modularity,2,1.3333333333333333,2,222,22,4,232,0.3333333333333333,0.9823008849557522,0.08333333333333333,0.9655172413793104,0.13333333333333333
unbiased-cm:betweenness:eigenvector,2,1.3333333333333333,2,222,25,4,232,0.3333333333333333,0.9823008849557522,0.07407407407407407,0.9655172413793104,0.12121212121212122
unbiased-cm:betweenness:infomap,2,1.6666666666666667,1,221,37,5,232,0.16666666666666666,0.9778761061946902,0.02631578947368421,0.9568965517241379,0.045454545454545456
unbiased-cm:betweenness:surprise_communities,2,1.6666666666666667,2,222,54,4,232,0.3333333333333333,0.9823008849557522,0.03571428571428571,0.9655172413793104,0.06451612903225806
unbiased-cm:betweenness:walktrap,2,1.6666666666666667,3,223,27,3,232,0.5,0.9867256637168141,0.1,0.9741379310344828,0.16666666666666669
unbiased-cm:betweenness:spectral,2,2.6666666666666665,2,222,4,4,232,0.3333333333333333,0.9823008849557522,0.3333333333333333,0.9655172413793104,0.3333333333333333
rumor:louvain,2,2.3333333333333335,0,220,23,6,232,0.0,0.9734513274336283,0.0,0.9482758620689655,0
rumor:leiden,2,2.3333333333333335,1,221,21,5,232,0.16666666666666666,0.9778761061946902,0.045454545454545456,0.9568965517241379,0.07142857142857144
rumor:label_propagation,2,1.6666666666666667,2,222,43,4,232,0.3333333333333333,0.9823008849557522,0.044444444444444446,0.9655172413793104,0.0784313725490196
rumor:greedy_modularity,2,1.3333333333333333,3,223,21,3,232,0.5,0.9867256637168141,0.125,0.9741379310344828,0.2
rumor:eigenvector,2,1.3333333333333333,2,222,25,4,232,0.3333333333333333,0.9823008849557522,0.07407407407407407,0.9655172413793104,0.12121212121212122
rumor:infomap,2,1.3333333333333333,2,222,36,4,232,0.3333333333333333,0.9823008849557522,0.05263157894736842,0.9655172413793104,0.09090909090909091
rumor:surprise_communities,2,1.0,3,223,55,3,232,0.5,0.9867256637168141,0.05172413793103448,0.9741379310344828,0.09375
rumor:walktrap,2,2.0,1,221,29,5,232,0.16666666666666666,0.9778761061946902,0.03333333333333333,0.9568965517241379,0.05555555555555555
rumor:spectral,2,3.0,2,222,4,4,232,0.3333333333333333,0.9823008849557522,0.3333333333333333,0.9655172413793104,0.3333333333333333
jordan:louvain,2,2.0,3,223,20,3,232,0.5,0.9867256637168141,0.13043478260869565,0.9741379310344828,0.20689655172413793
jordan:leiden,2,1.6666666666666667,3,223,21,3,232,0.5,0.9867256637168141,0.125,0.9741379310344828,0.2
jordan:label_propagation,2,2.0,3,223,42,3,232,0.5,0.9867256637168141,0.06666666666666667,0.9741379310344828,0.11764705882352941
jordan:greedy_modularity,2,1.6666666666666667,3,223,21,3,232,0.5,0.9867256637168141,0.125,0.9741379310344828,0.2
jordan:eigenvector,2,2.0,1,221,26,5,232,0.16666666666666666,0.9778761061946902,0.037037037037037035,0.9568965517241379,0.06060606060606061
jordan:infomap,2,1.6666666666666667,1,221,37,5,232,0.16666666666666666,0.9778761061946902,0.02631578947368421,0.9568965517241379,0.045454545454545456
jordan:markov_clustering,2,3.6666666666666665,0,220,29,6,232,0.0,0.9734513274336283,0.0,0.9482758620689655,0
jordan:paris,2,34.0,0,220,13,6,232,0.0,0.9734513274336283,0.0,0.9482758620689655,0
jordan:surprise_communities,2,2.6666666666666665,2,222,54,4,232,0.3333333333333333,0.9823008849557522,0.03571428571428571,0.9655172413793104,0.06451612903225806
