type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,3,2,0.0,27.0,11.0,0.14319046338399252,2.0,11.0,2.0,0,1181,33,6,1193,0.0,0.9949452401010952,0.0,0.9899413243922883,0
centrality-cm:betweenness:df_node_similarity,3,2,0.0,6.0,4.0,3.054609457651774,2.0,4.0,9.0,0,1181,12,6,1193,0.0,0.9949452401010952,0.0,0.9899413243922883,0
rumor:leiden,3,2,0.0,22.0,9.333333333333334,0.4417749245961507,1.3333333333333333,9.333333333333334,2.0,2,1183,26,4,1193,0.3333333333333333,0.9966301600673968,0.07142857142857142,0.9932942162615256,0.11764705882352941
rumor:df_node_similarity,3,2,0.0,6.0,4.0,6.164112011591594,2.0,4.0,9.0,1,1182,11,5,1193,0.16666666666666666,0.995787700084246,0.08333333333333333,0.991617770326907,0.1111111111111111
jordan:leiden,3,2,0.0,25.0,10.333333333333334,0.09765466054280598,1.6666666666666667,10.333333333333334,0.0,1,1182,30,5,1193,0.16666666666666666,0.995787700084246,0.03225806451612903,0.991617770326907,0.05405405405405405
jordan:df_node_similarity,3,2,0.0,6.0,4.0,2.0075318018595376,2.0,4.0,9.0,2,1183,10,4,1193,0.3333333333333333,0.9966301600673968,0.16666666666666666,0.9932942162615256,0.2222222222222222
netsleuth-cm:leiden,3,2,0.0,23.0,9.666666666666666,0.052350759506225586,3.3333333333333335,9.666666666666666,1.0,0,1181,29,6,1193,0.0,0.9949452401010952,0.0,0.9899413243922883,0
netsleuth-cm:df_node_similarity,3,2,0.0,6.0,4.0,2.0715959866841636,3.6666666666666665,4.0,9.0,0,1181,12,6,1193,0.0,0.9949452401010952,0.0,0.9899413243922883,0
ensemble:leiden,3,2,0.0,22.0,9.333333333333334,0.6906540393829346,2.0,9.333333333333334,0.0,0,1181,28,6,1193,0.0,0.9949452401010952,0.0,0.9899413243922883,0
ensemble:df_node_similarity,3,2,0.0,6.0,4.0,12.148465236028036,2.0,4.0,9.0,2,1183,10,4,1193,0.3333333333333333,0.9966301600673968,0.16666666666666666,0.9932942162615256,0.2222222222222222
ensemble-centralities:leiden,3,2,0.0,24.0,10.0,0.2129510243733724,1.3333333333333333,10.0,0.0,2,1183,28,4,1193,0.3333333333333333,0.9966301600673968,0.06666666666666667,0.9932942162615256,0.1111111111111111
ensemble-centralities:df_node_similarity,3,2,0.0,6.0,4.0,6.949972867965698,2.0,4.0,9.0,0,1181,12,6,1193,0.0,0.9949452401010952,0.0,0.9899413243922883,0
centrality-cm:betweenness:leiden,3,5,0.0,14.0,9.666666666666666,0.15864737828572592,4.0,9.666666666666666,1.0,3,1152,26,12,1179,0.2,0.9896907216494846,0.10344827586206896,0.9796437659033079,0.13636363636363635
centrality-cm:betweenness:df_node_similarity,3,5,0.0,5.0,6.0,3.110304594039917,4.0,6.0,15.0,0,1149,18,15,1179,0.0,0.9871134020618557,0.0,0.9745547073791349,0
rumor:leiden,3,5,0.0,18.0,11.0,0.36408480008443195,3.3333333333333335,11.0,2.0,5,1154,28,10,1179,0.3333333333333333,0.9914089347079038,0.15151515151515152,0.9830364715860899,0.20833333333333331
rumor:df_node_similarity,3,5,0.0,5.0,6.0,6.010765711466472,6.0,6.0,15.0,3,1152,15,12,1179,0.2,0.9896907216494846,0.16666666666666666,0.9796437659033079,0.1818181818181818
jordan:leiden,3,5,0.0,15.0,10.0,0.09674207369486491,4.666666666666667,10.0,2.0,1,1150,29,14,1179,0.06666666666666667,0.9879725085910653,0.03333333333333333,0.9762510602205259,0.04444444444444444
jordan:df_node_similarity,3,5,0.0,5.0,6.0,2.111311674118042,5.666666666666667,6.0,15.0,3,1152,15,12,1179,0.2,0.9896907216494846,0.16666666666666666,0.9796437659033079,0.1818181818181818
