graph,community,sources,nodes,detected,difference,sources_ratio,nmi,modularity,pcov,pper
barabasi_1,louvain,2,390,12,-10,2,0.025542699256473133,0.28968588970091597,0.39669421487603307,0.8941796849251862
barabasi_1,belief,2,390,8,-6,2,0.02190421421820657,-0.022403296678277892,0.10909090909090909,0.8544723485597522
barabasi_1,leiden,2,390,10,-8,2,0.043008176667543946,0.2980289749485842,0.40550964187327826,0.8934941665018786
barabasi_1,label_propagation,2,390,1,1,1,1.2814678427996775e-15,0.0,1.0,0.023927229582756573
barabasi_1,greedy_modularity,2,390,8,-6,2,0.022064573136173764,0.2834062639922896,0.4534435261707989,0.844795992353833
barabasi_1,eigenvector,2,390,6,-4,2,0.061794226827204236,0.234084496353467,0.4484848484848485,0.7838507679124646
barabasi_1,ga,2,390,35,-33,2,0.033117045714811326,0.16947582511819928,0.26721763085399447,0.9090897106321271
barabasi_1,infomap,2,390,1,1,1,1.2814678427996775e-15,0.0,1.0,0.023927229582756573
barabasi_1,kcut,2,390,7,-5,2,0.02705726318208049,0.00011854077969789116,0.9504132231404959,0.05212576626458375
barabasi_1,markov_clustering,2,390,170,-168,2,0.1408647016014305,0.10859716625306408,0.12617079889807162,0.966923736075407
barabasi_1,paris,2,390,15,-13,2,0.022518184387934057,0.25105768428082476,0.325068870523416,0.9205194120361215
barabasi_1,spinglass,2,390,10,-8,2,0.03168132405631318,0.319067307181507,0.4225895316804408,0.8963153384747216
barabasi_1,surprise_communities,2,390,75,-73,2,0.07736327171613808,0.21669603624524728,0.24462809917355371,0.9736075407026564
barabasi_1,walktrap,2,390,43,-41,1,0.03849354410139088,0.18965492642427267,0.36308539944903584,0.927598708061433
barabasi_1,sbm_dl,2,390,1,1,1,1.2814678427996775e-15,0.0,1.0,0.023927229582756573
barabasi_1,louvain,5,386,12,-7,4,0.084267589242377,0.2828543542346006,0.37921503593145384,0.9036134849606352
barabasi_1,belief,5,386,8,-3,4,0.08376310276255697,-0.025826582339209897,0.10668877833056938,0.8527420765762734
barabasi_1,leiden,5,386,9,-4,4,0.08195447016453726,0.2974490913774595,0.4134881149806523,0.8839781979678353
barabasi_1,label_propagation,5,386,1,4,1,3.5726902064999576e-16,1.1102230246251565e-16,1.0,0.024345602583944553
barabasi_1,greedy_modularity,5,386,9,-4,4,0.08040011616553139,0.28114280877413805,0.4759535655058043,0.8216001614965346
barabasi_1,eigenvector,5,386,13,-8,4,0.14451188914916566,0.23272373468325713,0.3504698728579326,0.8822017360877464
barabasi_1,infomap,5,386,1,4,1,3.5726902064999576e-16,1.1102230246251565e-16,1.0,0.024345602583944553
barabasi_1,kcut,5,386,8,-3,2,0.035703812209312374,0.0005314010990439429,0.945273631840796,0.05766772088015611
barabasi_1,markov_clustering,5,386,135,-130,5,0.29385378595753847,0.12200376411658313,0.14759535655058043,0.9571765022542225
barabasi_1,paris,5,386,75,-70,5,0.17317160175818297,0.19058521653754454,0.205085682697623,0.9720476414776933
barabasi_1,spinglass,5,386,8,-3,4,0.0870601393904091,0.3203002553719945,0.45052515201768933,0.8716102550299442
barabasi_1,surprise_communities,5,386,78,-73,3,0.20037211427936957,0.20420531089408928,0.23327805417357655,0.9745777538523652
barabasi_1,walktrap,5,386,41,-36,1,0.11661972825728133,0.19937900326999602,0.36207849640685463,0.9320907072202409
barabasi_1,sbm_dl,5,386,1,4,1,3.5726902064999576e-16,1.1102230246251565e-16,1.0,0.024345602583944553
barabasi_1,louvain,50,421,10,40,9,0.2723357220812305,0.283060002748993,0.4031936127744511,0.8808392715756136
barabasi_1,belief,50,421,8,42,8,0.18352568238716163,-0.04144928705463323,0.09331337325349301,0.853331071145798
barabasi_1,leiden,50,421,11,39,11,0.3446779072593742,0.29892385886908823,0.39870259481037923,0.8979074765298043
barabasi_1,label_propagation,50,421,1,49,1,0.0,1.1102230246251565e-16,1.0,0.022667119104173735
barabasi_1,greedy_modularity,50,421,8,42,6,0.22606750149626617,0.2856610880036335,0.4565868263473054,0.8387060287297817
barabasi_1,eigenvector,50,421,7,43,7,0.2776131603073669,0.22964549942032103,0.38922155688622756,0.8384571881008935
barabasi_1,infomap,50,421,1,49,1,0.0,1.1102230246251565e-16,1.0,0.022667119104173735
barabasi_1,kcut,50,421,6,44,2,0.02515374556245923,8.416301130282554e-05,0.9530938123752495,0.044180522565320665
barabasi_1,markov_clustering,50,421,170,-120,49,0.6216741494265199,0.11201187943474342,0.13023952095808383,0.9664178260377785
barabasi_1,paris,50,421,9,41,9,0.2331645708892448,0.2556979354663926,0.3837325349301397,0.872548354258568
barabasi_1,spinglass,50,421,9,41,9,0.3191819728181747,0.31961737702240234,0.4411177644710579,0.8813935075217736
barabasi_1,surprise_communities,50,421,74,-24,28,0.5730559509026857,0.20469751614535386,0.24850299401197604,0.9742449949100781
barabasi_1,walktrap,50,421,32,18,7,0.3837712123620755,0.1874637700646611,0.39421157684630737,0.904286845379482
barabasi_1,sbm_dl,50,421,1,49,1,0.0,1.1102230246251565e-16,1.0,0.022667119104173735
