type,sources,threshold,comm_difference,avg_com_size,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,2,,30,12.0,0.8757604757944742,1.6666666666666667,1,2320,35,5,2331,0.16666666666666666,0.9978494623655914,0.027777777777777776,0.9957099957099957,0.04761904761904762
centrality-cm:betweenness:df_node_similarity,2,,7,4.333333333333333,16.674206018447876,3.0,0,2319,13,6,2331,0.0,0.9974193548387097,0.0,0.9948519948519948,0
rumor:leiden,2,,29,11.666666666666666,3.0780599117279053,1.3333333333333333,2,2321,33,4,2331,0.3333333333333333,0.9982795698924731,0.05714285714285714,0.9965679965679966,0.09756097560975609
rumor:df_node_similarity,2,,7,4.333333333333333,46.70734985669454,3.0,0,2319,13,6,2331,0.0,0.9974193548387097,0.0,0.9948519948519948,0
jordan:leiden,2,,30,12.0,0.4889303843180339,2.0,0,2319,36,6,2331,0.0,0.9974193548387097,0.0,0.9948519948519948,0
jordan:df_node_similarity,2,,7,4.333333333333333,9.502704540888468,2.3333333333333335,0,2319,13,6,2331,0.0,0.9974193548387097,0.0,0.9948519948519948,0
netsleuth-cm:leiden,2,,30,12.0,0.32254258791605633,3.3333333333333335,0,2319,36,6,2331,0.0,0.9974193548387097,0.0,0.9948519948519948,0
netsleuth-cm:df_node_similarity,2,,7,4.333333333333333,9.564950704574585,3.3333333333333335,0,2319,13,6,2331,0.0,0.9974193548387097,0.0,0.9948519948519948,0
ensemble:leiden,2,,27,11.0,4.5860161781311035,2.0,0,2319,33,6,2331,0.0,0.9974193548387097,0.0,0.9948519948519948,0
ensemble-centralities:leiden,2,,31,12.333333333333334,1.6103519598642986,1.3333333333333333,2,2321,35,4,2331,0.3333333333333333,0.9982795698924731,0.05405405405405406,0.9965679965679966,0.09302325581395349
ensemble-centralities:df_node_similarity,2,,7,4.333333333333333,22.570279200871784,3.0,0,2319,13,6,2331,0.0,0.9974193548387097,0.0,0.9948519948519948,0
ensemble:df_node_similarity,2,,1,3.0,40.241368770599365,3.0,0,758,3,2,762,0.0,0.9973684210526316,0.0,0.994750656167979,0
centrality-cm:betweenness:leiden,10,,6,12.0,1.0206660429636638,7.666666666666667,10,2428,26,20,2478,0.3333333333333333,0.9918300653594772,0.2777777777777778,0.9838579499596449,0.303030303030303
centrality-cm:betweenness:df_node_similarity,10,,18,4.0,19.172844966252644,0.0,0,2418,12,30,2478,0.0,0.9877450980392157,0.0,0.9757869249394673,0
rumor:leiden,10,,6,12.0,3.5222511291503906,7.666666666666667,10,2428,26,20,2478,0.3333333333333333,0.9918300653594772,0.2777777777777778,0.9838579499596449,0.303030303030303
jordan:leiden,10,,6,12.0,0.4452877839406331,8.666666666666666,7,2425,29,23,2478,0.23333333333333334,0.9906045751633987,0.19444444444444445,0.9814366424535916,0.21212121212121213
