type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,3,2,0.0,27.0,11.0,1.1250287691752117,0.3333333333333333,11.0,27.0,5,2238,28,1,2245,0.8333333333333334,0.9995533720410897,0.15151515151515152,0.9991091314031181,0.25641025641025644
centrality-cm:betweenness:df_node_similarity,3,2,0.0,2.0,2.6666666666666665,15.84146269162496,2.0,2.6666666666666665,5.0,3,2236,5,3,2245,0.5,0.9986601161232693,0.375,0.9973273942093541,0.42857142857142855
rumor:leiden,3,2,0.0,27.0,11.0,2.7973928451538086,1.0,11.0,27.0,3,2236,30,3,2245,0.5,0.9986601161232693,0.09090909090909091,0.9973273942093541,0.15384615384615385
rumor:df_node_similarity,3,2,0.0,2.0,2.6666666666666665,33.14371784528097,2.0,2.6666666666666665,5.0,2,2235,6,4,2245,0.3333333333333333,0.9982134881643591,0.25,0.9964365256124722,0.28571428571428575
jordan:leiden,3,2,0.0,27.0,11.0,0.6278538703918457,1.3333333333333333,11.0,27.0,2,2235,31,4,2245,0.3333333333333333,0.9982134881643591,0.06060606060606061,0.9964365256124722,0.10256410256410256
jordan:df_node_similarity,3,2,0.0,2.0,2.6666666666666665,11.337249914805094,2.0,2.6666666666666665,5.0,3,2236,5,3,2245,0.5,0.9986601161232693,0.375,0.9973273942093541,0.42857142857142855
netsleuth-cm:leiden,3,2,0.0,27.0,11.0,0.5020777384440104,2.6666666666666665,11.0,27.0,1,2234,32,5,2245,0.16666666666666666,0.9977668602054489,0.030303030303030304,0.9955456570155902,0.05128205128205128
netsleuth-cm:df_node_similarity,3,2,0.0,2.0,2.6666666666666665,11.905439933141073,3.6666666666666665,2.6666666666666665,5.0,0,2233,8,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
ensemble:leiden,3,2,0.0,27.0,11.0,3.2185670534769693,0.6666666666666666,11.0,27.0,4,2237,29,2,2245,0.6666666666666666,0.9991067440821796,0.12121212121212122,0.998218262806236,0.20512820512820512
ensemble-centralities:leiden,3,2,0.0,27.0,11.0,1.2542762756347656,0.3333333333333333,11.0,27.0,5,2238,28,1,2245,0.8333333333333334,0.9995533720410897,0.15151515151515152,0.9991091314031181,0.25641025641025644
ensemble-centralities:df_node_similarity,3,2,0.0,2.0,2.6666666666666665,34.60946933428446,2.0,2.6666666666666665,5.0,3,2236,5,3,2245,0.5,0.9986601161232693,0.375,0.9973273942093541,0.42857142857142855
ensemble:df_node_similarity,2,2,0.0,1.0,2.5,57.82119631767273,2.0,2.5,3.0,2,1506,3,2,1512,0.5,0.9986737400530504,0.4,0.9973544973544973,0.4444444444444445
centrality-cm:betweenness:leiden,3,2,0.1,25.0,10.333333333333334,1.0443328221638997,0.0,12.0,25.0,6,2239,30,0,2245,1.0,1.0,0.16666666666666666,1.0,0.2857142857142857
centrality-cm:betweenness:df_node_similarity,3,2,0.1,2.0,2.6666666666666665,15.694053252538046,1.3333333333333333,3.3333333333333335,5.0,4,2237,6,2,2245,0.6666666666666666,0.9991067440821796,0.4,0.998218262806236,0.5
rumor:leiden,3,2,0.1,25.0,10.333333333333334,2.696770985921224,1.3333333333333333,11.333333333333334,25.0,2,2235,32,4,2245,0.3333333333333333,0.9982134881643591,0.058823529411764705,0.9964365256124722,0.1
rumor:df_node_similarity,3,2,0.1,2.0,2.6666666666666665,33.36473306020101,2.0,3.0,5.0,2,2235,7,4,2245,0.3333333333333333,0.9982134881643591,0.2222222222222222,0.9964365256124722,0.26666666666666666
jordan:leiden,3,2,0.1,25.0,10.333333333333334,0.533083995183309,0.6666666666666666,18.333333333333332,25.0,4,2237,51,2,2245,0.6666666666666666,0.9991067440821796,0.07272727272727272,0.998218262806236,0.13114754098360654
jordan:df_node_similarity,3,2,0.1,2.0,2.6666666666666665,11.510634422302246,0.6666666666666666,6.333333333333333,5.0,4,2237,15,2,2245,0.6666666666666666,0.9991067440821796,0.21052631578947367,0.998218262806236,0.32
netsleuth-cm:leiden,3,2,0.1,25.0,10.333333333333334,0.3997366428375244,2.0,14.333333333333334,25.0,0,2233,43,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
netsleuth-cm:df_node_similarity,3,2,0.1,2.0,2.6666666666666665,11.574024756749472,3.6666666666666665,3.3333333333333335,5.0,0,2233,10,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
ensemble:leiden,3,2,0.1,25.0,10.333333333333334,3.0873525937398276,1.6666666666666667,14.333333333333334,25.0,1,2234,42,5,2245,0.16666666666666666,0.9977668602054489,0.023255813953488372,0.9955456570155902,0.04081632653061224
ensemble-centralities:leiden,3,2,0.1,25.0,10.333333333333334,1.0698655446370442,0.0,12.0,25.0,6,2239,30,0,2245,1.0,1.0,0.16666666666666666,1.0,0.2857142857142857
ensemble-centralities:df_node_similarity,3,2,0.1,2.0,2.6666666666666665,34.477755626042686,1.3333333333333333,3.0,5.0,4,2237,5,2,2245,0.6666666666666666,0.9991067440821796,0.4444444444444444,0.998218262806236,0.5333333333333333
ensemble:df_node_similarity,2,2,0.1,1.0,2.5,57.60041320323944,2.0,4.0,3.0,2,1506,6,2,1512,0.5,0.9986737400530504,0.25,0.9973544973544973,0.3333333333333333
centrality-cm:betweenness:leiden,3,2,0.2,26.0,10.666666666666666,1.0495391686757405,0.0,13.666666666666666,26.0,6,2239,35,0,2245,1.0,1.0,0.14634146341463414,1.0,0.2553191489361702
centrality-cm:betweenness:df_node_similarity,3,2,0.2,2.0,2.6666666666666665,15.764160394668579,1.3333333333333333,4.666666666666667,5.0,4,2237,10,2,2245,0.6666666666666666,0.9991067440821796,0.2857142857142857,0.998218262806236,0.4
rumor:leiden,3,2,0.2,26.0,10.666666666666666,2.713922103246053,0.6666666666666666,12.333333333333334,26.0,4,2237,33,2,2245,0.6666666666666666,0.9991067440821796,0.10810810810810811,0.998218262806236,0.18604651162790697
rumor:df_node_similarity,3,2,0.2,2.0,2.6666666666666665,33.81493544578552,2.0,3.3333333333333335,5.0,2,2235,8,4,2245,0.3333333333333333,0.9982134881643591,0.2,0.9964365256124722,0.25
jordan:leiden,3,2,0.2,26.0,10.666666666666666,0.6280019283294678,0.0,38.0,26.0,6,2239,108,0,2245,1.0,1.0,0.05263157894736842,1.0,0.1
jordan:df_node_similarity,3,2,0.2,2.0,2.6666666666666665,11.422452290852865,0.0,10.666666666666666,5.0,6,2239,26,0,2245,1.0,1.0,0.1875,1.0,0.3157894736842105
netsleuth-cm:leiden,3,2,0.2,26.0,10.666666666666666,0.6565392017364502,2.0,20.0,26.0,0,2233,60,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
netsleuth-cm:df_node_similarity,3,2,0.2,2.0,2.6666666666666665,11.68381675084432,3.6666666666666665,4.333333333333333,5.0,0,2233,13,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
ensemble:leiden,3,2,0.2,26.0,10.666666666666666,3.2590696811676025,0.6666666666666666,18.0,26.0,4,2237,50,2,2245,0.6666666666666666,0.9991067440821796,0.07407407407407407,0.998218262806236,0.13333333333333333
ensemble-centralities:leiden,3,2,0.2,26.0,10.666666666666666,1.3185326258341472,0.0,16.0,26.0,6,2239,42,0,2245,1.0,1.0,0.125,1.0,0.2222222222222222
ensemble-centralities:df_node_similarity,3,2,0.2,2.0,2.6666666666666665,34.595151583353676,0.6666666666666666,5.333333333333333,5.0,5,2238,11,1,2245,0.8333333333333334,0.9995533720410897,0.3125,0.9991091314031181,0.45454545454545453
ensemble:df_node_similarity,2,2,0.2,1.0,2.5,58.17724144458771,2.0,4.0,3.0,2,1506,6,2,1512,0.5,0.9986737400530504,0.25,0.9973544973544973,0.3333333333333333
centrality-cm:betweenness:leiden,3,2,0.3,28.0,11.333333333333334,0.954233725865682,0.0,17.333333333333332,28.0,6,2239,46,0,2245,1.0,1.0,0.11538461538461539,1.0,0.20689655172413793
centrality-cm:betweenness:df_node_similarity,3,2,0.3,2.0,2.6666666666666665,15.76753799120585,0.0,6.0,5.0,6,2239,12,0,2245,1.0,1.0,0.3333333333333333,1.0,0.5
rumor:leiden,3,2,0.3,28.0,11.333333333333334,2.3811115423838296,0.6666666666666666,15.333333333333334,28.0,4,2237,42,2,2245,0.6666666666666666,0.9991067440821796,0.08695652173913043,0.998218262806236,0.15384615384615383
rumor:df_node_similarity,3,2,0.3,2.0,2.6666666666666665,33.79797569910685,2.0,3.3333333333333335,5.0,2,2235,8,4,2245,0.3333333333333333,0.9982134881643591,0.2,0.9964365256124722,0.25
jordan:leiden,3,2,0.3,28.0,11.333333333333334,0.49307958285013836,0.3333333333333333,86.0,28.0,5,2238,253,1,2245,0.8333333333333334,0.9995533720410897,0.01937984496124031,0.9991091314031181,0.03787878787878788
jordan:df_node_similarity,3,2,0.3,2.0,2.6666666666666665,11.425716876983643,0.0,11.0,5.0,6,2239,27,0,2245,1.0,1.0,0.18181818181818182,1.0,0.3076923076923077
netsleuth-cm:leiden,3,2,0.3,28.0,11.333333333333334,0.33335598309834796,2.0,26.333333333333332,28.0,0,2233,79,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
netsleuth-cm:df_node_similarity,3,2,0.3,2.0,2.6666666666666665,11.688127358754477,3.6666666666666665,6.0,5.0,0,2233,18,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
ensemble:leiden,3,2,0.3,28.0,11.333333333333334,2.900451978047689,0.6666666666666666,34.333333333333336,28.0,4,2237,99,2,2245,0.6666666666666666,0.9991067440821796,0.038834951456310676,0.998218262806236,0.07339449541284404
ensemble-centralities:leiden,3,2,0.3,28.0,11.333333333333334,1.032437801361084,0.0,18.333333333333332,28.0,6,2239,49,0,2245,1.0,1.0,0.10909090909090909,1.0,0.19672131147540983
ensemble-centralities:df_node_similarity,3,2,0.3,2.0,2.6666666666666665,34.49593965212504,0.0,7.333333333333333,5.0,6,2239,16,0,2245,1.0,1.0,0.2727272727272727,1.0,0.42857142857142855
ensemble:df_node_similarity,2,2,0.3,1.0,2.5,57.710386753082275,2.0,4.5,3.0,2,1506,7,2,1512,0.5,0.9986737400530504,0.2222222222222222,0.9973544973544973,0.30769230769230765
centrality-cm:betweenness:leiden,3,2,0.4,27.0,11.0,1.0987011591593425,0.0,23.0,27.0,6,2239,63,0,2245,1.0,1.0,0.08695652173913043,1.0,0.16
centrality-cm:betweenness:df_node_similarity,3,2,0.4,2.0,2.6666666666666665,15.955170154571533,0.0,9.0,5.0,6,2239,21,0,2245,1.0,1.0,0.2222222222222222,1.0,0.3636363636363636
