type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,3,2,0.0,4.0,3.3333333333333335,0.0026733875274658203,1.6666666666666667,3.3333333333333335,4.0,2,52,8,4,62,0.3333333333333333,0.9285714285714286,0.2,0.8709677419354839,0.25
centrality-cm:betweenness:df_node_similarity,3,2,0.0,3.0,3.0,0.009156465530395508,2.0,3.0,3.0,1,51,8,5,62,0.16666666666666666,0.9107142857142857,0.1111111111111111,0.8387096774193549,0.13333333333333333
rumor:leiden,3,2,0.0,4.0,3.3333333333333335,0.004043738047281901,2.0,3.3333333333333335,4.0,1,51,9,5,62,0.16666666666666666,0.9107142857142857,0.1,0.8387096774193549,0.125
rumor:df_node_similarity,3,2,0.0,3.0,3.0,0.01116792360941569,2.3333333333333335,3.0,3.0,0,50,9,6,62,0.0,0.8928571428571429,0.0,0.8064516129032258,0
jordan:leiden,3,2,0.0,4.0,3.3333333333333335,0.0025409857432047525,2.0,3.3333333333333335,4.0,1,51,9,5,62,0.16666666666666666,0.9107142857142857,0.1,0.8387096774193549,0.125
jordan:df_node_similarity,3,2,0.0,3.0,3.0,0.009430249532063803,2.0,3.0,3.0,1,51,8,5,62,0.16666666666666666,0.9107142857142857,0.1111111111111111,0.8387096774193549,0.13333333333333333
netsleuth-cm:leiden,3,2,0.0,4.0,3.3333333333333335,0.003975391387939453,2.6666666666666665,3.3333333333333335,4.0,0,50,10,6,62,0.0,0.8928571428571429,0.0,0.8064516129032258,0
netsleuth-cm:df_node_similarity,3,2,0.0,3.0,3.0,0.01040323575337728,2.6666666666666665,3.0,3.0,1,51,8,5,62,0.16666666666666666,0.9107142857142857,0.1111111111111111,0.8387096774193549,0.13333333333333333
ensemble:leiden,3,2,0.0,4.0,3.3333333333333335,0.011694828669230143,2.6666666666666665,3.3333333333333335,4.0,0,50,10,6,62,0.0,0.8928571428571429,0.0,0.8064516129032258,0
ensemble:df_node_similarity,3,2,0.0,3.0,3.0,0.037993669509887695,2.3333333333333335,3.0,3.0,1,51,8,5,62,0.16666666666666666,0.9107142857142857,0.1111111111111111,0.8387096774193549,0.13333333333333333
ensemble-centralities:leiden,3,2,0.0,4.0,3.3333333333333335,0.004949410756429036,1.6666666666666667,3.3333333333333335,4.0,2,52,8,4,62,0.3333333333333333,0.9285714285714286,0.2,0.8709677419354839,0.25
ensemble-centralities:df_node_similarity,3,2,0.0,3.0,3.0,0.02429358164469401,2.0,3.0,3.0,1,51,8,5,62,0.16666666666666666,0.9107142857142857,0.1111111111111111,0.8387096774193549,0.13333333333333333
centrality-cm:betweenness:leiden,3,4,0.0,1.0,4.333333333333333,0.003203312555948893,3.3333333333333335,4.333333333333333,6.0,5,63,8,7,82,0.4166666666666667,0.9,0.38461538461538464,0.8292682926829268,0.4
centrality-cm:betweenness:df_node_similarity,3,4,0.0,2.0,3.3333333333333335,0.009642918904622396,1.3333333333333333,3.3333333333333335,2.0,2,60,8,10,82,0.16666666666666666,0.8571428571428571,0.2,0.7560975609756098,0.1818181818181818
rumor:leiden,3,4,0.0,0.0,4.0,0.006308158238728841,3.6666666666666665,4.0,4.0,4,62,8,8,82,0.3333333333333333,0.8857142857142857,0.3333333333333333,0.8048780487804879,0.3333333333333333
rumor:df_node_similarity,3,4,0.0,2.0,3.3333333333333335,0.013583739598592123,1.3333333333333333,3.3333333333333335,2.0,1,59,9,11,82,0.08333333333333333,0.8428571428571429,0.1,0.7317073170731707,0.0909090909090909
jordan:leiden,3,4,0.0,0.0,4.0,0.0032771428426106772,4.666666666666667,4.0,4.0,1,59,11,11,82,0.08333333333333333,0.8428571428571429,0.08333333333333333,0.7317073170731707,0.08333333333333333
jordan:df_node_similarity,3,4,0.0,2.0,3.3333333333333335,0.008732239405314127,1.3333333333333333,3.3333333333333335,2.0,0,58,10,12,82,0.0,0.8285714285714286,0.0,0.7073170731707317,0
netsleuth-cm:leiden,3,4,0.0,0.0,4.0,0.005133867263793945,5.666666666666667,4.0,4.0,1,59,11,11,82,0.08333333333333333,0.8428571428571429,0.08333333333333333,0.7317073170731707,0.08333333333333333
netsleuth-cm:df_node_similarity,3,4,0.0,2.0,3.3333333333333335,0.01013787587483724,1.3333333333333333,3.3333333333333335,2.0,2,60,8,10,82,0.16666666666666666,0.8571428571428571,0.2,0.7560975609756098,0.1818181818181818
ensemble:leiden,3,4,0.0,0.0,4.0,0.015799442927042644,5.333333333333333,4.0,4.0,1,59,11,11,82,0.08333333333333333,0.8428571428571429,0.08333333333333333,0.7317073170731707,0.08333333333333333
ensemble:df_node_similarity,3,4,0.0,2.0,3.3333333333333335,0.039479970932006836,1.6666666666666667,3.3333333333333335,2.0,0,58,10,12,82,0.0,0.8285714285714286,0.0,0.7073170731707317,0
ensemble-centralities:leiden,3,4,0.0,0.0,4.0,0.00689848264058431,3.6666666666666665,4.0,4.0,4,62,8,8,82,0.3333333333333333,0.8857142857142857,0.3333333333333333,0.8048780487804879,0.3333333333333333
ensemble-centralities:df_node_similarity,3,4,0.0,2.0,3.3333333333333335,0.024121205012003582,1.3333333333333333,3.3333333333333335,2.0,2,60,8,10,82,0.16666666666666666,0.8571428571428571,0.2,0.7560975609756098,0.1818181818181818
centrality-cm:betweenness:leiden,3,7,0.0,8.0,4.333333333333333,0.004997094472249349,0.0,4.333333333333333,5.0,3,68,10,18,107,0.14285714285714285,0.7906976744186046,0.23076923076923078,0.6635514018691588,0.17647058823529413
centrality-cm:betweenness:df_node_similarity,3,7,0.0,11.0,3.3333333333333335,0.018215099970499676,0.0,3.3333333333333335,2.0,3,68,7,18,107,0.14285714285714285,0.7906976744186046,0.3,0.6635514018691588,0.19354838709677416
rumor:leiden,3,7,0.0,8.0,4.333333333333333,0.009155750274658203,0.0,4.333333333333333,5.0,3,68,10,18,107,0.14285714285714285,0.7906976744186046,0.23076923076923078,0.6635514018691588,0.17647058823529413
rumor:df_node_similarity,3,7,0.0,11.0,3.3333333333333335,0.023794253667195637,0.0,3.3333333333333335,2.0,1,66,9,20,107,0.047619047619047616,0.7674418604651163,0.1,0.6261682242990654,0.06451612903225806
jordan:leiden,3,7,0.0,8.0,4.333333333333333,0.004130204518636067,0.0,4.333333333333333,5.0,2,67,11,19,107,0.09523809523809523,0.7790697674418605,0.15384615384615385,0.6448598130841121,0.11764705882352941
jordan:df_node_similarity,3,7,0.0,11.0,3.3333333333333335,0.016698042551676433,0.0,3.3333333333333335,2.0,3,68,7,18,107,0.14285714285714285,0.7906976744186046,0.3,0.6635514018691588,0.19354838709677416
netsleuth-cm:leiden,3,7,0.0,8.0,4.333333333333333,0.006042957305908203,0.0,4.333333333333333,5.0,1,66,12,20,107,0.047619047619047616,0.7674418604651163,0.07692307692307693,0.6261682242990654,0.058823529411764705
netsleuth-cm:df_node_similarity,3,7,0.0,11.0,3.3333333333333335,0.017824331919352215,0.0,3.3333333333333335,2.0,2,67,8,19,107,0.09523809523809523,0.7790697674418605,0.2,0.6448598130841121,0.12903225806451613
ensemble:leiden,3,7,0.0,8.0,4.333333333333333,0.019906282424926758,0.0,4.333333333333333,5.0,3,68,10,18,107,0.14285714285714285,0.7906976744186046,0.23076923076923078,0.6635514018691588,0.17647058823529413
ensemble:df_node_similarity,3,7,0.0,11.0,3.3333333333333335,0.07248497009277344,0.0,3.3333333333333335,2.0,1,66,9,20,107,0.047619047619047616,0.7674418604651163,0.1,0.6261682242990654,0.06451612903225806
ensemble-centralities:leiden,3,7,0.0,8.0,4.333333333333333,0.009552319844563803,0.0,4.333333333333333,5.0,3,68,10,18,107,0.14285714285714285,0.7906976744186046,0.23076923076923078,0.6635514018691588,0.17647058823529413
ensemble-centralities:df_node_similarity,3,7,0.0,11.0,3.3333333333333335,0.0487829844156901,0.0,3.3333333333333335,2.0,3,68,7,18,107,0.14285714285714285,0.7906976744186046,0.3,0.6635514018691588,0.19354838709677416
centrality-cm:betweenness:leiden,3,2,0.1,4.0,3.3333333333333335,0.0024225711822509766,1.6666666666666667,4.333333333333333,4.0,2,52,11,4,62,0.3333333333333333,0.9285714285714286,0.15384615384615385,0.8709677419354839,0.21052631578947367
centrality-cm:betweenness:df_node_similarity,3,2,0.1,3.0,3.0,0.009394486745198568,2.0,4.0,3.0,1,51,11,5,62,0.16666666666666666,0.9107142857142857,0.08333333333333333,0.8387096774193549,0.1111111111111111
rumor:leiden,3,2,0.1,4.0,3.3333333333333335,0.004224459330240886,1.6666666666666667,4.666666666666667,4.0,2,52,12,4,62,0.3333333333333333,0.9285714285714286,0.14285714285714285,0.8709677419354839,0.2
rumor:df_node_similarity,3,2,0.1,3.0,3.0,0.010935703913370768,2.0,5.0,3.0,1,51,14,5,62,0.16666666666666666,0.9107142857142857,0.06666666666666667,0.8387096774193549,0.09523809523809522
jordan:leiden,3,2,0.1,4.0,3.3333333333333335,0.002584695816040039,1.6666666666666667,5.0,4.0,1,51,14,5,62,0.16666666666666666,0.9107142857142857,0.06666666666666667,0.8387096774193549,0.09523809523809522
jordan:df_node_similarity,3,2,0.1,3.0,3.0,0.009131590525309244,1.6666666666666667,5.0,3.0,1,51,14,5,62,0.16666666666666666,0.9107142857142857,0.06666666666666667,0.8387096774193549,0.09523809523809522
netsleuth-cm:leiden,3,2,0.1,4.0,3.3333333333333335,0.003789504369099935,2.6666666666666665,3.3333333333333335,4.0,0,50,10,6,62,0.0,0.8928571428571429,0.0,0.8064516129032258,0
netsleuth-cm:df_node_similarity,3,2,0.1,3.0,3.0,0.010135968526204428,2.6666666666666665,3.0,3.0,1,51,8,5,62,0.16666666666666666,0.9107142857142857,0.1111111111111111,0.8387096774193549,0.13333333333333333
