type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,3,2,0.0,4.0,3.3333333333333335,0.007054646809895833,1.6666666666666667,3.3333333333333335,4.0,2,52,8,4,62,0.3333333333333333,0.9285714285714286,0.2,0.8709677419354839,0.25
centrality-cm:betweenness:df_node_similarity,3,2,0.0,3.0,3.0,0.01790022850036621,2.0,3.0,3.0,1,51,8,5,62,0.16666666666666666,0.9107142857142857,0.1111111111111111,0.8387096774193549,0.13333333333333333
rumor:leiden,3,2,0.0,4.0,3.3333333333333335,0.010328531265258789,1.6666666666666667,3.3333333333333335,4.0,2,52,8,4,62,0.3333333333333333,0.9285714285714286,0.2,0.8709677419354839,0.25
rumor:df_node_similarity,3,2,0.0,3.0,3.0,0.01781153678894043,2.3333333333333335,3.0,3.0,0,50,9,6,62,0.0,0.8928571428571429,0.0,0.8064516129032258,0
jordan:leiden,3,2,0.0,4.0,3.3333333333333335,0.005774180094401042,2.0,3.3333333333333335,4.0,1,51,9,5,62,0.16666666666666666,0.9107142857142857,0.1,0.8387096774193549,0.125
jordan:df_node_similarity,3,2,0.0,3.0,3.0,0.018957058588663738,2.0,3.0,3.0,1,51,8,5,62,0.16666666666666666,0.9107142857142857,0.1111111111111111,0.8387096774193549,0.13333333333333333
netsleuth-cm:leiden,3,2,0.0,4.0,3.3333333333333335,0.010776837666829428,2.6666666666666665,3.3333333333333335,4.0,0,50,10,6,62,0.0,0.8928571428571429,0.0,0.8064516129032258,0
netsleuth-cm:df_node_similarity,3,2,0.0,3.0,3.0,0.020372470219930012,2.6666666666666665,3.0,3.0,1,51,8,5,62,0.16666666666666666,0.9107142857142857,0.1111111111111111,0.8387096774193549,0.13333333333333333
ensemble:leiden,3,2,0.0,4.0,3.3333333333333335,0.0189818541208903,2.6666666666666665,3.3333333333333335,4.0,0,50,10,6,62,0.0,0.8928571428571429,0.0,0.8064516129032258,0
ensemble:df_node_similarity,3,2,0.0,3.0,3.0,0.04557665189107259,2.3333333333333335,3.0,3.0,1,51,8,5,62,0.16666666666666666,0.9107142857142857,0.1111111111111111,0.8387096774193549,0.13333333333333333
