type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,3,5,0.0,34.0,16.333333333333332,67.10262290636699,1.0,16.333333333333332,37.0,12,11038,37,3,11056,0.8,0.9997282854813876,0.24489795918367346,0.9994573082489147,0.375
rumor:leiden,3,5,0.0,34.0,16.333333333333332,118.90072584152222,1.0,16.333333333333332,37.0,12,11038,37,3,11056,0.8,0.9997282854813876,0.24489795918367346,0.9994573082489147,0.375
jordan:leiden,3,5,0.0,33.0,16.0,22.897295077641804,5.0,16.0,36.0,0,11026,48,15,11056,0.0,0.9986414274069377,0.0,0.997286541244573,0
jordan:df_node_similarity,3,5,0.0,1.0,5.333333333333333,75.5713500181834,6.666666666666667,5.333333333333333,6.0,2,11028,14,13,11056,0.13333333333333333,0.9988225704193461,0.125,0.9976483357452967,0.12903225806451615
netsleuth-cm:leiden,3,5,0.0,33.0,16.0,18.97527805964152,5.333333333333333,16.0,36.0,0,11026,48,15,11056,0.0,0.9986414274069377,0.0,0.997286541244573,0
netsleuth-cm:df_node_similarity,3,5,0.0,1.0,5.333333333333333,88.31315151850383,6.666666666666667,5.333333333333333,6.0,0,11026,16,15,11056,0.0,0.9986414274069377,0.0,0.997286541244573,0
ensemble:leiden,3,5,0.0,33.0,16.0,138.5015460650126,5.0,16.0,36.0,0,11026,48,15,11056,0.0,0.9986414274069377,0.0,0.997286541244573,0
ensemble-centralities:leiden,3,5,0.0,33.0,16.0,77.3448456923167,1.0,16.0,36.0,12,11038,36,3,11056,0.8,0.9997282854813876,0.25,0.9994573082489147,0.38095238095238093
centrality-cm:betweenness:leiden,3,5,0.1,34.0,16.333333333333332,78.50068346659343,1.0,23.666666666666668,37.0,12,11038,59,3,11056,0.8,0.9997282854813876,0.16901408450704225,0.9994573082489147,0.27906976744186046
rumor:leiden,3,5,0.1,33.0,16.0,123.21429149309795,1.3333333333333333,18.0,36.0,12,11038,42,3,11056,0.8,0.9997282854813876,0.2222222222222222,0.9994573082489147,0.3478260869565218
jordan:leiden,3,5,0.1,34.0,16.333333333333332,39.44831124941508,4.0,1698.6666666666667,37.0,3,11029,5093,12,11056,0.2,0.9989131419255503,0.0005886970172684458,0.9978292329956585,0.0011739385638818234
jordan:df_node_similarity,3,5,0.1,1.0,5.333333333333333,94.27918251355489,5.333333333333333,1070.6666666666667,6.0,2,11028,3210,13,11056,0.13333333333333333,0.9988225704193461,0.0006226650062266501,0.9976483357452967,0.0012395413696932136
netsleuth-cm:leiden,3,5,0.1,33.0,16.0,26.46369417508443,6.0,17.333333333333332,36.0,0,11026,52,15,11056,0.0,0.9986414274069377,0.0,0.997286541244573,0
netsleuth-cm:df_node_similarity,3,5,0.1,1.0,5.333333333333333,101.68162973721822,6.666666666666667,6.666666666666667,6.0,0,11026,20,15,11056,0.0,0.9986414274069377,0.0,0.997286541244573,0
ensemble:leiden,3,5,0.1,34.0,16.333333333333332,149.31746689478555,5.0,24.333333333333332,37.0,0,11026,73,15,11056,0.0,0.9986414274069377,0.0,0.997286541244573,0
ensemble-centralities:leiden,3,5,0.1,34.0,16.333333333333332,83.15834760665894,1.0,31.333333333333332,37.0,12,11038,82,3,11056,0.8,0.9997282854813876,0.1276595744680851,0.9994573082489147,0.2201834862385321
centrality-cm:betweenness:leiden,3,5,0.2,33.0,16.0,78.62570977210999,1.0,30.0,36.0,12,11038,78,3,11056,0.8,0.9997282854813876,0.13333333333333333,0.9994573082489147,0.2285714285714286
rumor:leiden,3,5,0.2,33.0,16.0,123.6952531337738,1.3333333333333333,20.0,36.0,12,11038,48,3,11056,0.8,0.9997282854813876,0.2,0.9994573082489147,0.32000000000000006
jordan:leiden,3,5,0.2,33.0,16.0,46.278944969177246,4.0,2469.3333333333335,36.0,3,11029,7405,12,11056,0.2,0.9989131419255503,0.00040496760259179265,0.9978292329956585,0.000808298531591001
jordan:df_node_similarity,3,5,0.2,1.0,5.333333333333333,105.57164128621419,4.666666666666667,1586.3333333333333,6.0,2,11028,4757,13,11056,0.13333333333333333,0.9988225704193461,0.0004202563563773902,0.9976483357452967,0.0008378718056137412
netsleuth-cm:leiden,3,5,0.2,33.0,16.0,25.060980399449665,5.666666666666667,19.666666666666668,36.0,0,11026,59,15,11056,0.0,0.9986414274069377,0.0,0.997286541244573,0
netsleuth-cm:df_node_similarity,3,5,0.2,1.0,5.333333333333333,104.54263687133789,6.666666666666667,7.0,6.0,0,11026,21,15,11056,0.0,0.9986414274069377,0.0,0.997286541244573,0
ensemble:leiden,3,5,0.2,33.0,16.0,150.76433277130127,5.333333333333333,44.0,36.0,0,11026,132,15,11056,0.0,0.9986414274069377,0.0,0.997286541244573,0
ensemble-centralities:leiden,3,5,0.2,32.0,15.666666666666666,88.74240366617839,1.3333333333333333,37.333333333333336,35.0,12,11038,100,3,11056,0.8,0.9997282854813876,0.10714285714285714,0.9994573082489147,0.1889763779527559
centrality-cm:betweenness:leiden,3,5,0.3,33.0,16.0,89.64438478151958,1.0,34.666666666666664,36.0,12,11038,92,3,11056,0.8,0.9997282854813876,0.11538461538461539,0.9994573082489147,0.20168067226890757
rumor:leiden,3,5,0.3,31.0,15.333333333333334,136.5883321762085,1.3333333333333333,17.333333333333332,34.0,12,11038,40,3,11056,0.8,0.9997282854813876,0.23076923076923078,0.9994573082489147,0.3582089552238806
jordan:leiden,3,5,0.3,32.0,15.666666666666666,56.87623961766561,4.0,2745.3333333333335,35.0,3,11029,8233,12,11056,0.2,0.9989131419255503,0.0003642544924720738,0.9978292329956585,0.0007271845836868258
jordan:df_node_similarity,3,5,0.3,1.0,5.333333333333333,116.54002070426941,4.666666666666667,1796.6666666666667,6.0,2,11028,5388,13,11056,0.13333333333333333,0.9988225704193461,0.00037105751391465676,0.9976483357452967,0.0007400555041628121
netsleuth-cm:leiden,3,5,0.3,31.0,15.333333333333334,34.15325880050659,5.333333333333333,26.333333333333332,34.0,0,11026,79,15,11056,0.0,0.9986414274069377,0.0,0.997286541244573,0
netsleuth-cm:df_node_similarity,3,5,0.3,1.0,5.333333333333333,112.10282063484192,6.666666666666667,7.333333333333333,6.0,0,11026,22,15,11056,0.0,0.9986414274069377,0.0,0.997286541244573,0
ensemble:leiden,2,5,0.3,21.0,15.5,139.70376443862915,5.0,64.0,23.0,0,7365,128,10,7385,0.0,0.9986440677966102,0.0,0.997291807718348,0
ensemble-centralities:leiden,3,5,0.3,31.0,15.333333333333334,97.40833926200867,1.0,57.666666666666664,34.0,12,11038,161,3,11056,0.8,0.9997282854813876,0.06936416184971098,0.9994573082489147,0.1276595744680851
centrality-cm:betweenness:leiden,3,5,0.4,34.0,16.333333333333332,75.56777723630269,1.0,43.333333333333336,37.0,12,11038,118,3,11056,0.8,0.9997282854813876,0.09230769230769231,0.9994573082489147,0.16551724137931034
rumor:leiden,3,5,0.4,35.0,16.666666666666668,126.64310709635417,1.0,25.333333333333332,38.0,12,11038,64,3,11056,0.8,0.9997282854813876,0.15789473684210525,0.9994573082489147,0.26373626373626374
jordan:leiden,3,5,0.4,34.0,16.333333333333332,49.72260022163391,4.0,2970.0,37.0,3,11029,8907,12,11056,0.2,0.9989131419255503,0.0003367003367003367,0.9978292329956585,0.0006722689075630253
jordan:df_node_similarity,3,5,0.4,1.0,5.333333333333333,108.08397992451985,4.666666666666667,1814.6666666666667,6.0,2,11028,5442,13,11056,0.13333333333333333,0.9988225704193461,0.0003673769287288758,0.9976483357452967,0.0007327349331379373
netsleuth-cm:leiden,3,5,0.4,35.0,16.666666666666668,18.901267766952515,5.333333333333333,33.0,38.0,0,11026,99,15,11056,0.0,0.9986414274069377,0.0,0.997286541244573,0
netsleuth-cm:df_node_similarity,3,5,0.4,1.0,5.333333333333333,103.49553887049358,6.666666666666667,10.0,6.0,0,11026,30,15,11056,0.0,0.9986414274069377,0.0,0.997286541244573,0
ensemble:leiden,3,5,0.4,34.0,16.333333333333332,150.99101185798645,5.0,122.33333333333333,37.0,0,11026,367,15,11056,0.0,0.9986414274069377,0.0,0.997286541244573,0
ensemble-centralities:leiden,3,5,0.4,35.0,16.666666666666668,82.66730213165283,1.0,114.33333333333333,38.0,12,11038,331,3,11056,0.8,0.9997282854813876,0.03498542274052478,0.9994573082489147,0.06703910614525141
centrality-cm:betweenness:leiden,3,5,0.5,35.0,16.666666666666668,70.73238197962444,1.0,70.0,38.0,12,11038,198,3,11056,0.8,0.9997282854813876,0.05714285714285714,0.9994573082489147,0.10666666666666666
rumor:leiden,3,5,0.5,34.0,16.333333333333332,125.38052344322205,1.0,41.666666666666664,37.0,12,11038,113,3,11056,0.8,0.9997282854813876,0.096,0.9994573082489147,0.17142857142857143
jordan:leiden,3,5,0.5,34.0,16.333333333333332,52.88127779960632,4.0,3042.6666666666665,37.0,3,11029,9125,12,11056,0.2,0.9989131419255503,0.00032865907099035934,0.9978292329956585,0.0006562397462539648
jordan:df_node_similarity,3,5,0.5,1.0,5.333333333333333,106.92392714818318,4.666666666666667,1817.3333333333333,6.0,2,11028,5450,13,11056,0.13333333333333333,0.9988225704193461,0.00036683785766691124,0.9976483357452967,0.0007316627034936894
netsleuth-cm:leiden,3,5,0.5,34.0,16.333333333333332,19.620535453160603,5.0,37.666666666666664,37.0,1,11027,112,14,11056,0.06666666666666667,0.9987319989131419,0.008849557522123894,0.9974674384949349,0.015625
netsleuth-cm:df_node_similarity,3,5,0.5,1.0,5.333333333333333,98.54079635938008,6.333333333333333,13.0,6.0,0,11026,39,15,11056,0.0,0.9986414274069377,0.0,0.997286541244573,0
ensemble:leiden,3,5,0.5,34.0,16.333333333333332,148.83638683954874,1.3333333333333333,648.6666666666666,37.0,11,11037,1935,4,11056,0.7333333333333333,0.9996377139751834,0.005652620760534429,0.9992764109985528,0.011218765935747067
ensemble-centralities:leiden,3,5,0.5,34.0,16.333333333333332,81.54533203442891,1.0,193.66666666666666,37.0,12,11038,569,3,11056,0.8,0.9997282854813876,0.020654044750430294,0.9994573082489147,0.04026845637583893
centrality-cm:betweenness:leiden,3,5,0.6,32.0,15.666666666666666,80.61475841204326,1.0,82.66666666666667,35.0,12,11038,236,3,11056,0.8,0.9997282854813876,0.04838709677419355,0.9994573082489147,0.09125475285171103
rumor:leiden,3,5,0.6,32.0,15.666666666666666,121.16530124346416,1.0,36.666666666666664,35.0,12,11038,98,3,11056,0.8,0.9997282854813876,0.10909090909090909,0.9994573082489147,0.192
jordan:leiden,3,5,0.6,32.0,15.666666666666666,52.192469120025635,4.0,3020.6666666666665,35.0,3,11029,9059,12,11056,0.2,0.9989131419255503,0.0003310527477378062,0.9978292329956585,0.0006610113473614629
jordan:df_node_similarity,3,5,0.6,1.0,5.333333333333333,100.77330565452576,4.333333333333333,1817.6666666666667,6.0,3,11029,5450,12,11056,0.2,0.9989131419255503,0.0005501558774986246,0.9978292329956585,0.0010972933430870519
netsleuth-cm:leiden,3,5,0.6,32.0,15.666666666666666,24.291167736053467,5.333333333333333,59.666666666666664,35.0,1,11027,178,14,11056,0.06666666666666667,0.9987319989131419,0.00558659217877095,0.9974674384949349,0.010309278350515464
netsleuth-cm:df_node_similarity,3,5,0.6,1.0,5.333333333333333,93.23840276400249,6.333333333333333,18.0,6.0,0,11026,54,15,11056,0.0,0.9986414274069377,0.0,0.997286541244573,0
ensemble:leiden,3,5,0.6,32.0,15.666666666666666,141.39062110582987,0.0,2673.6666666666665,35.0,15,11041,8006,0,11056,1.0,1.0,0.0018700910110958733,1.0,0.003733200597312096
ensemble-centralities:leiden,3,5,0.6,32.0,15.666666666666666,75.77698874473572,1.0,339.3333333333333,35.0,12,11038,1006,3,11056,0.8,0.9997282854813876,0.011787819253438114,0.9994573082489147,0.023233301064859633
centrality-cm:betweenness:leiden,3,5,0.7,35.0,16.666666666666668,73.34035913149516,1.0,152.33333333333334,38.0,12,11038,445,3,11056,0.8,0.9997282854813876,0.0262582056892779,0.9994573082489147,0.05084745762711864
rumor:leiden,3,5,0.7,34.0,16.333333333333332,122.36520624160767,1.0,57.0,37.0,12,11038,159,3,11056,0.8,0.9997282854813876,0.07017543859649122,0.9994573082489147,0.12903225806451613
jordan:leiden,3,5,0.7,33.0,16.0,52.1706600189209,4.0,3097.3333333333335,36.0,3,11029,9289,12,11056,0.2,0.9989131419255503,0.0003228583727938011,0.9978292329956585,0.0006446760502847318
jordan:df_node_similarity,3,5,0.7,1.0,5.333333333333333,101.6632924079895,4.333333333333333,1817.6666666666667,6.0,3,11029,5450,12,11056,0.2,0.9989131419255503,0.0005501558774986246,0.9978292329956585,0.0010972933430870519
netsleuth-cm:leiden,3,5,0.7,33.0,16.0,23.90566412607829,5.0,62.333333333333336,36.0,0,11026,187,15,11056,0.0,0.9986414274069377,0.0,0.997286541244573,0
netsleuth-cm:df_node_similarity,3,5,0.7,1.0,5.333333333333333,99.10930101076762,6.0,25.0,6.0,0,11026,75,15,11056,0.0,0.9986414274069377,0.0,0.997286541244573,0
ensemble:leiden,3,5,0.7,33.0,16.0,144.35660473505655,0.0,3055.3333333333335,36.0,15,11041,9151,0,11056,1.0,1.0,0.0016364826532838752,1.0,0.0032676179065461277
ensemble-centralities:leiden,3,5,0.7,34.0,16.333333333333332,82.75161504745483,1.0,532.0,37.0,12,11038,1584,3,11056,0.8,0.9997282854813876,0.007518796992481203,0.9994573082489147,0.0148975791433892
