type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,3,2,0.0,16.0,7.333333333333333,0.011293888092041016,2.3333333333333335,7.333333333333333,16.0,0,197,22,6,209,0.0,0.9704433497536946,0.0,0.9425837320574163,0
centrality-cm:betweenness:df_node_similarity,3,2,0.0,12.0,6.0,0.05888676643371582,2.0,6.0,12.0,1,198,17,5,209,0.16666666666666666,0.9753694581280788,0.05555555555555555,0.9521531100478469,0.08333333333333333
rumor:leiden,3,2,0.0,16.0,7.333333333333333,0.018466869990030926,2.3333333333333335,7.333333333333333,16.0,0,197,22,6,209,0.0,0.9704433497536946,0.0,0.9425837320574163,0
rumor:df_node_similarity,3,2,0.0,12.0,6.0,0.0678552786509196,2.0,6.0,12.0,1,198,17,5,209,0.16666666666666666,0.9753694581280788,0.05555555555555555,0.9521531100478469,0.08333333333333333
jordan:leiden,3,2,0.0,16.0,7.333333333333333,0.011483271916707357,2.3333333333333335,7.333333333333333,16.0,0,197,22,6,209,0.0,0.9704433497536946,0.0,0.9425837320574163,0
jordan:df_node_similarity,3,2,0.0,12.0,6.0,0.056620121002197266,2.0,6.0,12.0,1,198,17,5,209,0.16666666666666666,0.9753694581280788,0.05555555555555555,0.9521531100478469,0.08333333333333333
netsleuth-cm:leiden,3,2,0.0,16.0,7.333333333333333,0.010782877604166666,2.6666666666666665,7.333333333333333,16.0,0,197,22,6,209,0.0,0.9704433497536946,0.0,0.9425837320574163,0
netsleuth-cm:df_node_similarity,3,2,0.0,12.0,6.0,0.05608383814493815,1.6666666666666667,6.0,12.0,2,199,16,4,209,0.3333333333333333,0.9802955665024631,0.1111111111111111,0.9617224880382775,0.16666666666666666
ensemble:leiden,3,2,0.0,16.0,7.333333333333333,0.044146060943603516,2.3333333333333335,7.333333333333333,16.0,1,198,21,5,209,0.16666666666666666,0.9753694581280788,0.045454545454545456,0.9521531100478469,0.07142857142857144
ensemble:df_node_similarity,3,2,0.0,12.0,6.0,0.23130583763122559,2.3333333333333335,6.0,12.0,1,198,17,5,209,0.16666666666666666,0.9753694581280788,0.05555555555555555,0.9521531100478469,0.08333333333333333
ensemble-centralities:leiden,3,2,0.0,16.0,7.333333333333333,0.020949363708496094,2.0,7.333333333333333,16.0,0,197,22,6,209,0.0,0.9704433497536946,0.0,0.9425837320574163,0
