type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,3,2,0.0,16.0,7.333333333333333,0.02370897928873698,2.3333333333333335,7.333333333333333,16.0,0,197,22,6,209,0.0,0.9704433497536946,0.0,0.9425837320574163,0
centrality-cm:betweenness:df_node_similarity,3,2,0.0,12.0,6.0,0.0812360445658366,2.0,6.0,12.0,1,198,17,5,209,0.16666666666666666,0.9753694581280788,0.05555555555555555,0.9521531100478469,0.08333333333333333
rumor:leiden,3,2,0.0,16.0,7.333333333333333,0.03076330820719401,1.6666666666666667,7.333333333333333,16.0,1,198,21,5,209,0.16666666666666666,0.9753694581280788,0.045454545454545456,0.9521531100478469,0.07142857142857144
rumor:df_node_similarity,3,2,0.0,12.0,6.0,0.08821797370910645,2.0,6.0,12.0,1,198,17,5,209,0.16666666666666666,0.9753694581280788,0.05555555555555555,0.9521531100478469,0.08333333333333333
jordan:leiden,3,2,0.0,16.0,7.333333333333333,0.019759098688761394,2.3333333333333335,7.333333333333333,16.0,0,197,22,6,209,0.0,0.9704433497536946,0.0,0.9425837320574163,0
jordan:df_node_similarity,3,2,0.0,12.0,6.0,0.08835967381795247,2.0,6.0,12.0,1,198,17,5,209,0.16666666666666666,0.9753694581280788,0.05555555555555555,0.9521531100478469,0.08333333333333333
netsleuth-cm:leiden,3,2,0.0,16.0,7.333333333333333,0.021644751230875652,2.6666666666666665,7.333333333333333,16.0,0,197,22,6,209,0.0,0.9704433497536946,0.0,0.9425837320574163,0
netsleuth-cm:df_node_similarity,3,2,0.0,12.0,6.0,0.07483696937561035,1.6666666666666667,6.0,12.0,2,199,16,4,209,0.3333333333333333,0.9802955665024631,0.1111111111111111,0.9617224880382775,0.16666666666666666
ensemble:leiden,3,2,0.0,16.0,7.333333333333333,0.08162887891133626,2.3333333333333335,7.333333333333333,16.0,1,198,21,5,209,0.16666666666666666,0.9753694581280788,0.045454545454545456,0.9521531100478469,0.07142857142857144
ensemble:df_node_similarity,3,2,0.0,12.0,6.0,0.2672092119852702,2.3333333333333335,6.0,12.0,1,198,17,5,209,0.16666666666666666,0.9753694581280788,0.05555555555555555,0.9521531100478469,0.08333333333333333
ensemble-centralities:leiden,3,2,0.0,16.0,7.333333333333333,0.04146440823872884,2.0,7.333333333333333,16.0,0,197,22,6,209,0.0,0.9704433497536946,0.0,0.9425837320574163,0
ensemble-centralities:df_node_similarity,3,2,0.0,12.0,6.0,0.19059602419535318,2.0,6.0,12.0,1,198,17,5,209,0.16666666666666666,0.9753694581280788,0.05555555555555555,0.9521531100478469,0.08333333333333333
centrality-cm:betweenness:leiden,3,2,0.1,16.0,7.333333333333333,0.026157617568969727,1.6666666666666667,28.333333333333332,16.0,1,198,84,5,209,0.16666666666666666,0.9753694581280788,0.011764705882352941,0.9521531100478469,0.02197802197802198
centrality-cm:betweenness:df_node_similarity,3,2,0.1,12.0,6.0,0.07915965716044109,2.0,11.666666666666666,12.0,1,198,34,5,209,0.16666666666666666,0.9753694581280788,0.02857142857142857,0.9521531100478469,0.048780487804878044
rumor:leiden,3,2,0.1,16.0,7.333333333333333,0.03249629338582357,1.3333333333333333,27.0,16.0,2,199,79,4,209,0.3333333333333333,0.9802955665024631,0.024691358024691357,0.9617224880382775,0.04597701149425287
rumor:df_node_similarity,3,2,0.1,12.0,6.0,0.10319821039835612,1.6666666666666667,12.0,12.0,1,198,35,5,209,0.16666666666666666,0.9753694581280788,0.027777777777777776,0.9521531100478469,0.04761904761904762
jordan:leiden,3,2,0.1,16.0,7.333333333333333,0.02301645278930664,1.3333333333333333,32.666666666666664,16.0,2,199,96,4,209,0.3333333333333333,0.9802955665024631,0.02040816326530612,0.9617224880382775,0.03846153846153846
jordan:df_node_similarity,3,2,0.1,12.0,6.0,0.07414809862772624,1.6666666666666667,19.666666666666668,12.0,1,198,58,5,209,0.16666666666666666,0.9753694581280788,0.01694915254237288,0.9521531100478469,0.030769230769230767
netsleuth-cm:leiden,3,2,0.1,16.0,7.333333333333333,0.02239513397216797,2.0,8.666666666666666,16.0,2,199,24,4,209,0.3333333333333333,0.9802955665024631,0.07692307692307693,0.9617224880382775,0.125
netsleuth-cm:df_node_similarity,3,2,0.1,12.0,6.0,0.08165089289347331,1.6666666666666667,7.0,12.0,2,199,19,4,209,0.3333333333333333,0.9802955665024631,0.09523809523809523,0.9617224880382775,0.14814814814814814
ensemble:leiden,3,2,0.1,16.0,7.333333333333333,0.07455078760782878,1.6666666666666667,10.0,16.0,1,198,29,5,209,0.16666666666666666,0.9753694581280788,0.03333333333333333,0.9521531100478469,0.05555555555555555
ensemble:df_node_similarity,3,2,0.1,12.0,6.0,0.25553615887959796,1.3333333333333333,8.333333333333334,12.0,2,199,23,4,209,0.3333333333333333,0.9802955665024631,0.08,0.9617224880382775,0.12903225806451613
ensemble-centralities:leiden,3,2,0.1,16.0,7.333333333333333,0.03971409797668457,1.6666666666666667,29.0,16.0,1,198,86,5,209,0.16666666666666666,0.9753694581280788,0.011494252873563218,0.9521531100478469,0.02150537634408602
ensemble-centralities:df_node_similarity,3,2,0.1,12.0,6.0,0.1965974966684977,2.0,13.333333333333334,12.0,1,198,39,5,209,0.16666666666666666,0.9753694581280788,0.025,0.9521531100478469,0.04347826086956522
centrality-cm:betweenness:leiden,3,2,0.2,16.0,7.333333333333333,0.025724013646443684,1.6666666666666667,26.0,16.0,1,198,77,5,209,0.16666666666666666,0.9753694581280788,0.01282051282051282,0.9521531100478469,0.023809523809523808
centrality-cm:betweenness:df_node_similarity,3,2,0.2,12.0,6.0,0.08254369099934895,2.0,13.333333333333334,12.0,1,198,39,5,209,0.16666666666666666,0.9753694581280788,0.025,0.9521531100478469,0.04347826086956522
rumor:leiden,3,2,0.2,16.0,7.333333333333333,0.03816763559977213,1.3333333333333333,28.0,16.0,2,199,82,4,209,0.3333333333333333,0.9802955665024631,0.023809523809523808,0.9617224880382775,0.044444444444444446
rumor:df_node_similarity,3,2,0.2,12.0,6.0,0.09912792841593425,1.6666666666666667,14.333333333333334,12.0,1,198,42,5,209,0.16666666666666666,0.9753694581280788,0.023255813953488372,0.9521531100478469,0.04081632653061224
jordan:leiden,3,2,0.2,16.0,7.333333333333333,0.024986902872721355,1.3333333333333333,41.0,16.0,2,199,121,4,209,0.3333333333333333,0.9802955665024631,0.016260162601626018,0.9617224880382775,0.0310077519379845
jordan:df_node_similarity,3,2,0.2,12.0,6.0,0.07799053192138672,1.6666666666666667,26.0,12.0,1,198,77,5,209,0.16666666666666666,0.9753694581280788,0.01282051282051282,0.9521531100478469,0.023809523809523808
netsleuth-cm:leiden,3,2,0.2,16.0,7.333333333333333,0.023984750111897785,1.6666666666666667,9.666666666666666,16.0,3,200,26,3,209,0.5,0.9852216748768473,0.10344827586206896,0.9712918660287081,0.17142857142857143
netsleuth-cm:df_node_similarity,3,2,0.2,12.0,6.0,0.08850749333699544,1.6666666666666667,8.0,12.0,2,199,22,4,209,0.3333333333333333,0.9802955665024631,0.08333333333333333,0.9617224880382775,0.13333333333333333
ensemble:leiden,3,2,0.2,16.0,7.333333333333333,0.07007877031962077,1.6666666666666667,13.666666666666666,16.0,1,198,40,5,209,0.16666666666666666,0.9753694581280788,0.024390243902439025,0.9521531100478469,0.0425531914893617
ensemble:df_node_similarity,3,2,0.2,12.0,6.0,0.26142080624898273,1.0,12.666666666666666,12.0,3,200,35,3,209,0.5,0.9852216748768473,0.07894736842105263,0.9712918660287081,0.13636363636363635
ensemble-centralities:leiden,3,2,0.2,16.0,7.333333333333333,0.03989839553833008,1.6666666666666667,31.0,16.0,1,198,92,5,209,0.16666666666666666,0.9753694581280788,0.010752688172043012,0.9521531100478469,0.020202020202020204
ensemble-centralities:df_node_similarity,3,2,0.2,12.0,6.0,0.18829719225565592,1.6666666666666667,20.333333333333332,12.0,1,198,60,5,209,0.16666666666666666,0.9753694581280788,0.01639344262295082,0.9521531100478469,0.02985074626865672
centrality-cm:betweenness:leiden,3,2,0.3,16.0,7.333333333333333,0.02515554428100586,1.6666666666666667,29.666666666666668,16.0,1,198,88,5,209,0.16666666666666666,0.9753694581280788,0.011235955056179775,0.9521531100478469,0.021052631578947368
centrality-cm:betweenness:df_node_similarity,3,2,0.3,12.0,6.0,0.09075498580932617,2.0,19.0,12.0,1,198,56,5,209,0.16666666666666666,0.9753694581280788,0.017543859649122806,0.9521531100478469,0.031746031746031744
rumor:leiden,3,2,0.3,16.0,7.333333333333333,0.03513415654500326,1.3333333333333333,31.0,16.0,2,199,91,4,209,0.3333333333333333,0.9802955665024631,0.021505376344086023,0.9617224880382775,0.04040404040404041
rumor:df_node_similarity,3,2,0.3,12.0,6.0,0.10003821055094402,1.6666666666666667,16.333333333333332,12.0,1,198,48,5,209,0.16666666666666666,0.9753694581280788,0.02040816326530612,0.9521531100478469,0.03636363636363636
jordan:leiden,3,2,0.3,16.0,7.333333333333333,0.02486260732014974,1.3333333333333333,50.666666666666664,16.0,2,199,150,4,209,0.3333333333333333,0.9802955665024631,0.013157894736842105,0.9617224880382775,0.02531645569620253
jordan:df_node_similarity,3,2,0.3,12.0,6.0,0.07772556940714519,1.6666666666666667,40.0,12.0,1,198,119,5,209,0.16666666666666666,0.9753694581280788,0.008333333333333333,0.9521531100478469,0.015873015873015872
netsleuth-cm:leiden,3,2,0.3,16.0,7.333333333333333,0.02412756284077962,1.3333333333333333,11.333333333333334,16.0,3,200,31,3,209,0.5,0.9852216748768473,0.08823529411764706,0.9712918660287081,0.15
netsleuth-cm:df_node_similarity,3,2,0.3,12.0,6.0,0.09619569778442383,1.6666666666666667,9.333333333333334,12.0,2,199,26,4,209,0.3333333333333333,0.9802955665024631,0.07142857142857142,0.9617224880382775,0.11764705882352941
ensemble:leiden,3,2,0.3,16.0,7.333333333333333,0.06496103604634602,1.3333333333333333,19.666666666666668,16.0,2,199,57,4,209,0.3333333333333333,0.9802955665024631,0.03389830508474576,0.9617224880382775,0.061538461538461535
ensemble:df_node_similarity,3,2,0.3,12.0,6.0,0.2590804100036621,1.0,18.666666666666668,12.0,3,200,53,3,209,0.5,0.9852216748768473,0.05357142857142857,0.9712918660287081,0.09677419354838708
ensemble-centralities:leiden,3,2,0.3,16.0,7.333333333333333,0.035591840744018555,1.3333333333333333,33.666666666666664,16.0,2,199,99,4,209,0.3333333333333333,0.9802955665024631,0.019801980198019802,0.9617224880382775,0.037383177570093455
ensemble-centralities:df_node_similarity,3,2,0.3,12.0,6.0,0.18265016873677573,1.6666666666666667,23.0,12.0,1,198,68,5,209,0.16666666666666666,0.9753694581280788,0.014492753623188406,0.9521531100478469,0.026666666666666665
