type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,3,2,0.0,2.0,2.6666666666666665,0.0027675628662109375,0.3333333333333333,2.6666666666666665,1.0,5,54,3,1,61,0.8333333333333334,0.9818181818181818,0.625,0.9672131147540983,0.7142857142857143
centrality-cm:betweenness:df_node_similarity,3,2,0.0,0.0,2.0,0.004660447438557942,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
rumor:leiden,3,2,0.0,2.0,2.6666666666666665,0.004114866256713867,0.0,2.6666666666666665,1.0,6,55,2,0,61,1.0,1.0,0.75,1.0,0.8571428571428571
rumor:df_node_similarity,3,2,0.0,0.0,2.0,0.006214698155721028,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
jordan:leiden,3,2,0.0,2.0,2.6666666666666665,0.0020447572072347007,2.0,2.6666666666666665,1.0,0,49,8,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
jordan:df_node_similarity,3,2,0.0,0.0,2.0,0.003731886545817057,2.0,2.0,0.0,0,49,6,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
netsleuth-cm:leiden,3,2,0.0,2.0,2.6666666666666665,0.003703594207763672,2.0,2.6666666666666665,1.0,0,49,8,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
netsleuth-cm:df_node_similarity,3,2,0.0,0.0,2.0,0.004741112391153972,2.0,2.0,0.0,0,49,6,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
ensemble:leiden,3,2,0.0,2.0,2.6666666666666665,0.010544459025065104,2.0,2.6666666666666665,1.0,0,49,8,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
ensemble:df_node_similarity,3,2,0.0,0.0,2.0,0.017397960027058918,2.0,2.0,0.0,0,49,6,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
ensemble-centralities:leiden,3,2,0.0,2.0,2.6666666666666665,0.005345821380615234,0.3333333333333333,2.6666666666666665,1.0,5,54,3,1,61,0.8333333333333334,0.9818181818181818,0.625,0.9672131147540983,0.7142857142857143
ensemble-centralities:df_node_similarity,3,2,0.0,0.0,2.0,0.010806083679199219,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
centrality-cm:betweenness:leiden,3,3,0.0,1.0,3.3333333333333335,0.0023279190063476562,2.0,3.3333333333333335,2.0,6,39,4,3,51,0.6666666666666666,0.9285714285714286,0.6,0.8823529411764706,0.631578947368421
centrality-cm:betweenness:df_node_similarity,3,3,0.0,2.0,2.3333333333333335,0.004689772923787435,1.0,2.3333333333333335,1.0,6,39,1,3,51,0.6666666666666666,0.9285714285714286,0.8571428571428571,0.8823529411764706,0.75
rumor:leiden,3,3,0.0,1.0,3.3333333333333335,0.0032237370808919272,2.0,3.3333333333333335,2.0,6,39,4,3,51,0.6666666666666666,0.9285714285714286,0.6,0.8823529411764706,0.631578947368421
rumor:df_node_similarity,3,3,0.0,2.0,2.3333333333333335,0.006140788396199544,0.6666666666666666,2.3333333333333335,1.0,5,38,2,4,51,0.5555555555555556,0.9047619047619048,0.7142857142857143,0.8431372549019608,0.6250000000000001
