type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,3,2,0.0,2.0,2.6666666666666665,0.007605711619059245,0.3333333333333333,2.6666666666666665,2.0,5,54,3,1,61,0.8333333333333334,0.9818181818181818,0.625,0.9672131147540983,0.7142857142857143
centrality-cm:betweenness:df_node_similarity,3,2,0.0,0.0,2.0,0.011968453725179037,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
rumor:leiden,3,2,0.0,2.0,2.6666666666666665,0.009773731231689453,0.0,2.6666666666666665,2.0,6,55,2,0,61,1.0,1.0,0.75,1.0,0.8571428571428571
rumor:df_node_similarity,3,2,0.0,0.0,2.0,0.012453079223632812,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
jordan:leiden,3,2,0.0,2.0,2.6666666666666665,0.00607911745707194,2.0,2.6666666666666665,2.0,0,49,8,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
jordan:df_node_similarity,3,2,0.0,0.0,2.0,0.009782711664835611,2.0,2.0,0.0,0,49,6,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
netsleuth-cm:leiden,3,2,0.0,2.0,2.6666666666666665,0.010206143061319986,2.0,2.6666666666666665,2.0,0,49,8,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
netsleuth-cm:df_node_similarity,3,2,0.0,0.0,2.0,0.011023362477620443,2.0,2.0,0.0,0,49,6,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
ensemble:leiden,3,2,0.0,2.0,2.6666666666666665,0.017890532811482746,2.0,2.6666666666666665,2.0,0,49,8,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
ensemble:df_node_similarity,3,2,0.0,0.0,2.0,0.02701703707377116,2.0,2.0,0.0,0,49,6,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
ensemble-centralities:leiden,3,2,0.0,2.0,2.6666666666666665,0.011599143346150717,0.3333333333333333,2.6666666666666665,2.0,5,54,3,1,61,0.8333333333333334,0.9818181818181818,0.625,0.9672131147540983,0.7142857142857143
ensemble-centralities:df_node_similarity,3,2,0.0,0.0,2.0,0.018381595611572266,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
centrality-cm:betweenness:leiden,3,2,0.1,3.0,3.0,0.0069802602132161455,0.3333333333333333,3.3333333333333335,3.0,5,54,5,1,61,0.8333333333333334,0.9818181818181818,0.5,0.9672131147540983,0.625
centrality-cm:betweenness:df_node_similarity,3,2,0.1,0.0,2.0,0.009319384892781576,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
rumor:leiden,3,2,0.1,3.0,3.0,0.008419672648111979,0.0,3.6666666666666665,3.0,6,55,5,0,61,1.0,1.0,0.5454545454545454,1.0,0.7058823529411764
rumor:df_node_similarity,3,2,0.1,0.0,2.0,0.013182560602823893,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
jordan:leiden,3,2,0.1,3.0,3.0,0.006063779195149739,2.0,8.0,3.0,0,49,24,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
