type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,3,13,0.0,19.0,19.333333333333332,147.1110167503357,8.0,19.333333333333332,39.0,18,20745,40,21,20805,0.46153846153846156,0.9989887315804681,0.3103448275862069,0.9979812545061283,0.37113402061855666
jordan:leiden,3,13,0.0,16.0,18.333333333333332,87.66938185691833,13.0,18.333333333333332,34.0,0,20727,55,39,20805,0.0,0.9981219300780121,0.0,0.996250901225667,0
jordan:df_node_similarity,3,13,0.0,20.0,6.333333333333333,264.48495721817017,0.0,6.333333333333333,16.0,3,20730,16,36,20805,0.07692307692307693,0.9982663969950881,0.15789473684210525,0.9965392934390771,0.10344827586206896
netsleuth-cm:leiden,3,13,0.0,18.0,19.0,55.61547581354777,16.666666666666668,19.0,37.0,0,20727,57,39,20805,0.0,0.9981219300780121,0.0,0.996250901225667,0
netsleuth-cm:df_node_similarity,3,13,0.0,20.0,6.333333333333333,423.25604367256165,0.0,6.333333333333333,16.0,0,20727,19,39,20805,0.0,0.9981219300780121,0.0,0.996250901225667,0
ensemble-centralities:leiden,3,13,0.0,16.0,18.333333333333332,158.38379096984863,7.333333333333333,18.333333333333332,34.0,20,20747,35,19,20805,0.5128205128205128,0.9990850428585187,0.36363636363636365,0.9981735159817352,0.425531914893617
centrality-cm:betweenness:leiden,3,13,0.1,12.0,17.0,152.86179208755493,6.666666666666667,23.333333333333332,31.0,22,20749,48,17,20805,0.5641025641025641,0.9991813541365694,0.3142857142857143,0.998365777457342,0.40366972477064217
jordan:leiden,3,13,0.1,12.0,17.0,106.51908373832703,10.333333333333334,1350.3333333333333,31.0,8,20735,4043,31,20805,0.20512820512820512,0.9985071751902148,0.001974821031843989,0.9970199471280942,0.0039119804400978
jordan:df_node_similarity,3,13,0.1,20.0,6.333333333333333,265.4080200990041,6.0,42.0,16.0,21,20748,105,18,20805,0.5384615384615384,0.9991331984975441,0.16666666666666666,0.9982696467195386,0.2545454545454545
netsleuth-cm:leiden,3,13,0.1,16.0,18.333333333333332,64.17146388689677,17.333333333333332,25.666666666666668,36.0,0,20727,77,39,20805,0.0,0.9981219300780121,0.0,0.996250901225667,0
netsleuth-cm:df_node_similarity,3,13,0.1,20.0,6.333333333333333,438.09076793988544,0.0,7.0,16.0,0,20727,21,39,20805,0.0,0.9981219300780121,0.0,0.996250901225667,0
ensemble-centralities:leiden,3,13,0.1,16.0,18.333333333333332,165.14262119928995,5.666666666666667,24.333333333333332,34.0,23,20750,50,16,20805,0.5897435897435898,0.9992295097755948,0.3150684931506849,0.9984619081951454,0.4107142857142857
centrality-cm:betweenness:leiden,3,13,0.2,13.0,17.333333333333332,174.65908281008402,5.333333333333333,26.0,32.0,24,20751,54,15,20805,0.6153846153846154,0.99927766541462,0.3076923076923077,0.9985580389329488,0.4102564102564103
