type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,1,5,0.0,7.0,12.0,0.04605460166931152,12.0,12.0,2.0,0,212,12,5,222,0.0,0.9769585253456221,0.0,0.954954954954955,0
centrality-cm:betweenness:df_node_similarity,1,5,0.0,5.0,10.0,0.43485116958618164,6.0,10.0,0.0,1,213,9,4,222,0.2,0.9815668202764977,0.1,0.963963963963964,0.13333333333333333
rumor:leiden,1,5,0.0,7.0,12.0,0.12626338005065918,8.0,12.0,2.0,0,212,12,5,222,0.0,0.9769585253456221,0.0,0.954954954954955,0
rumor:df_node_similarity,1,5,0.0,5.0,10.0,0.5420100688934326,9.0,10.0,0.0,1,213,9,4,222,0.2,0.9815668202764977,0.1,0.963963963963964,0.13333333333333333
jordan:leiden,1,5,0.0,7.0,12.0,0.04940152168273926,9.0,12.0,2.0,2,214,10,3,222,0.4,0.9861751152073732,0.16666666666666666,0.972972972972973,0.23529411764705882
jordan:df_node_similarity,1,5,0.0,5.0,10.0,0.4317193031311035,9.0,10.0,0.0,1,213,9,4,222,0.2,0.9815668202764977,0.1,0.963963963963964,0.13333333333333333
netsleuth-cm:leiden,1,5,0.0,7.0,12.0,0.02510690689086914,11.0,12.0,2.0,1,213,11,4,222,0.2,0.9815668202764977,0.08333333333333333,0.963963963963964,0.11764705882352941
netsleuth-cm:df_node_similarity,1,5,0.0,5.0,10.0,0.430755615234375,13.0,10.0,0.0,1,213,9,4,222,0.2,0.9815668202764977,0.1,0.963963963963964,0.13333333333333333
ensemble:leiden,1,5,0.0,7.0,12.0,0.19733762741088867,6.0,12.0,1.0,0,212,12,5,222,0.0,0.9769585253456221,0.0,0.954954954954955,0
ensemble:df_node_similarity,1,5,0.0,5.0,10.0,1.7566523551940918,8.0,10.0,0.0,2,214,8,3,222,0.4,0.9861751152073732,0.2,0.972972972972973,0.26666666666666666
ensemble-centralities:leiden,1,5,0.0,8.0,13.0,0.06726193428039551,8.0,13.0,2.0,1,213,12,4,222,0.2,0.9815668202764977,0.07692307692307693,0.963963963963964,0.1111111111111111
ensemble-centralities:df_node_similarity,1,5,0.0,5.0,10.0,1.2219829559326172,9.0,10.0,0.0,1,213,9,4,222,0.2,0.9815668202764977,0.1,0.963963963963964,0.13333333333333333
centrality-cm:betweenness:leiden,3,50,0.0,99.0,17.0,0.13933769861857095,0.0,17.0,2.0,6,1051,45,144,1345,0.04,0.8794979079497908,0.11764705882352941,0.7858736059479554,0.05970149253731344
centrality-cm:betweenness:df_node_similarity,3,50,0.0,114.0,12.0,3.267781416575114,0.0,12.0,0.0,6,1051,30,144,1345,0.04,0.8794979079497908,0.16666666666666666,0.7858736059479554,0.06451612903225806
rumor:leiden,3,50,0.0,100.0,16.666666666666668,0.34015488624572754,0.0,16.666666666666668,2.0,7,1052,43,143,1345,0.04666666666666667,0.8803347280334728,0.14,0.787360594795539,0.07
rumor:df_node_similarity,3,50,0.0,114.0,12.0,3.6157955328623452,0.0,12.0,0.0,5,1050,31,145,1345,0.03333333333333333,0.8786610878661087,0.1388888888888889,0.7843866171003717,0.053763440860215055
jordan:leiden,3,50,0.0,99.0,17.0,0.09389170010884602,0.0,17.0,3.0,9,1054,42,141,1345,0.06,0.8820083682008368,0.17647058823529413,0.7903345724907063,0.08955223880597014
jordan:df_node_similarity,3,50,0.0,114.0,12.0,3.1680944760640464,0.0,12.0,0.0,4,1049,32,146,1345,0.02666666666666667,0.8778242677824267,0.1111111111111111,0.7828996282527881,0.04301075268817204
netsleuth-cm:leiden,3,50,0.0,101.0,16.333333333333332,0.06126507123311361,0.0,16.333333333333332,1.0,7,1052,42,143,1345,0.04666666666666667,0.8803347280334728,0.14285714285714285,0.787360594795539,0.07035175879396985
netsleuth-cm:df_node_similarity,3,50,0.0,114.0,12.0,3.159879287083944,0.0,12.0,0.0,3,1048,33,147,1345,0.02,0.8769874476987448,0.08333333333333333,0.7814126394052044,0.03225806451612903
ensemble:leiden,3,50,0.0,101.0,16.333333333333332,0.5268603165944418,0.0,16.333333333333332,2.0,4,1049,45,146,1345,0.02666666666666667,0.8778242677824267,0.08163265306122448,0.7828996282527881,0.04020100502512563
ensemble:df_node_similarity,3,50,0.0,114.0,12.0,13.01245665550232,0.0,12.0,0.0,7,1052,29,143,1345,0.04666666666666667,0.8803347280334728,0.19444444444444445,0.787360594795539,0.07526881720430108
ensemble-centralities:leiden,3,50,0.0,98.0,17.333333333333332,0.19974748293558756,0.0,17.333333333333332,0.0,9,1054,43,141,1345,0.06,0.8820083682008368,0.17307692307692307,0.7903345724907063,0.0891089108910891
ensemble-centralities:df_node_similarity,3,50,0.0,114.0,12.0,9.497235536575317,0.0,12.0,0.0,5,1050,31,145,1345,0.03333333333333333,0.8786610878661087,0.1388888888888889,0.7843866171003717,0.053763440860215055
centrality-cm:betweenness:leiden,1,5,0.1,7.0,12.0,0.0462040901184082,6.0,15.0,1.0,1,213,14,4,222,0.2,0.9815668202764977,0.06666666666666667,0.963963963963964,0.1
centrality-cm:betweenness:df_node_similarity,1,5,0.1,5.0,10.0,0.43624162673950195,4.0,20.0,0.0,2,214,18,3,222,0.4,0.9861751152073732,0.1,0.972972972972973,0.16000000000000003
rumor:leiden,1,5,0.1,7.0,12.0,0.11871576309204102,5.0,17.0,1.0,1,213,16,4,222,0.2,0.9815668202764977,0.058823529411764705,0.963963963963964,0.0909090909090909
rumor:df_node_similarity,1,5,0.1,5.0,10.0,0.54010009765625,6.0,13.0,0.0,1,213,12,4,222,0.2,0.9815668202764977,0.07692307692307693,0.963963963963964,0.1111111111111111
jordan:leiden,1,5,0.1,8.0,13.0,0.051886558532714844,5.0,22.0,1.0,3,215,19,2,222,0.6,0.9907834101382489,0.13636363636363635,0.9819819819819819,0.22222222222222218
jordan:df_node_similarity,1,5,0.1,5.0,10.0,0.4304981231689453,9.0,13.0,0.0,1,213,12,4,222,0.2,0.9815668202764977,0.07692307692307693,0.963963963963964,0.1111111111111111
netsleuth-cm:leiden,1,5,0.1,8.0,13.0,0.027489423751831055,8.0,16.0,1.0,0,212,16,5,222,0.0,0.9769585253456221,0.0,0.954954954954955,0
