type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,3,2,0.0,23.0,9.666666666666666,0.048691511154174805,2.0,9.666666666666666,23.0,1,430,28,5,441,0.16666666666666666,0.9885057471264368,0.034482758620689655,0.9773242630385488,0.05714285714285715
centrality-cm:betweenness:df_node_similarity,3,2,0.0,17.0,7.666666666666667,0.4240790208180745,2.3333333333333335,7.666666666666667,17.0,1,430,22,5,441,0.16666666666666666,0.9885057471264368,0.043478260869565216,0.9773242630385488,0.06896551724137931
rumor:leiden,3,2,0.0,23.0,9.666666666666666,0.10454344749450684,2.3333333333333335,9.666666666666666,23.0,0,429,29,6,441,0.0,0.9862068965517241,0.0,0.9727891156462585,0
rumor:df_node_similarity,3,2,0.0,17.0,7.666666666666667,0.4868771235148112,2.3333333333333335,7.666666666666667,17.0,0,429,23,6,441,0.0,0.9862068965517241,0.0,0.9727891156462585,0
jordan:leiden,3,2,0.0,23.0,9.666666666666666,0.07860692342122395,1.6666666666666667,9.666666666666666,23.0,1,430,28,5,441,0.16666666666666666,0.9885057471264368,0.034482758620689655,0.9773242630385488,0.05714285714285715
jordan:df_node_similarity,3,2,0.0,17.0,7.666666666666667,0.4109641710917155,2.3333333333333335,7.666666666666667,17.0,1,430,22,5,441,0.16666666666666666,0.9885057471264368,0.043478260869565216,0.9773242630385488,0.06896551724137931
netsleuth-cm:leiden,3,2,0.0,23.0,9.666666666666666,0.03151575724283854,2.3333333333333335,9.666666666666666,23.0,0,429,29,6,441,0.0,0.9862068965517241,0.0,0.9727891156462585,0
netsleuth-cm:df_node_similarity,3,2,0.0,17.0,7.666666666666667,0.40956926345825195,2.6666666666666665,7.666666666666667,17.0,0,429,23,6,441,0.0,0.9862068965517241,0.0,0.9727891156462585,0
ensemble:leiden,3,2,0.0,23.0,9.666666666666666,0.1992337703704834,2.0,9.666666666666666,23.0,1,430,28,5,441,0.16666666666666666,0.9885057471264368,0.034482758620689655,0.9773242630385488,0.05714285714285715
ensemble:df_node_similarity,3,2,0.0,17.0,7.666666666666667,1.4473319848378499,2.3333333333333335,7.666666666666667,17.0,0,429,23,6,441,0.0,0.9862068965517241,0.0,0.9727891156462585,0
