type,experiment,sources,detected,normalized,per_community,infection_probability,time,nr_of_empty_communities,error_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,0-5,"0,33","0,5,31,33","OrderedDict([(33, 1.0), (0, 1.0), (31, 1.0), (5, 1.0), (6, 1.0), (24, 0.625), (25, 0.625), (32, 0.43548387096774194), (1, 0.3563218390804598), (4, 0.3333333333333333), (10, 0.3333333333333333), (23, 0.125), (27, 0.125), (3, 0.10344827586206896), (29, 0.016129032258064516), (2, 0.011494252873563218), (8, 0.0), (9, 0.0), (14, 0.0), (15, 0.0), (18, 0.0), (20, 0.0), (22, 0.0), (26, 0.0), (30, 0.0), (7, 0.0), (11, 0.0), (12, 0.0), (13, 0.0), (17, 0.0), (19, 0.0), (21, 0.0), (28, 0.0), (16, 0.0)])","{0: {8: 0.0, 9: 0.0, 14: 0.0, 15: 0.0, 18: 0.0, 20: 0.0, 22: 0.0, 26: 0.0, 29: 0.00909090909090909, 30: 0.0, 32: 0.24545454545454545, 33: 0.5636363636363636}, 1: {0: 0.48333333333333334, 1: 0.17222222222222222, 2: 0.005555555555555556, 3: 0.05, 7: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 17: 0.0, 19: 0.0, 21: 0.0}, 2: {23: 0.05, 24: 0.25, 25: 0.25, 27: 0.05, 28: 0.0, 31: 0.4}, 3: {4: 0.08333333333333333, 5: 0.25, 6: 0.25, 10: 0.08333333333333333, 16: 0.0}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.00733494758605957,2,0,2,32,2,0,34,1.0,1.0,0.5,1.0,0.6666666666666666
centrality-cm:betweenness:eigenvector,0-5,"0,33","0,1,31,33","OrderedDict([(33, 1.0), (1, 1.0), (0, 1.0), (31, 1.0), (24, 0.625), (25, 0.625), (32, 0.43548387096774194), (5, 0.4117647058823529), (6, 0.4117647058823529), (3, 0.3999999999999999), (23, 0.125), (27, 0.125), (4, 0.05882352941176471), (10, 0.05882352941176471), (2, 0.01818181818181818), (29, 0.016129032258064516), (8, 0.0), (9, 0.0), (14, 0.0), (15, 0.0), (18, 0.0), (20, 0.0), (22, 0.0), (26, 0.0), (30, 0.0), (7, 0.0), (12, 0.0), (13, 0.0), (17, 0.0), (19, 0.0), (21, 0.0), (11, 0.0), (16, 0.0), (28, 0.0)])","{0: {8: 0.0, 9: 0.0, 14: 0.0, 15: 0.0, 18: 0.0, 20: 0.0, 22: 0.0, 26: 0.0, 29: 0.00909090909090909, 30: 0.0, 32: 0.24545454545454545, 33: 0.5636363636363636}, 1: {1: 0.6547619047619048, 2: 0.011904761904761904, 3: 0.26190476190476186, 7: 0.0, 12: 0.0, 13: 0.0, 17: 0.0, 19: 0.0, 21: 0.0}, 2: {0: 0.3777777777777777, 4: 0.02222222222222222, 5: 0.15555555555555553, 6: 0.15555555555555553, 10: 0.02222222222222222, 11: 0.0, 16: 0.0}, 3: {23: 0.05, 24: 0.25, 25: 0.25, 27: 0.05, 28: 0.0, 31: 0.4}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.0074045658111572266,2,0,2,32,2,0,34,1.0,1.0,0.5,1.0,0.6666666666666666
centrality-cm:betweenness:louvain,0-5,"0,33","0,5,31,33","OrderedDict([(33, 1.0), (0, 1.0), (5, 1.0), (6, 1.0), (31, 1.0), (32, 0.3695652173913043), (1, 0.3563218390804598), (4, 0.3333333333333333), (10, 0.3333333333333333), (3, 0.10344827586206896), (23, 0.021739130434782608), (29, 0.021739130434782608), (2, 0.011494252873563218), (8, 0.0), (9, 0.0), (14, 0.0), (15, 0.0), (18, 0.0), (20, 0.0), (22, 0.0), (26, 0.0), (27, 0.0), (30, 0.0), (7, 0.0), (11, 0.0), (12, 0.0), (13, 0.0), (17, 0.0), (19, 0.0), (21, 0.0), (16, 0.0), (24, 0.0), (25, 0.0), (28, 0.0)])","{0: {8: 0.0, 9: 0.0, 14: 0.0, 15: 0.0, 18: 0.0, 20: 0.0, 22: 0.0, 23: 0.01282051282051282, 26: 0.0, 27: 0.0, 29: 0.01282051282051282, 30: 0.0, 32: 0.21794871794871795, 33: 0.5897435897435898}, 1: {0: 0.48333333333333334, 1: 0.17222222222222222, 2: 0.005555555555555556, 3: 0.05, 7: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 17: 0.0, 19: 0.0, 21: 0.0}, 2: {4: 0.08333333333333333, 5: 0.25, 6: 0.25, 10: 0.08333333333333333, 16: 0.0}, 3: {24: 0.0, 25: 0.0, 28: 0.0, 31: 0.6666666666666666}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.005664348602294922,2,0,2,32,2,0,34,1.0,1.0,0.5,1.0,0.6666666666666666
centrality-cm:betweenness:greedy_modularity,0-5,"0,33","0,1,33","OrderedDict([(33, 1.0), (1, 1.0), (0, 1.0), (2, 0.5499999999999999), (3, 0.5499999999999999), (32, 0.44450460205739034), (5, 0.24285714285714277), (6, 0.24285714285714277), (31, 0.23389279913373032), (23, 0.13102328099621005), (27, 0.06876015159718461), (4, 0.028571428571428567), (10, 0.028571428571428567), (29, 0.021656740660530586), (25, 0.0167839740119112), (24, 0.01624255549539794), (8, 0.0), (14, 0.0), (15, 0.0), (18, 0.0), (20, 0.0), (22, 0.0), (26, 0.0), (28, 0.0), (30, 0.0), (7, 0.0), (9, 0.0), (12, 0.0), (13, 0.0), (17, 0.0), (21, 0.0), (11, 0.0), (16, 0.0), (19, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 18: 0.0, 20: 0.0, 22: 0.0, 23: 0.06722222222222222, 24: 0.008333333333333333, 25: 0.00861111111111111, 26: 0.0, 27: 0.035277777777777776, 28: 0.0, 29: 0.01111111111111111, 30: 0.0, 31: 0.11999999999999998, 32: 0.22805555555555557, 33: 0.5130555555555556}, 1: {1: 0.47619047619047616, 2: 0.26190476190476186, 3: 0.26190476190476186, 7: 0.0, 9: 0.0, 12: 0.0, 13: 0.0, 17: 0.0, 21: 0.0}, 2: {0: 0.5555555555555556, 16: 0.0, 19: 0.0, 4: 0.015873015873015872, 5: 0.13492063492063489, 6: 0.13492063492063489, 10: 0.015873015873015872, 11: 0.0}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.00660252571105957,1,0,2,32,1,0,34,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:label_propagation,0-5,"0,33","0,16,33","OrderedDict([(33, 1.0), (0, 1.0), (32, 0.4407185628742516), (31, 0.3436754176610978), (1, 0.09069212410501193), (2, 0.07784431137724551), (3, 0.026252983293556083), (29, 0.02095808383233533), (8, 0.015568862275449104), (27, 0.015568862275449104), (23, 0.01497005988023952), (9, 0.006586826347305389), (28, 0.006586826347305389), (14, 0.0), (15, 0.0), (18, 0.0), (20, 0.0), (22, 0.0), (26, 0.0), (30, 0.0), (4, 0.0), (7, 0.0), (10, 0.0), (11, 0.0), (12, 0.0), (13, 0.0), (17, 0.0), (19, 0.0), (21, 0.0), (24, 0.0), (25, 0.0), (16, 0.0), (5, 0.0), (6, 0.0)])","{0: {32: 0.2336507936507937, 33: 0.5301587301587302, 2: 0.04126984126984127, 8: 0.008253968253968255, 9: 0.003492063492063492, 14: 0.0, 15: 0.0, 18: 0.0, 20: 0.0, 22: 0.0, 23: 0.007936507936507936, 26: 0.0, 27: 0.008253968253968255, 28: 0.003492063492063492, 29: 0.011111111111111112, 30: 0.0}, 1: {0: 0.7673992673992674, 1: 0.0695970695970696, 3: 0.020146520146520144, 4: 0.0, 7: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 17: 0.0, 19: 0.0, 21: 0.0, 24: 0.0, 25: 0.0, 31: 0.26373626373626374}, 2: {16: 0.0, 5: 0.0, 6: 0.0}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.005282402038574219,1,0,2,32,1,0,34,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:infomap,0-5,"0,33","0,5,33","OrderedDict([(33, 1.0), (0, 1.0), (5, 1.0), (6, 1.0), (32, 0.44450460205739034), (2, 0.41414141414141414), (1, 0.37373737373737376), (4, 0.3333333333333333), (10, 0.3333333333333333), (31, 0.23389279913373032), (23, 0.13102328099621005), (3, 0.11111111111111112), (27, 0.06876015159718461), (29, 0.021656740660530586), (25, 0.0167839740119112), (24, 0.01624255549539794), (8, 0.0), (14, 0.0), (15, 0.0), (18, 0.0), (20, 0.0), (22, 0.0), (26, 0.0), (28, 0.0), (30, 0.0), (7, 0.0), (9, 0.0), (11, 0.0), (12, 0.0), (13, 0.0), (17, 0.0), (19, 0.0), (21, 0.0), (16, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 18: 0.0, 20: 0.0, 22: 0.0, 23: 0.06722222222222222, 24: 0.008333333333333333, 25: 0.00861111111111111, 26: 0.0, 27: 0.035277777777777776, 28: 0.0, 29: 0.01111111111111111, 30: 0.0, 31: 0.11999999999999998, 32: 0.22805555555555557, 33: 0.5130555555555556}, 1: {0: 0.44999999999999996, 1: 0.16818181818181818, 2: 0.18636363636363634, 3: 0.049999999999999996, 7: 0.0, 9: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 17: 0.0, 19: 0.0, 21: 0.0}, 2: {4: 0.08333333333333333, 5: 0.25, 6: 0.25, 10: 0.08333333333333333, 16: 0.0}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.049363136291503906,1,0,2,32,1,0,34,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:surprise_communities,0-5,"0,33","0,5,9,11,24,29,32","OrderedDict([(0, 1.0), (32, 1.0), (33, 1.0), (5, 1.0), (6, 1.0), (24, 1.0), (31, 1.0), (29, 1.0), (1, 0.607843137254902), (4, 0.3333333333333333), (10, 0.3333333333333333), (3, 0.17647058823529413), (2, 0.0196078431372549), (7, 0.0), (12, 0.0), (13, 0.0), (17, 0.0), (19, 0.0), (21, 0.0), (8, 0.0), (14, 0.0), (15, 0.0), (18, 0.0), (20, 0.0), (22, 0.0), (30, 0.0), (16, 0.0), (25, 0.0), (27, 0.0), (28, 0.0), (26, 0.0), (23, 0.0), (9, 0.0), (11, 0.0)])","{0: {0: 0.35416666666666663, 1: 0.21527777777777776, 2: 0.006944444444444444, 3: 0.0625, 7: 0.0, 12: 0.0, 13: 0.0, 17: 0.0, 19: 0.0, 21: 0.0}, 1: {8: 0.0, 14: 0.0, 15: 0.0, 18: 0.0, 20: 0.0, 22: 0.0, 30: 0.0, 32: 0.3571428571428571, 33: 0.3571428571428571}, 2: {4: 0.08333333333333333, 5: 0.25, 6: 0.25, 10: 0.08333333333333333, 16: 0.0}, 3: {24: 0.5, 25: 0.0, 27: 0.0, 28: 0.0, 31: 0.5}, 4: {23: 0.0, 26: 0.0, 29: 1.0}, 5: {9: 0.0}, 6: {11: 0.0}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.0039637088775634766,5,1,1,31,6,1,34,0.5,0.96875,0.14285714285714285,0.9411764705882353,0.22222222222222224
centrality-cm:betweenness:walktrap,0-5,"0,33","0,2,5,24,33","OrderedDict([(0, 1.0), (33, 1.0), (2, 1.0), (5, 1.0), (6, 1.0), (32, 0.576923076923077), (8, 0.3846153846153846), (28, 0.3846153846153846), (4, 0.3333333333333333), (10, 0.3333333333333333), (1, 0.2903225806451613), (3, 0.06451612903225808), (29, 0.038461538461538464), (7, 0.0), (11, 0.0), (12, 0.0), (17, 0.0), (19, 0.0), (21, 0.0), (14, 0.0), (15, 0.0), (18, 0.0), (20, 0.0), (22, 0.0), (26, 0.0), (9, 0.0), (13, 0.0), (30, 0.0), (31, 0.0), (16, 0.0), (24, 0.0), (25, 0.0), (27, 0.0), (23, 0.0)])","{0: {0: 0.5535714285714285, 1: 0.1607142857142857, 3: 0.03571428571428571, 7: 0.0, 11: 0.0, 12: 0.0, 17: 0.0, 19: 0.0, 21: 0.0}, 1: {14: 0.0, 15: 0.0, 18: 0.0, 20: 0.0, 22: 0.0, 26: 0.0, 29: 0.017857142857142856, 32: 0.26785714285714285, 33: 0.46428571428571425}, 2: {2: 0.8666666666666667, 8: 0.3333333333333333, 9: 0.0, 13: 0.0, 28: 0.3333333333333333, 30: 0.0, 31: 0.0}, 3: {4: 0.08333333333333333, 5: 0.25, 6: 0.25, 10: 0.08333333333333333, 16: 0.0}, 4: {23: 0.16666666666666666, 24: 0.16666666666666666, 25: 0.16666666666666666, 27: 0.16666666666666666}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.002798318862915039,3,0,2,32,3,0,34,1.0,1.0,0.4,1.0,0.5714285714285715
centrality-cm:betweenness:df_node_similarity,0-5,"0,33","0,33","OrderedDict([(33, 1.0), (0, 1.0), (32, 0.3528147829823808), (31, 0.19853889127632143), (23, 0.11044262999570262), (1, 0.10701956271576525), (5, 0.09436133486766399), (6, 0.09436133486766399), (27, 0.06102277610657501), (3, 0.031070195627157654), (29, 0.017189514396218308), (25, 0.013321873657069187), (24, 0.01289213579716373), (4, 0.004602991944764097), (10, 0.004602991944764097), (2, 0.0034522439585730727), (8, 0.0), (9, 0.0), (14, 0.0), (15, 0.0), (18, 0.0), (20, 0.0), (22, 0.0), (26, 0.0), (28, 0.0), (30, 0.0), (7, 0.0), (11, 0.0), (12, 0.0), (13, 0.0), (16, 0.0), (17, 0.0), (19, 0.0), (21, 0.0)])","{0: {32: 0.20122549019607844, 33: 0.5703431372549019, 8: 0.0, 9: 0.0, 14: 0.0, 15: 0.0, 18: 0.0, 20: 0.0, 22: 0.0, 23: 0.06299019607843137, 24: 0.007352941176470588, 25: 0.0075980392156862735, 26: 0.0, 27: 0.03480392156862746, 28: 0.0, 29: 0.00980392156862745, 30: 0.0, 31: 0.11323529411764705}, 1: {0: 0.6896825396825397, 1: 0.07380952380952381, 2: 0.002380952380952381, 3: 0.02142857142857143, 4: 0.0031746031746031746, 5: 0.06507936507936508, 6: 0.06507936507936508, 7: 0.0, 10: 0.0031746031746031746, 11: 0.0, 12: 0.0, 13: 0.0, 16: 0.0, 17: 0.0, 19: 0.0, 21: 0.0}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.008494377136230469,0,0,2,32,0,0,34,1.0,1.0,1.0,1.0,1.0
rumor:leiden,0-5,"0,33","0,6,24,33","OrderedDict([(33, 1.0), (0, 1.0), (24, 1.0), (25, 1.0), (31, 1.0), (6, 1.0), (5, 1.0), (23, 0.375), (4, 0.33333333333333326), (1, 0.2592592592592593), (32, 0.2173913043478261), (27, 0.16666666666666666), (3, 0.1111111111111111), (2, 0.07407407407407408), (9, 0.051383399209486175), (7, 0.04761904761904764), (13, 0.04761904761904764), (29, 0.021739130434782608), (26, 0.014492753623188406), (12, 0.012345679012345696), (19, 0.012345679012345696), (21, 0.012345679012345696), (17, 0.012345679012345696), (8, 0.006211180124223603), (30, 0.006211180124223603), (20, 0.0), (22, 0.0), (18, 0.0), (14, 0.0), (15, 0.0), (11, 0.0), (28, 0.0), (16, 0.0), (10, 0.0)])","{0: {8: 0.003968253968253968, 9: 0.007575757575757576, 14: 0.003472222222222222, 15: 0.003472222222222222, 18: 0.003472222222222222, 20: 0.003472222222222222, 22: 0.003472222222222222, 26: 0.004629629629629629, 29: 0.005208333333333333, 30: 0.003968253968253968, 32: 0.020833333333333332, 33: 0.08333333333333333}, 1: {0: 0.09090909090909091, 1: 0.030303030303030304, 2: 0.015151515151515152, 3: 0.01818181818181818, 7: 0.012987012987012988, 11: 0.00909090909090909, 12: 0.010101010101010102, 13: 0.012987012987012988, 17: 0.010101010101010102, 19: 0.010101010101010102, 21: 0.010101010101010102}, 2: {23: 0.020833333333333332, 24: 0.041666666666666664, 25: 0.041666666666666664, 27: 0.013888888888888888, 28: 0.008333333333333333, 31: 0.041666666666666664}, 3: {4: 0.06666666666666667, 5: 0.1, 6: 0.1, 10: 0.05, 16: 0.05}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.0043447017669677734,2,0,2,32,2,0,34,1.0,1.0,0.5,1.0,0.6666666666666666
