type,experiment,sources,detected,normalized,per_community,infection_probability,time,nr_of_empty_communities,error_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,0-5,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.56), (29, 0.04), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (4, 0.0), (10, 0.0), (19, 0.0), (21, 0.0), (27, 0.0), (3, 0.0), (7, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 29: 0.017857142857142856, 30: 0.0, 31: 0.0, 32: 0.25, 33: 0.4464285714285714}, 1: {0: 0.8333333333333333, 4: 0.0, 10: 0.0, 19: 0.0, 21: 0.0}, 2: {2: 0.6666666666666666, 3: 0.0, 7: 0.0, 27: 0.0}}",{},0.003916501998901367,1,0,2,16,1,0,18,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:eigenvector,0-5,"0,33","0,33","OrderedDict([(33, 1.0), (0, 1.0), (32, 0.3414634146341463), (29, 0.024390243902439025), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (27, 0.0), (30, 0.0), (31, 0.0), (2, 0.0), (3, 0.0), (4, 0.0), (7, 0.0), (10, 0.0), (19, 0.0), (21, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 27: 0.0, 29: 0.013888888888888888, 30: 0.0, 31: 0.0, 32: 0.19444444444444442, 33: 0.5694444444444444}, 1: {0: 0.8095238095238095, 2: 0.0, 3: 0.0, 4: 0.0, 7: 0.0, 10: 0.0, 19: 0.0, 21: 0.0}}",{},0.002599954605102539,0,0,2,16,0,0,18,1.0,1.0,1.0,1.0,1.0
centrality-cm:betweenness:louvain,0-5,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.5), (29, 0.05555555555555555), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (30, 0.0), (4, 0.0), (10, 0.0), (19, 0.0), (21, 0.0), (31, 0.0), (27, 0.0), (3, 0.0), (7, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 29: 0.023809523809523808, 30: 0.0, 32: 0.21428571428571427, 33: 0.42857142857142855}, 1: {0: 0.9, 4: 0.0, 10: 0.0, 19: 0.0, 21: 0.0, 31: 0.0}, 2: {2: 0.6666666666666666, 3: 0.0, 7: 0.0, 27: 0.0}}",{},0.0020101070404052734,1,0,2,16,1,0,18,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:greedy_modularity,0-5,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.56), (29, 0.04), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (4, 0.0), (10, 0.0), (19, 0.0), (21, 0.0), (3, 0.0), (27, 0.0), (7, 0.0)])","{0: {32: 0.25, 33: 0.4464285714285714, 8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 29: 0.017857142857142856, 30: 0.0, 31: 0.0}, 1: {0: 0.8333333333333333, 19: 0.0, 4: 0.0, 21: 0.0, 10: 0.0}, 2: {27: 0.0, 2: 0.6666666666666666, 3: 0.0, 7: 0.0}}",{},0.0019919872283935547,1,0,2,16,1,0,18,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:label_propagation,0-5,"0,33","0,33","OrderedDict([(33, 1.0), (0, 1.0), (32, 0.418732782369146), (8, 0.046831955922865015), (2, 0.03305785123966942), (27, 0.030303030303030307), (29, 0.024793388429752067), (14, 0.0), (15, 0.0), (19, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (3, 0.0), (4, 0.0), (7, 0.0), (10, 0.0), (21, 0.0)])","{0: {32: 0.2303030303030303, 33: 0.5499999999999999, 2: 0.01818181818181818, 8: 0.025757575757575757, 14: 0.0, 15: 0.0, 19: 0.0, 26: 0.0, 27: 0.016666666666666666, 29: 0.013636363636363636, 30: 0.0, 31: 0.0}, 1: {0: 0.8, 3: 0.0, 4: 0.0, 7: 0.0, 10: 0.0, 21: 0.0}}",{},0.0014538764953613281,0,0,2,16,0,0,18,1.0,1.0,1.0,1.0,1.0
centrality-cm:betweenness:infomap,0-5,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.56), (29, 0.04), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (4, 0.0), (10, 0.0), (19, 0.0), (21, 0.0), (27, 0.0), (3, 0.0), (7, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 29: 0.017857142857142856, 30: 0.0, 31: 0.0, 32: 0.25, 33: 0.4464285714285714}, 1: {0: 0.8333333333333333, 4: 0.0, 10: 0.0, 19: 0.0, 21: 0.0}, 2: {2: 0.6666666666666666, 3: 0.0, 7: 0.0, 27: 0.0}}",{},0.04883408546447754,1,0,2,16,1,0,18,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:surprise_communities,0-5,"0,33","0,10,19,21,26,27,31,32","OrderedDict([(32, 1.0), (33, 1.0), (8, 0.0), (14, 0.0), (15, 0.0), (30, 0.0), (0, 0.0), (2, 0.0), (3, 0.0), (7, 0.0), (10, 0.0), (4, 0.0), (26, 0.0), (29, 0.0), (19, 0.0), (31, 0.0), (21, 0.0), (27, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 30: 0.0, 32: 0.25, 33: 0.25}, 1: {0: 0.0, 2: 0.0, 3: 0.0, 7: 0.0}, 2: {4: 0.0, 10: 0.0}, 3: {26: 0.0, 29: 0.0}, 4: {19: 0.0}, 5: {31: 0.0}, 6: {21: 0.0}, 7: {27: 0.0}}",{},0.0018265247344970703,6,1,1,15,7,1,18,0.5,0.9375,0.125,0.8888888888888888,0.2
centrality-cm:betweenness:walktrap,0-5,"0,33","0,2,10,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.303030303030303), (29, 0.0303030303030303), (14, 0.0), (15, 0.0), (19, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (3, 0.0), (21, 0.0), (7, 0.0), (8, 0.0), (27, 0.0), (10, 0.0), (4, 0.0)])","{0: {14: 0.0, 15: 0.0, 19: 0.0, 26: 0.0, 29: 0.017857142857142856, 30: 0.0, 31: 0.0, 32: 0.17857142857142855, 33: 0.5892857142857143}, 1: {0: 0.6666666666666666, 3: 0.0, 7: 0.0, 21: 0.0}, 2: {2: 1.0, 8: 0.0, 27: 0.0}, 3: {4: 0.0, 10: 0.0}}",{},0.0023458003997802734,2,0,2,16,2,0,18,1.0,1.0,0.5,1.0,0.6666666666666666
centrality-cm:betweenness:df_node_similarity,0-5,"0,33","0,33","OrderedDict([(33, 1.0), (0, 1.0), (32, 0.56), (2, 0.3333333333333333), (29, 0.04), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (3, 0.0), (4, 0.0), (7, 0.0), (10, 0.0), (19, 0.0), (21, 0.0), (27, 0.0)])","{0: {32: 0.25, 33: 0.4464285714285714, 8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 29: 0.017857142857142856, 30: 0.0, 31: 0.0}, 1: {0: 0.75, 2: 0.25, 3: 0.0, 4: 0.0, 7: 0.0, 10: 0.0, 19: 0.0, 21: 0.0, 27: 0.0}}",{},0.004168987274169922,0,0,2,16,0,0,18,1.0,1.0,1.0,1.0,1.0
rumor:leiden,0-5,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.45454545454545453), (7, 0.25), (3, 0.25), (10, 0.11111111111111106), (4, 0.11111111111111106), (29, 0.09090909090909091), (8, 0.01818181818181819), (30, 0.01818181818181819), (31, 0.0), (26, 0.0), (15, 0.0), (14, 0.0), (21, 0.0), (19, 0.0), (27, 0.0)])","{0: {8: 0.011111111111111112, 14: 0.009259259259259259, 15: 0.009259259259259259, 26: 0.009259259259259259, 29: 0.018518518518518517, 30: 0.011111111111111112, 31: 0.009259259259259259, 32: 0.05555555555555555, 33: 0.1111111111111111}, 1: {0: 0.2, 4: 0.06666666666666667, 10: 0.06666666666666667, 19: 0.05, 21: 0.05}, 2: {2: 0.25, 3: 0.125, 7: 0.125, 27: 0.08333333333333333}}",{},0.001981496810913086,1,0,2,16,1,0,18,1.0,1.0,0.6666666666666666,1.0,0.8
