graph,community,sources,nodes,detected,difference,sources_ratio,nmi,modularity,pcov,pper
soc_anybeat,louvain,13,6756,17,-4,7,0.007533754626237806,0.3778080732535193,0.5853646550029487,0.8374477778668872
soc_anybeat,leiden,13,6756,16,-3,7,0.007443610655087049,0.3807000228412104,0.5805976017298997,0.821441828279734
soc_anybeat,label_propagation,13,6756,32,-19,1,0.016438814248780305,0.03035257340053857,0.9896058580695891,0.04561916945060541
soc_anybeat,greedy_modularity,13,6756,76,-63,4,0.026434816067617477,0.31723134033330175,0.7117161391782976,0.6821082030765536
soc_anybeat,eigenvector,13,6756,4,9,2,0.001923975067522929,0.13257532849926906,0.7614507568311382,0.5276689985577423
soc_anybeat,infomap,13,6756,239,-226,6,0.0698310398665032,0.3049816836542877,0.6617849420090427,0.8465689297097648
soc_anybeat,markov_clustering,13,6756,431,-418,10,0.11041805641974371,0.17471277924135725,0.585561234519363,0.6757961451268034
soc_anybeat,paris,13,6756,2,11,1,0.000784132579038593,0.022933460973478714,0.9915470807941813,0.018196200520720348
soc_anybeat,surprise_communities,13,6756,3436,-3423,1,0.2922058907591337,0.10385279978144779,0.5285531747591901,0.985149215172499
soc_anybeat,walktrap,13,6756,208,-195,4,0.051086464302275564,0.27276888945064715,0.7539807352073914,0.700736335911517
soc_anybeat,sbm_dl,13,6756,36,-23,7,0.013432102034631662,0.06334738205122747,0.09826518576764301,0.7950137586394133
soc_anybeat,louvain,127,6904,16,111,11,0.031750507388844496,0.3739408421734899,0.6091499438503979,0.8379250612149252
soc_anybeat,leiden,127,6904,16,111,12,0.034901355046023506,0.3840662855169271,0.5803183438308677,0.8451789060426647
soc_anybeat,label_propagation,127,6904,47,80,2,0.027022130952470656,0.012046071483769353,0.9961671793369464,0.04268338333090773
soc_anybeat,greedy_modularity,127,6904,69,58,9,0.049828011138551974,0.3224983540652258,0.7105610077632928,0.6985860934394823
soc_anybeat,eigenvector,127,6904,7,120,5,0.01737303982282227,0.13716182610855288,0.7538938528392168,0.5431820581475902
soc_anybeat,infomap,127,6904,264,-137,30,0.1798286923910864,0.32239196509770873,0.6379083052585323,0.8696736468551383
soc_anybeat,markov_clustering,127,6904,447,-320,68,0.2138580097100702,0.18216175311191252,0.5911820711879303,0.6941878680050607
soc_anybeat,paris,127,6904,3,124,3,0.00786176766443389,0.22071075580532898,0.8076021678628973,0.43881117736608044
soc_anybeat,surprise_communities,127,6904,3567,-3440,17,0.503883143141373,0.10269658373649021,0.5221424735120356,0.986213863386517
soc_anybeat,walktrap,127,6904,2499,-2372,17,0.3857465587922461,0.2673753378720464,0.5340559542991065,0.9206086443011242
soc_anybeat,sbm_dl,127,6904,46,81,33,0.08717355426823162,0.06900210822736004,0.09696792148820858,0.8096463844544054
soc_anybeat,louvain,1265,7340,20,1245,20,0.15989840462872482,0.3831716062072335,0.5866781140445017,0.8555997910457847
soc_anybeat,leiden,1265,7340,19,1246,19,0.1593410297381996,0.38931236675824976,0.6052562543225776,0.8412932587761327
soc_anybeat,label_propagation,1265,7340,84,1181,62,0.06001098571930262,0.018615243380646615,0.993703942190742,0.07871173117527835
soc_anybeat,greedy_modularity,1265,7340,63,1202,45,0.13965793269204926,0.3597932452800465,0.6788533543201927,0.7540966795660375
soc_anybeat,eigenvector,1265,7340,6,1259,6,0.05415920160006343,0.13746779015168367,0.7573155898976891,0.5312944579980864
soc_anybeat,infomap,1265,7340,291,974,232,0.3365318886672194,0.3262970050687852,0.6414585867258115,0.8738388431332291
soc_anybeat,markov_clustering,1265,7340,565,700,495,0.37081052734102526,0.19030862484708067,0.5446805466122916,0.7445303412436192
soc_anybeat,paris,1265,7340,2,1263,2,0.03060073253570203,0.237595613937451,0.7989554267725549,0.45467523918537556
soc_anybeat,surprise_communities,1265,7340,3691,-2426,348,0.6803351754255506,0.10741810710384493,0.532756194700818,0.9864077287812898
soc_anybeat,walktrap,1265,7340,361,904,131,0.20366153205059026,0.2700808726660674,0.7480384441105626,0.709206831629609
soc_anybeat,sbm_dl,1265,7340,38,1227,38,0.21603481426212942,0.07128973719179414,0.10593594238153156,0.7975237366122463
