graph,community,sources,nodes,coverage,iterations,detected_sources,sources_ratio,sizes,avg_sizes,time
watts_strogatz_graph_1,louvain,2,55,0.11,51,6,2,14|14|10|7|5|5,9.166666666666666,0.03559160232543945
watts_strogatz_graph_1,belief,2,55,0.11,51,2,1,29|26,27.5,8.788768291473389
watts_strogatz_graph_1,leiden,2,55,0.11,51,6,1,14|12|11|8|5|5,9.166666666666666,0.0012197494506835938
watts_strogatz_graph_1,label_propagation,2,55,0.11,51,8,1,18|17|6|4|3|3|2|2,6.875,0.0013325214385986328
watts_strogatz_graph_1,greedy_modularity,2,55,0.11,51,7,1,14|12|9|5|5|5|5,7.857142857142857,0.004357099533081055
watts_strogatz_graph_1,eigenvector,2,55,0.11,51,9,2,14|12|10|5|4|4|3|2|1,6.111111111111111,0.01612257957458496
watts_strogatz_graph_1,ga,2,55,0.11,51,12,2,13|9|5|5|4|4|3|3|3|2|2|2,4.583333333333333,10.252746343612671
watts_strogatz_graph_1,infomap,2,55,0.11,51,8,2,12|11|7|6|6|5|5|3,6.875,0.0025331974029541016
watts_strogatz_graph_1,kcut,2,55,0.11,51,8,1,48|1|1|1|1|1|1|1,6.875,0.28505921363830566
watts_strogatz_graph_1,markov_clustering,2,55,0.11,51,14,0,12|8|5|4|4|4|3|3|3|2|2|2|2|1,3.9285714285714284,0.02454829216003418
watts_strogatz_graph_1,paris,2,55,0.11,51,2,0,29|26,27.5,0.0024597644805908203
watts_strogatz_graph_1,spinglass,2,55,0.11,51,9,2,12|9|8|8|5|5|3|3|2,6.111111111111111,0.2072737216949463
watts_strogatz_graph_1,surprise_communities,2,55,0.11,51,16,1,9|9|5|5|5|4|4|3|3|2|1|1|1|1|1|1,3.4375,0.0011317729949951172
watts_strogatz_graph_1,walktrap,2,55,0.11,51,7,1,17|12|9|5|5|5|2,7.857142857142857,0.0008683204650878906
watts_strogatz_graph_1,spectral,2,55,0.11,51,2,1,28|27,27.5,2.846353769302368
watts_strogatz_graph_1,sbm_dl,2,55,0.11,51,2,1,41|14,27.5,0.009011268615722656
watts_strogatz_graph_1,louvain,5,244,0.488,51,15,4,29|29|21|18|18|17|15|15|15|14|14|12|11|9|7,16.266666666666666,0.025545120239257812
watts_strogatz_graph_1,belief,5,244,0.488,51,6,3,48|43|41|40|38|34,40.666666666666664,7.800579071044922
watts_strogatz_graph_1,leiden,5,244,0.488,51,15,3,22|21|20|19|19|19|18|17|17|15|15|14|12|9|7,16.266666666666666,0.0038537979125976562
watts_strogatz_graph_1,label_propagation,5,244,0.488,51,22,4,62|35|22|14|12|12|11|9|9|8|7|7|6|6|4|4|3|3|3|3|2|2,11.090909090909092,0.006674766540527344
watts_strogatz_graph_1,greedy_modularity,5,244,0.488,51,11,4,38|36|28|27|26|24|20|15|14|9|7,22.181818181818183,0.05402112007141113
watts_strogatz_graph_1,eigenvector,5,244,0.488,51,16,3,29|23|22|20|18|18|18|16|16|13|12|11|10|9|8|1,15.25,0.050992727279663086
